date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,6708790195,0.8377,4543022746,0.3735
2025-12-31,5192433749,0.6559,7123218678,-0.6286
2025-09-30,14826327537,1.3039,9822590733,-0.212
2025-06-30,15441435819,1.2958,6064470030,-0.2627
2025-03-31,16734544128,1.3399,3307744332,-0.2412
2024-12-31,18004830349,1.4211,19181768364,0.8014
2024-09-30,12901587187,0.9836,12464714796,0.3769
2024-06-30,12032372699,0.9305,8225060213,0.4563
2024-03-31,12118115773,0.9543,4359428564,1.8894
2023-12-31,9216424319,0.8013,10648364935,0.2887
2023-09-30,9829908817,0.8635,9052567897,0.4341
2023-06-30,8831365674,0.8224,5647760797,0.3853
2023-03-31,7761587229,0.7686,1508783233,0.3334
2022-12-31,7293722877,0.7937,8262648270,0.0733
2022-09-30,8407932005,1.0139,6312342160,0.5956
2022-06-30,7255792609,0.9775,4077014965,0.4889
2022-03-31,5668403128,0.8695,1131497886,-0.1363
2021-12-31,5722786760,0.9699,7698648105,0.566
2021-09-30,4461987137,0.8145,3956052904,0.4142
2021-06-30,5118934525,0.9893,2738237040,2.7571
2021-03-31,4416260553,1.0203,1310035684,5.142
2020-12-31,2792935318,0.8251,4916102451,0.0154
2020-09-30,828712879,0.7646,2797464891,-0.1638
2020-06-30,-388869764,0.7595,728815422,-0.573
2020-03-31,-492013012,0.8235,-316284597,-1.5638
2019-12-31,269438246,1.0429,4841619204,0.1265
2019-09-30,1803521674,1.1933,3345279324,0.4785
2019-06-30,3007451966,1.3151,1706750590,3.1636
2019-03-31,2633122761,1.1408,561024532,0.6099
2018-12-31,2829656081,1.2243,4297916018,0.1604
2018-09-30,2639334621,1.1041,2262542724,0.0116
2018-06-30,1405201404,0.8808,409920555,-0.6958
2018-03-31,2622093267,1.3478,348487394,1.4056
2017-12-31,2277820326,1.4194,3693407462,0.3433
2017-09-30,1981447029,1.2402,2236659613,0.186
2017-06-30,1873328748,1.0452,1347676719,-0.1597
2017-03-31,1531570721,0.9486,144867648,-0.8017
2016-12-31,2388130134,1.3464,2625088408,16.0923
2016-09-30,1862775005,1.1273,1824412505,69.6034
