date,流动比率,所有者权益合计,资产负债率,负债合计,流动负债合计,有息负债率,资产合计,流动资产合计,长期负债合计,速动比率
2026-03-31,2.8672,45547310510,0.2926,18836755864,7903656836,0.0004,64384066373,0,0,2.1296
2025-12-31,2.8606,40134469997,0.2874,16189005334,7006704330,0.0035,56323475331,0,0,1.9526
2025-09-30,2.9324,39277907631,0.28,15272941426,5780613914,0.0034,54550849057,0,0,2.0609
2025-06-30,2.3271,36338859574,0.358,20263792827,5982937738,0.0065,56602652401,0,0,1.6649
2025-03-31,2.746,38852234084,0.3075,17249614587,5818303801,0.0065,56101848671,0,0,2.0032
2024-12-31,2.4513,35204482659,0.3419,18290715229,8672424896,0.0102,53495197889,0,0,1.7071
2024-09-30,2.6757,34312512735,0.3101,15425614902,5480852086,0.0109,49738127637,0,0,1.8931
2024-06-30,2.1145,31376329052,0.3963,20599255876,5731869578,0.0137,51975584928,0,0,1.5333
2024-03-31,2.7058,34539406419,0.3151,15891098000,5589682278,0.014,50430504419,0,0,1.9819
2023-12-31,2.2848,28275069846,0.3588,15820768150,7029177456,0.0199,44095837995,0,0,1.5133
2023-09-30,2.3751,27191108155,0.3555,14998656446,5172429552,0.0246,42189764600,0,0,1.6338
2023-06-30,2.2277,24523543233,0.3772,14850612016,5753185135,0.0266,39374155249,0,0,1.4807
2023-03-31,2.4938,26583648198,0.3406,13729994448,4172123194,0.0279,40313642646,0,0,1.7746
2022-12-31,1.9669,21745521218,0.4073,14940953057,6908209386,0.0004,36686474275,0,0,1.308
2022-09-30,2.1823,20611518695,0.3838,12838311758,4725283927,0.0008,33449830454,0,0,1.494
2022-06-30,2.104,18503164989,0.4036,12524086234,4844138958,0.0007,31027251222,0,0,1.4003
2022-03-31,2.2939,19325462803,0.3747,11582106844,3880570639,0.0009,30907569647,0,0,1.6127
2021-12-31,1.7725,15586759944,0.4797,14367804020,7375876206,0.001,29954563964,0,0,1.1871
2021-09-30,1.9493,14908558679,0.4331,11391857824,3820730773,0,26300416502,0,0,1.3512
2021-06-30,1.9658,13519762242,0.4255,10015021258,3258620281,0,23534783501,0,0,1.3017
2021-03-31,1.8693,12255417957,0.4424,9722929648,2930063327,0,21978347605,0,0,1.2523
2020-12-31,1.6416,10064936735,0.4911,9713598178,3106945278,0,19778534913,0,0,0.9697
2020-09-30,1.7212,9336730814,0.4624,8029731348,2686756625,0,17366462162,0,0,1.0034
2020-06-30,1.6973,8471590960,0.4639,7329390552,2144334562,0,15800981512,0,0,0.8907
2020-03-31,1.9272,8864763704,0.4072,6088664951,1611220215,0,14953428655,0,0,1.0836
2019-12-31,1.5071,7624590768,0.5255,8443181358,0,0,16067772126,0,0,0.8648
2019-09-30,1.7025,7664232894,0.4595,6516058335,0,0,14180291229,0,0,1.0717
2019-06-30,1.6437,7082463484,0.4772,6465293625,0,0,13547757108,0,0,1.0033
2019-03-31,1.8627,7432747153,0.4269,5536548427,0,0,12969295581,0,0,1.1795
2018-12-31,1.6981,6481614347,0.4521,5347349357,0,0,11828963704,0,0,1.0842
2018-09-30,1.8111,6137274923,0.4021,4127278317,0,0,10264553240,0,0,1.1256
2018-06-30,1.6235,5789605777,0.451,4756097055,0,0,10545702832,0,0,1.0475
2018-03-31,1.7708,6104086960,0.4162,4351555202,0,0,10455642162,0,0,1.1797
2017-12-31,1.7421,5338712225,0.4028,3601073144,0,0,8939785369,0,0,1.0479
2017-09-30,1.7526,5197583197,0.3939,3378201330,0,0,8575784527,0,0,1.138
2017-06-30,1.7133,4973373445,0.396,3260732728,0,0,8234106173,0,0,1.0961
2017-03-31,1.9764,5333630015,0.3445,2803074420,0,0,8136704436,0,0,1.3323
2016-12-31,1.8634,4837035644,0.3478,2579590971,0,0,7416626615,0,0,1.0982
2016-09-30,1.9679,4668642746,0.3316,2315987854,0,0,6984630600,0,0,1.156
2016-06-30,1.8443,4567699240,0.3544,2507777757,0,0,7075476997,0,0,1.0261
