date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,0.9272,8253609930,0.1746,9133829907
2025-12-31,0.7331,9013519822,-0.2595,7820527265
2025-09-30,0.7875,8982107363,-0.2145,8473218294
2025-06-30,0.8276,5980102740,-0.2459,9236677830
2025-03-31,0.9617,7026539469,-0.0021,11289448721
2024-12-31,0.9934,12172323337,0.6847,11537354522
2024-09-30,0.9182,11434809004,0.5656,10609385473
2024-06-30,0.8227,7930094412,0.5228,9522185817
2024-03-31,0.911,7041142515,1.051,10321173553
2023-12-31,0.6908,7225083460,-0.2992,6742916673
2023-09-30,0.9059,7303562659,-0.1029,9205145681
2023-06-30,1.0951,5207689862,0.1122,9892161209
2023-03-31,1.1018,3433089677,-0.0298,9381666501
2022-12-31,1.264,10310203977,0.3486,9484627345
2022-09-30,1.2687,8141167157,0.3294,8872165327
2022-06-30,1.4811,4682491045,1.1685,10026481062
2022-03-31,1.5776,3538501189,13.3601,10798238675
2021-12-31,1.4185,7645105078,2.8039,7489176503
2021-09-30,1.1412,6123992067,1.9885,6180122856
2021-06-30,0.5796,2159288208,0.4765,2772154902
2021-03-31,0.5239,246411587,0.6898,1915908366
2020-12-31,0.645,2009820404,-0.3242,1814415975
2020-09-30,1.0896,1780922563,-0.2107,2798571001
2020-06-30,1.0858,1225183709,-0.2723,2440973238
2020-03-31,0.2974,126220138,-0.9493,561081908
2019-12-31,1.4981,3076551084,2.2192,2936289800
2019-09-30,1.2459,1896461417,4.4936,2429686782
2019-06-30,1.472,1691378265,66.0186,2607776014
2019-03-31,1.8549,2505423252,8.4299,3171443011
2018-12-31,0.6192,965920921,-0.0096,891035169
2018-09-30,0.2714,349381206,-0.584,326799891
2018-06-30,0.5178,-14673729,-1.0858,621408926
2018-03-31,0.9399,244253844,5.3285,1105346085
2017-12-31,0.8927,896452001,0.53,829701423
2017-09-30,0.8233,839639133,0.4524,785533559
2017-06-30,0.7066,171086344,0.4763,566093309
2017-03-31,0.5805,-56429367,-2.1608,393710080
2016-12-31,0.9133,585922002,0.3695,479314424
2016-09-30,0.8946,578095356,0.3306,451644979
