日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=34.0100,=34.0100,=34.0100,=34.0100,=199020566345.44,=189116024501.0,=60843080017.84,,=0.0399
2026-07-02,=33.5600,=33.5600,=33.5600,=33.5600,=196387245120.64,=186613754257.0,=60038040735.04,,=0.0405
2026-07-01,=33.4800,=33.4800,=33.4800,=33.4800,=195919099125.12,=186168906213.0,=59894922640.32,,=0.0406
2026-06-30,=33.1600,=33.1600,=33.1600,=33.1600,=194046515143.04,=184389514039.0,=59322450261.44,,=0.0410
2026-06-29,=34.0800,=34.0800,=34.0800,=34.0800,=199430194091.52,=189505266540.0,=60968308350.72,,=0.0399
2026-06-26,=32.9800,=32.9800,=32.9800,=32.9800,=192993186653.12,=183388605941.0,=59000434548.32,,=0.0412
2026-06-25,=33.9200,=33.9200,=33.9200,=33.9200,=198493902100.48,=188615570452.0,=60682072161.28,,=0.0401
2026-06-24,=35.0100,=35.0100,=35.0100,=35.0100,=204872391289.44,=194676625045.0,=62632056201.84,,=0.0388
2026-06-23,=34.1800,=34.1800,=34.1800,=34.1800,=200015376585.92,=190061326594.0,=61147205969.12,,=0.0397
2026-06-22,=33.0400,=33.0400,=33.0400,=33.0400,=193344296149.76,=183722241974.0,=59107773119.36,,=0.0411
2026-06-18,=32.4400,=32.4400,=32.4400,=32.4400,=189833201183.36,=180385881647.0,=58034387408.96,,=0.0419
2026-06-17,=33.3200,=33.3200,=33.3200,=33.3200,=194982807134.08,=185279210126.0,=59608686450.88,,=0.0408
2026-06-16,=33.7900,=33.7900,=33.7900,=33.7900,=197733164857.76,=187892692382.0,=60449505257.36,,=0.0402
2026-06-15,=34.1400,=34.1400,=34.1400,=34.1400,=199781303588.16,=189838902572.0,=61075646921.76,,=0.0398
2026-06-12,=35.5300,=35.5300,=35.5300,=35.5300,=207915340260.32,=197568137328.0,=63562323817.52,,=0.0382
2026-06-11,=35.1700,=35.1700,=35.1700,=35.1700,=205808683280.48,=195566321132.0,=62918292391.28,,=0.0386
2026-06-10,=35.1000,=35.1000,=35.1000,=35.1000,=205399055534.4,=195177079094.0,=62793064058.4,,=0.0387
2026-06-09,=34.8900,=34.8900,=34.8900,=34.8900,=204170172296.16,=194009352980.0,=62417379059.76,,=0.0389
2026-06-08,=34.0700,=34.0700,=34.0700,=34.0700,=199371675842.08,=189449660534.0,=60950418588.88,,=0.0399
2026-06-05,=34.0300,=34.0300,=34.0300,=34.0300,=199137602844.32,=189227236512.0,=60878859541.52,,=0.0399
