日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=50.9300,=50.9300,=50.9300,=50.9300,=132914238084.76,=102012093889.0,=73486623404.04,,=2.8713,,,,
2026-07-02,=49.8100,=49.8100,=49.8100,=49.8100,=129991325328.92,=99768749197.0,=71870581420.68,,=2.8082,,,,
2026-07-01,=50.0000,=50.0000,=50.0000,=50.0000,=130487176600.0,=100149316600.0,=72144731400.0,,=2.8189,,,,
2026-06-30,=50.4400,=50.4400,=50.4400,=50.4400,=131635463754.08,=101030630586.0,=72779605036.32,,=2.8437,,,,
2026-06-29,=52.1500,=52.1500,=52.1500,=52.1500,=136098125193.8,=104455737214.0,=75246954850.2,,=2.9401,,,,
2026-06-26,=50.4300,=50.4300,=50.4300,=50.4300,=131609366318.76,=101010600723.0,=72765176090.04,,=2.8431,,,,
2026-06-25,=48.0100,=48.0100,=48.0100,=48.0100,=125293786971.32,=96163373799.0,=69273371090.28,,=2.7067,,,,
2026-06-24,=48.1300,=48.1300,=48.1300,=48.1300,=125606956195.16,=96403732159.0,=69446518445.64,,=2.7135,,,,
2026-06-23,=49.2500,=49.2500,=49.2500,=49.2500,=128529868951.0,=98647076851.0,=71062560429.0,,=2.7766,,,,
2026-06-22,=50.0500,=50.0500,=50.0500,=50.0500,=130617663776.6,=100249465917.0,=72216876131.4,,=2.8217,,,,
2026-06-18,=49.9500,=49.9500,=49.9500,=49.9500,=130356689423.4,=100049167283.0,=72072586668.6,,=2.8161,,,,
2026-06-17,=50.6900,=50.6900,=50.6900,=50.6900,=132287899637.08,=101531377169.0,=73140328693.32,,=2.8578,,,,
2026-06-16,=50.6500,=50.6500,=50.6500,=50.6500,=132183509895.8,=101451257716.0,=73082612908.2,,=2.8555,,,,
2026-06-15,=52.4100,=52.4100,=52.4100,=52.4100,=136776658512.12,=104976513660.0,=75622107453.48,,=2.9547,,,,
2026-06-12,=52.3500,=52.3500,=52.3500,=52.3500,=136620073900.2,=104856334480.0,=75535533775.8,,=2.9514,,,,
2026-06-11,=52.4100,=52.4100,=52.4100,=52.4100,=136776658512.12,=104976513660.0,=75622107453.48,,=2.9547,,,,
2026-06-10,=53.0500,=53.0500,=53.0500,=53.0500,=138446894372.6,=106258424913.0,=76545560015.4,,=2.9908,,,,
2026-06-09,=53.4100,=53.4100,=53.4100,=53.4100,=139386402044.12,=106979499992.0,=77065002081.48,,=3.0111,,,,
2026-06-08,=53.1500,=53.1500,=53.1500,=53.1500,=138707868725.8,=106458723546.0,=76689849478.2,,=2.9965,,,,
2026-06-05,=53.6000,=53.6000,=53.6000,=53.6000,=139882253315.2,=107360067395.0,=77339152060.8,,=3.0218,,,,
