date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,141552489175.68,3.0579,0.2583,4.1251,3.4628,2.9764,0.0387,3.9309,0.6200,4.5652,3.6067,2.9254,15.7384,0.1601,27.6192,19.6470,16.3732
2026-06-01,136959340559.36,2.9587,0.1865,4.1251,3.4628,2.9763,0.0400,3.8034,0.5829,4.5652,3.6042,2.9254,15.2277,0.1324,27.6192,19.6470,16.3732
2026-05-29,137429094395.12,2.9688,0.1946,4.1251,3.4610,2.9748,0.0399,3.8164,0.5882,4.5652,3.6029,2.9203,15.2799,0.1360,27.6192,19.6437,16.3550
2026-05-28,135680566228.68,2.9311,0.1806,4.1251,3.4619,2.9759,0.0404,3.7679,0.5753,4.5652,3.6022,2.9203,15.0855,0.1262,27.6192,19.6453,16.3675
2026-05-27,137663971313.0,2.9739,0.1980,4.1251,3.4628,2.9763,0.0398,3.8230,0.5912,4.5652,3.6015,2.9203,15.3060,0.1370,27.6192,19.6470,16.3732
2026-05-26,139595181526.68,3.0156,0.2232,4.1251,3.4628,2.9763,0.0393,3.8766,0.6052,4.5652,3.6012,2.9200,15.5207,0.1485,27.6192,19.6470,16.3732
2026-05-25,140482494327.56,3.0348,0.2405,4.1251,3.4628,2.9759,0.0390,3.9012,0.6110,4.5652,3.6002,2.9200,15.6194,0.1531,27.6192,19.6470,16.3732
2026-05-22,144240525013.64,3.1160,0.2984,4.1251,3.4610,2.9743,0.0380,4.0056,0.6521,4.5652,3.5966,2.9161,16.0372,0.1830,27.6192,19.6437,16.3550
2026-05-21,141813463528.88,3.0636,0.2652,4.1251,3.4619,2.9743,0.0386,3.9382,0.6252,4.5652,3.5961,2.9161,15.7674,0.1654,27.6192,19.6453,16.3675
2026-05-20,141682976352.28,3.0607,0.2616,4.1251,3.4628,2.9743,0.0387,3.9346,0.6225,4.5652,3.5957,2.9161,15.7529,0.1634,27.6192,19.6470,16.3732
2026-05-19,143744673742.56,3.1053,0.2904,4.1251,3.4628,2.9728,0.0381,3.9918,0.6460,4.5652,3.5934,2.9152,15.9821,0.1786,27.6192,19.6470,16.3732
2026-05-18,144605889108.12,3.1239,0.3028,4.1251,3.4628,2.9728,0.0379,4.0157,0.6559,4.5652,3.5925,2.9152,16.0779,0.1869,27.6192,19.6470,16.3732
2026-05-15,146145637792.0,3.1571,0.3199,4.1251,3.4610,2.9722,0.0375,4.0585,0.6674,4.5652,3.5922,2.9119,16.2491,0.1966,27.6192,19.6437,16.3550
2026-05-14,147998555699.72,3.1972,0.3386,4.1251,3.4619,2.9722,0.0370,4.1099,0.6779,4.5652,3.5918,2.9119,16.4551,0.2049,27.6192,19.6453,16.3675
2026-05-13,149120745418.48,3.2214,0.3523,4.1251,3.4628,2.9722,0.0368,4.1411,0.6836,4.5652,3.5913,2.9119,16.5798,0.2108,27.6192,19.6470,16.3675
2026-05-12,155149252977.4,3.3516,0.4422,4.1251,3.4628,2.9719,0.0353,3.9638,0.6382,4.5652,3.5900,2.9101,17.2501,0.2368,27.6192,19.6470,16.3550
2026-05-11,155018765800.8,3.3488,0.4381,4.1251,3.4628,2.9712,0.0354,3.9605,0.6353,4.5652,3.5898,2.9094,17.2356,0.2351,27.6192,19.6470,16.3496
2026-05-08,156558514484.68,3.3821,0.4592,4.1251,3.4610,2.9674,0.0350,3.9998,0.6521,4.5652,3.5883,2.9067,17.4068,0.2498,27.6192,19.6437,16.2820
2026-05-07,155070960671.44,3.3500,0.4404,4.1251,3.4619,2.9674,0.0353,3.9618,0.6375,4.5652,3.5878,2.9067,17.2414,0.2371,27.6192,19.6453,16.2820
2026-05-06,154783888882.92,3.3438,0.4352,4.1251,3.4628,2.9674,0.0354,3.9545,0.6341,4.5652,3.5872,2.9067,17.2095,0.2351,27.6192,19.6470,16.2820
2026-04-30,153635601728.84,3.3189,0.4207,4.1251,3.4609,2.9661,0.0357,3.9251,0.6251,4.5652,3.5855,2.9031,17.0818,0.2307,27.6192,19.6413,16.2459
2026-04-29,155018765800.8,3.3488,0.4398,4.1251,3.4610,2.9661,0.0354,3.9605,0.6369,4.5652,3.5852,2.9031,17.2356,0.2370,27.6192,19.6437,16.2459
2026-04-28,155070960671.44,3.3500,0.4411,4.1251,3.4610,2.9654,0.0353,3.9618,0.6381,4.5652,3.5844,2.9024,17.2414,0.2378,27.6192,19.6437,16.2396
2026-04-27,155149252977.4,3.3516,0.4435,4.1251,3.4610,2.9652,0.0353,3.9638,0.6393,4.5652,3.5826,2.9004,17.2501,0.2383,27.6192,19.6437,16.2213
2026-04-24,154053160693.96,3.3280,0.4267,4.1251,3.4608,2.9642,0.0356,3.9358,0.6293,4.5618,3.5800,2.8976,17.1282,0.2343,27.5802,19.6389,16.2061
2026-04-23,156428027308.08,3.3793,0.4578,4.1251,3.4609,2.9640,0.0350,3.9965,0.6506,4.5652,3.5798,2.8975,17.3923,0.2489,27.6192,19.6413,16.2050
2026-04-22,157602411897.48,3.4046,0.4711,4.1251,3.4610,2.9640,0.0348,4.0265,0.6620,4.5652,3.5797,2.8975,17.5229,0.2560,27.6192,19.6437,16.2050
2026-04-21,157106560626.4,3.4312,0.4835,4.1251,3.4610,2.9624,0.0349,4.1832,0.6946,4.5652,3.5785,2.8975,16.8709,0.2234,27.6192,19.6437,16.2005
2026-04-20,157002170885.12,3.4289,0.4827,4.1251,3.4610,2.9616,0.0349,4.1804,0.6941,4.5652,3.5781,2.8972,16.8596,0.2230,27.6192,19.6437,16.1843
2026-04-17,153426822246.28,3.3508,0.4452,4.1251,3.4608,2.9603,0.0357,4.0852,0.6730,4.5618,3.5771,2.8960,16.4757,0.2125,27.5802,19.6389,16.1646
2026-04-16,154366329917.8,3.3714,0.4557,4.1251,3.4609,2.9599,0.0355,4.1102,0.6799,4.5652,3.5768,2.8921,16.5766,0.2176,27.6192,19.6413,16.1641
2026-04-15,154053160693.96,3.3645,0.4530,4.1251,3.4610,2.9599,0.0356,4.1019,0.6777,4.5652,3.5764,2.8921,16.5430,0.2160,27.6192,19.6437,16.1641
2026-04-14,152852678669.24,3.3383,0.4382,4.1251,3.4610,2.9598,0.0359,4.0699,0.6715,4.5652,3.5713,2.8896,16.4141,0.2106,27.6192,19.6437,16.1627
2026-04-13,149694888995.52,3.2693,0.3928,4.1251,3.4610,2.9598,0.0366,3.9859,0.6500,4.5652,3.5704,2.8883,16.0750,0.1962,27.6192,19.6437,16.1622
2026-04-10,149825376172.12,3.2722,0.3954,4.1251,3.4608,2.9580,0.0366,3.9893,0.6520,4.5618,3.5696,2.8861,16.0890,0.1977,27.5802,19.6389,16.1620
2026-04-09,150530006925.76,3.2876,0.4067,4.1251,3.4609,2.9562,0.0364,4.0081,0.6580,4.5652,3.5695,2.8857,16.1646,0.2015,27.6192,19.6413,16.1620
2026-04-08,151495612032.6,3.3087,0.4200,4.1251,3.4610,2.9562,0.0362,4.0338,0.6661,4.5652,3.5693,2.8857,16.2683,0.2057,27.6192,19.6437,16.1620
2026-04-07,149564401818.92,3.2665,0.3912,4.1251,3.4610,2.9519,0.0366,3.9824,0.6505,4.5652,3.5692,2.8852,16.0609,0.1966,27.6192,19.6437,16.1451
