date,流动比率,应收账款,长期负债合计,有息负债率,流动资产合计,负债合计,流动负债合计,资产合计,货币资金,资产负债率,所有者权益合计,速动比率
2026-03-31,1.7908,6360195689,7293169499,0.2785,0,34200373794,736081278,73338595619,148755381324,0.4663,39138221825,1.4833
2025-12-31,1.539,8477842251,3669044516,0.2411,0,32510194296,718192991,70062354686,169033088567.64,0.464,37552160390,1.2596
2025-09-30,1.4837,8126232910,4594370000,0.242,0,35172926559,719137615,70641939363,191581272684.12,0.4979,35469012804,1.2263
2025-06-30,1.6091,8288438184,4236390000,0.2521,0,30066640721,746814468,65711551448,148781478759.32,0.4576,35644910727,1.3213
2025-03-31,1.8306,7288065615,4752060594,0.2462,0,28259885794,778848746,65982028535,152852678669.24,0.4283,37722142741,1.5192
2024-12-31,2.0236,8157067130,7212920000,0.2371,0,27568613358,807312590,63254182536,162847996396.8,0.4358,35685569178,1.6748
2024-09-30,2.0271,7211211723,8297200000,0.2696,0,27948019052,1160069927,61333832136,151887073562.4,0.4557,33385813084,1.6669
2024-06-30,1.9585,7172638642,8693400000,0.2906,0,28487985917,1040276509,60104352350,125006715182.8,0.474,31616366433,1.632
2024-03-31,2.3041,6482926943,9595400000,0.2735,0,26817726992,1009669805,59664416575,112897505194.32,0.4495,32846689583,1.9326
2023-12-31,2.2205,7128016386,8513100000,0.2567,0,25219085168,979067305,56630407495,97578310661.48,0.4453,31411322327,1.859
2023-09-30,2.0237,6517200206,8112600000,0.2928,0,26458072593,990055729,56529729173,96351731201.44,0.468,30071656580,1.6873
2023-06-30,1.8012,5790335691,6633000000,0.3178,0,26616815030,941002773,55397932157,93559305622.2,0.4805,28781117127,1.4965
2023-03-31,1.956,4853228993,6102200000,0.2833,0,23909829845,967533161,53702253709,90714685172.32,0.4452,29792423864,1.6084
2022-12-31,1.7095,5257513588,3007000000,0.2306,0,21779200663,931585408,50767498791,91523705667.24,0.429,28988298128,1.3847
2022-09-30,1.5854,5263888780,2375500000,0.242,0,22809031550,938344291,51256669113,93454915880.92,0.445,28447637563,1.2896
2022-06-30,1.5685,4148092578,2626000000,0.2614,0,21704557934,876415275,48244110328,109113377072.92,0.4499,26539552394,1.2769
2022-03-31,1.6278,4326913090,640000000,0.2428,0,19750625616,865076234,46890662380,92854674868.56,0.4212,27140036764,1.3375
2021-12-31,1.677,4311233501,1138940000,0.2322,0,18490789663,863737090,44784893954,123023310098.48,0.4129,26294104291,1.3668
2021-09-30,1.6334,3819083574,1340970000,0.2465,0,19027757257,767746898,44840370691,110261664227,0.4243,25812613434,1.3568
2021-06-30,1.6893,3928398931,2322970000,0.2575,0,19374179871,769996093,44323091308,145754176262.2,0.4371,24948911437,1.4387
2021-03-31,1.622,3778573220,2323000000,0.2763,0,17399507380,753765381,39922816663,115597095874.56,0.4358,22523309283,1.3442
2020-12-31,1.5299,3734495117,1985000000,0.2637,0,16832717886,756282114,38423625184,120539072412.6,0.4381,21590907298,1.2451
2020-09-30,1.3582,3813541231,1785000000,0.284,0,18624744852,718953092,39619419698,81254121861.48,0.4701,20994674846,1.1067
2020-06-30,1.1593,3305018660,748000000,0.3232,0,22785182188,748028717,43288740944,52354847851.1,0.5264,20503558756,0.9631
2020-03-31,1.2613,2580920157,1293000000,0.3108,0,19873973321,736329056,41742008801,48115284225.4,0.4761,21868035480,1.035
2019-12-31,1.2021,3457428686,1193000000,0.2932,0,17457198085,695400166,38826279607,60181734544.7,0.4496,21369081522,0.9652
2019-09-30,1.2167,3382227363,1866000000,0.2959,0,19219210336,615408905,40109144612,53885104544.4,0.4792,20889934276,0.9849
2019-06-30,1.165,3245862567,1866000000,0.3092,0,19573101260,592036377,39465667534,57020876456.9,0.496,19892566274,0.9434
2019-03-31,1.2693,3187090950,1877000000,0.2926,0,18740982413,590174849,39461303458,61034664504.9,0.4749,20720321045,1.0226
2018-12-31,1.2609,3593707590,1246875075,0.2349,0,14300566064,594503112,34490438670,57146307333.4,0.4146,20189872606,0.9808
2018-09-30,1.3835,3548858666,1290875075,0.2888,0,15784094397,30613303,36394811465,63844316138.5,0.4337,20610717068,1.121
2018-06-30,1.3295,3694890108,1624855075,0.312,0,16380794206,0,35406987700,64496556696.3,0.4626,19026193494,1.0913
2018-03-31,1.5066,3280617104,1738000000,0.2856,0,14042060332,0,33404363606,62138456218.1,0.4204,19362303274,1.2071
2017-12-31,1.5548,3716260518,1711000000,0.2498,0,12698751215,0,31704009489,72749908370,0.4005,19005258274,1.2263
2017-09-30,1.413,3282077178,937500000,0.2721,0,12584352844,0,30673593788,63944660839.7,0.4103,18089240944,1.1026
2017-06-30,1.3753,3117064070,835500000,0.3025,0,13237967644,0,30679011433,65324400481.2,0.4315,17441043789,1.0897
2017-03-31,1.6005,2943981474,776000000,0.2314,0,11655356344,0,30403497132,56719842353.3,0.3834,18748140788,1.2478
2016-12-31,1.5444,3636343106,776000000,0.2222,0,11827299629,0,29865845423,46735544583.9,0.396,18038545794,1.2414
2016-09-30,1.5682,2929704559,1101000000,0.2287,0,11507404737,0,28380649922,42370550081.7,0.4055,16873245185,1.2391
