date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,132914238084.76,3.7069,,,,,0.0412,15.0688,,,,,3.6911,,,,,14.7779,,,,,2.8713,,,,
2026-07-02,129991325328.92,3.6254,,,,,0.0422,14.7374,,,,,3.6099,,,,,14.4529,,,,,2.8082,,,,
2026-07-01,130487176600.0,3.6392,,,,,0.0420,14.7936,,,,,3.6237,,,,,14.5081,,,,,2.8189,,,,
2026-06-30,131635463754.08,3.6712,,,,,0.0416,14.9238,,,,,3.6555,,,,,14.6358,,,,,2.8437,,,,
2026-06-29,136098125193.8,3.7957,,,,,0.0403,15.4297,,,,,3.7795,,,,,15.1319,,,,,2.9401,,,,
2026-06-26,131609366318.76,3.6705,,,,,0.0416,14.9208,,,,,3.6548,,,,,14.6329,,,,,2.8431,,,,
2026-06-25,125293786971.32,3.4943,,,,,0.0437,14.2048,,,,,3.4794,,,,,13.9307,,,,,2.7067,,,,
2026-06-24,125606956195.16,3.5031,,,,,0.0436,14.2403,,,,,3.4881,,,,,13.9655,,,,,2.7135,,,,
2026-06-23,128529868951.0,3.5846,,,,,0.0426,14.5717,,,,,3.5693,,,,,14.2905,,,,,2.7766,,,,
2026-06-22,130617663776.6,3.6428,,,,,0.0420,14.8084,,,,,3.6273,,,,,14.5226,,,,,2.8217,,,,
2026-06-18,130356689423.4,3.6355,,,,,0.0420,14.7788,,,,,3.6200,,,,,14.4936,,,,,2.8161,,,,
2026-06-17,132287899637.08,3.6894,,,,,0.0414,14.9978,,,,,3.6737,,,,,14.7083,,,,,2.8578,,,,
2026-06-16,132183509895.8,3.6865,,,,,0.0415,14.9859,,,,,3.6708,,,,,14.6967,,,,,2.8555,,,,
2026-06-15,136776658512.12,3.8146,,,,,0.0401,15.5067,,,,,3.7983,,,,,15.2074,,,,,2.9547,,,,
2026-06-12,136620073900.2,3.8102,,,,,0.0401,15.4889,,,,,3.7940,,,,,15.1900,,,,,2.9514,,,,
2026-06-11,136776658512.12,3.8146,,,,,0.0401,15.5067,,,,,3.7983,,,,,15.2074,,,,,2.9547,,,,
2026-06-10,138446894372.6,3.8612,,,,,0.0396,15.6960,,,,,3.8447,,,,,15.3931,,,,,2.9908,,,,
2026-06-09,139386402044.12,3.8874,,,,,0.0393,15.8025,,,,,3.8708,,,,,15.4975,,,,,3.0111,,,,
2026-06-08,138707868725.8,3.8685,,,,,0.0395,15.7256,,,,,3.8519,,,,,15.4221,,,,,2.9965,,,,
