date,流动资产合计,资产合计,长期负债合计,有息负债率,速动比率,所有者权益合计,流动比率,资产负债率,负债合计,流动负债合计
2026-03-31,154403962,190715792665,0,0.0103,1.0159,81722876513,1.2346,0.5715,108992916153,5826577484
2025-12-31,155271537,202961073176,0,0.0124,0.9937,81984727009,1.2121,0.5961,120976346167,6908609058
2025-09-30,160069919,185630444877,0,0.0074,1.0091,78799507718,1.2214,0.5755,106830937160,8836715824
2025-06-30,134870163,180226322948,0,0.0078,1.0188,78115080070,1.2209,0.5666,102111242878,7035330896
2025-03-31,358549865,199907426594,0,0.007,1.0413,80585305189,1.2351,0.5969,119322121405,7362895740
2024-12-31,592426825,208168160961,36000000,0.0071,1.0426,79080599242,1.203,0.6201,129087561719,10887896995
2024-09-30,783217000,183635854449,36000000,0.0129,1.1179,74634333959,1.2628,0.5936,109001520491,7371867715
2024-06-30,822694700,187321694927,36000000,0.0072,1.1057,74013622211,1.2574,0.6049,113308072715,5996592698
2024-03-31,1146610349,190549279168,36000000,0.007,1.1458,75762349697,1.2855,0.6024,114786929471,5825515753
2023-12-31,1442876966,190171127138,72000000,0.0069,1.1211,74683256839,1.2683,0.6073,115487870299,7923792853
2023-09-30,2149469264,186378350874,76000000,0.0074,1.1355,73798911538,1.2626,0.604,112579439336,8301693797
2023-06-30,2227324510,174992803678,76000000,0.0077,1.1284,71930346826,1.2699,0.589,103062456852,7116078625
2023-03-31,2796260588,174108744772,76000000,0.0074,1.1472,73817378603,1.2912,0.576,100291366169,5370793637
2022-12-31,458389187,146048555952,36000000,0.0452,1.1888,62948804561,1.2768,0.569,83099751390,5655256793
2022-09-30,1074613893,143694541734,40000000,0.0069,1.1463,61931388062,1.2942,0.569,81763153672,7689555587
2022-06-30,1036757898,138812360581,40000000,0.0072,1.1173,60814437452,1.2843,0.5619,77997923129,4956070975
2022-03-31,914569413,141204402697,640000000,0.0091,1.1382,61184869943,1.2854,0.5667,80019532753,5193768752
2021-12-31,1151292247,135404623480,600000000,0.0372,1.0498,55866239944,1.1975,0.5874,79538383535,9840509514
2021-09-30,1424355117,131899923710,654300000,0.0095,1.1396,55626142444,1.2457,0.5783,76273781266,7757922356
2021-06-30,1479108608,130457601160,654300000,0.012,1.1514,54291527696,1.2361,0.5838,76166073465,4667333564
2021-03-31,1409293533,127989062492,955300000,0.0131,1.1423,54917837066,1.2278,0.5709,73071225425,4613841528
2020-12-31,1450031415,120915805350,955300000,0.0394,1.0386,53480307466,1.1645,0.5577,67435497884,4471158191
2020-09-30,1795811137,111454983833,1555300000,0.0174,1.0174,47478376567,1.1515,0.574,63976607266,5289446773
2020-06-30,2055476727,102801758303,1555300000,0.0187,1.0176,46573783982,1.1616,0.547,56227974321,2162739730
2020-03-31,2329906614,95283479874,55300000,0.0044,0.903,44580850504,1.0804,0.5321,50702629370,2377452671
2019-12-31,0,97617053590,55300000,0.0373,0.9264,43934070978,1.0076,0.5499,53682982612,0
2019-09-30,0,92946725364,0,0.0025,0.9146,43470837262,1.0776,0.5323,49475888102,0
2019-06-30,0,92648982678,0,0.0023,0.8722,43876412430,1.0371,0.5264,48772570248,0
2019-03-31,0,95867326904,0,0.0022,0.8624,44339047825,1.0278,0.5375,51528279079,0
2018-12-31,0,93488854099,0,0.0368,0.8672,46152921953,1.0012,0.5063,47335932146,0
2018-09-30,0,94645030906,0,0.002,0.9306,46763309308,1.1126,0.5059,47881721598,0
2018-06-30,0,100410971452,0,0.002,1.0455,47187609241,1.1684,0.5301,53223362212,0
2018-03-31,0,107165793150,0,0.0017,1.0801,48799178295,1.2087,0.5446,58366614855,0
2017-12-31,0,106125114623,6575973,0.0248,1.0437,47463179258,1.1493,0.5528,58661935364,0
2017-09-30,0,104378966918,6575973,0.0019,0.9774,46155707023,1.2041,0.5578,58223259895,0
2017-06-30,0,107282719087,19980912,0.002,0.9719,44926265716,1.1864,0.5812,62356453372,0
2017-03-31,0,111693930084,19980912,0.0198,0.9509,45740283843,1.1379,0.5905,65953646241,0
2016-12-31,0,106510473734,19980912,0.0394,0.9606,43353159550,1.1001,0.593,63157314184,0
2016-09-30,0,100618255681,26641216,0.0217,0.8703,38820335015,1.0554,0.6142,61797920666,0
2016-06-30,0,95478684158,0,0.0224,0.8094,36571640274,1.0157,0.617,58907043885,0
