日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=18.5600,=18.5600,=18.5600,=18.5600,=170659282350.72,=157284679087.0,=111254241036.8,,=1.8850,,,,
2026-07-02,=17.7700,=17.7700,=17.7700,=17.7700,=163395228845.49,=150589910957.0,=106518742630.6,,=1.8048,,,,
2026-07-01,=17.4300,=17.4300,=17.4300,=17.4300,=160268927336.91,=147708618345.0,=104480680025.4,,=1.7702,,,,
2026-06-30,=17.2800,=17.2800,=17.2800,=17.2800,=158889676671.36,=146437459839.0,=103581534758.4,,=1.7550,,,,
2026-06-29,=18.0200,=18.0200,=18.0200,=18.0200,=165693979954.74,=152708508467.0,=108017318075.6,,=1.8301,,,,
2026-06-26,=17.6800,=17.6800,=17.6800,=17.6800,=162567678446.16,=149827215854.0,=105979255470.4,,=1.7956,,,,
2026-06-25,=17.7500,=17.7500,=17.7500,=17.7500,=163211328756.75,=150420423157.0,=106398856595.0,,=1.8027,,,,
2026-06-24,=17.6200,=17.6200,=17.6200,=17.6200,=162015978179.94,=149318752452.0,=105619597363.6,,=1.7895,,,,
2026-06-23,=18.0500,=18.0500,=18.0500,=18.0500,=165969830087.85,=152962740168.0,=108197147129.0,,=1.8332,,,,
2026-06-22,=18.9500,=18.9500,=18.9500,=18.9500,=174245334081.15,=160589691201.0,=113592018731.0,,=1.9246,,,,
2026-06-18,=18.3700,=18.3700,=18.3700,=18.3700,=168912231507.69,=155674544980.0,=110115323698.6,,=1.8657,,,,
2026-06-17,=18.9100,=18.9100,=18.9100,=18.9100,=173877533903.67,=160250715600.0,=113352246659.8,,=1.9205,,,,
2026-06-16,=18.6500,=18.6500,=18.6500,=18.6500,=171486832750.05,=158047374190.0,=111793728197.0,,=1.8941,,,,
2026-06-15,=19.1900,=19.1900,=19.1900,=19.1900,=176452135146.03,=162623544810.0,=115030651158.2,,=1.9490,,,,
2026-06-12,=18.9100,=18.9100,=18.9100,=18.9100,=173877533903.67,=160250715600.0,=113352246659.8,,=1.9205,,,,
2026-06-11,=18.2200,=18.2200,=18.2200,=18.2200,=167532980842.14,=154403386474.0,=109216178431.6,,=1.8505,,,,
2026-06-10,=18.8500,=18.8500,=18.8500,=18.8500,=173325833637.45,=159742252197.0,=112992588553.0,,=1.9144,,,,
2026-06-09,=19.9200,=19.9200,=19.9200,=19.9200,=183164488385.04,=168809849537.0,=119406491457.6,,=2.0231,,,,
2026-06-08,=19.5100,=19.5100,=19.5100,=19.5100,=179394536565.87,=165335349622.0,=116948827727.8,,=1.9815,,,,
2026-06-05,=18.6500,=18.6500,=18.6500,=18.6500,=171486832750.05,=158047374190.0,=111793728197.0,,=1.8941,,,,
2026-06-04,=18.1400,=18.1400,=18.1400,=18.1400,=166797380487.18,=153725435271.0,=108736634289.2,,=1.8423,,,,
2026-06-03,=17.9600,=17.9600,=17.9600,=17.9600,=165142279688.52,=152200045065.0,=107657659968.8,,=1.8241,,,,
2026-06-02,=18.1400,=18.1400,=18.1400,=18.1400,=166797380487.18,=153725435271.0,=108736634289.2,,=1.8423,,,,
2026-06-01,=18.0700,=18.0700,=18.0700,=18.0700,=166153730176.59,=153132227969.0,=108317033164.6,,=1.8352,,,,
2026-05-29,=17.9400,=17.9400,=17.9400,=17.9400,=164958379599.78,=152030557264.0,=107537773933.2,,=1.8220,,,,
2026-05-28,=17.9000,=17.9000,=17.9000,=17.9000,=164590579422.3,=151691581662.0,=107298001862.0,,=1.8180,,,,
2026-05-27,=18.4700,=18.4700,=18.4700,=18.4700,=169831731951.39,=156521983983.0,=110714753876.6,,=1.8758,,,,
