date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,170659282350.72,1.8842,,,,,20.2742,,,,,21.7927,,,,,1.8850,,,,,0.0250,1.8416,,,,
2026-07-02,163395228845.49,1.8040,,,,,19.4112,,,,,20.8651,,,,,1.8048,,,,,0.0261,1.7632,,,,
2026-07-01,160268927336.91,1.7695,,,,,19.0398,,,,,20.4659,,,,,1.7702,,,,,0.0266,1.7295,,,,
2026-06-30,158889676671.36,1.7542,,,,,18.8760,,,,,20.2897,,,,,1.7550,,,,,0.0269,1.7146,,,,
2026-06-29,165693979954.74,1.8294,,,,,19.6843,,,,,21.1586,,,,,1.8301,,,,,0.0258,1.7880,,,,
2026-06-26,162567678446.16,1.7948,,,,,19.3129,,,,,20.7594,,,,,1.7956,,,,,0.0263,1.7543,,,,
2026-06-25,163211328756.75,1.8019,,,,,19.3894,,,,,20.8416,,,,,1.8027,,,,,0.0262,1.7612,,,,
2026-06-24,162015978179.94,1.7887,,,,,19.2474,,,,,20.6890,,,,,1.7895,,,,,0.0263,1.7483,,,,
2026-06-23,165969830087.85,1.8324,,,,,19.7171,,,,,21.1939,,,,,1.8332,,,,,0.0257,1.7910,,,,
2026-06-22,174245334081.15,1.9238,,,,,20.7002,,,,,22.2506,,,,,1.9246,,,,,0.0245,1.8803,,,,
2026-06-18,168912231507.69,1.8649,,,,,20.0666,,,,,21.5696,,,,,1.8657,,,,,0.0253,1.8227,,,,
2026-06-17,173877533903.67,1.9197,,,,,20.6565,,,,,22.2036,,,,,1.9205,,,,,0.0246,1.8763,,,,
2026-06-16,171486832750.05,1.8933,,,,,20.3725,,,,,21.8984,,,,,1.8941,,,,,0.0249,1.8505,,,,
2026-06-15,176452135146.03,1.9481,,,,,20.9624,,,,,22.5324,,,,,1.9490,,,,,0.0242,1.9041,,,,
2026-06-12,173877533903.67,1.9197,,,,,20.6565,,,,,22.2036,,,,,1.9205,,,,,0.0246,1.8763,,,,
2026-06-11,167532980842.14,1.8497,,,,,19.9028,,,,,21.3935,,,,,1.8505,,,,,0.0255,1.8079,,,,
2026-06-10,173325833637.45,1.9136,,,,,20.5910,,,,,22.1332,,,,,1.9144,,,,,0.0246,1.8704,,,,
2026-06-09,183164488385.04,2.0222,,,,,21.7598,,,,,23.3896,,,,,2.0231,,,,,0.0233,1.9765,,,,
2026-06-08,179394536565.87,1.9806,,,,,21.3119,,,,,22.9082,,,,,1.9815,,,,,0.0238,1.9358,,,,
2026-06-05,171486832750.05,1.8933,,,,,20.3725,,,,,21.8984,,,,,1.8941,,,,,0.0249,1.8505,,,,
2026-06-04,166797380487.18,1.8415,,,,,19.8154,,,,,21.2995,,,,,1.8423,,,,,0.0256,1.7999,,,,
2026-06-03,165142279688.52,1.8233,,,,,19.6188,,,,,21.0882,,,,,1.8241,,,,,0.0258,1.7821,,,,
2026-06-02,166797380487.18,1.8415,,,,,19.8154,,,,,21.2995,,,,,1.8423,,,,,0.0256,1.7999,,,,
2026-06-01,166153730176.59,1.8344,,,,,19.7389,,,,,21.2173,,,,,1.8352,,,,,0.0257,1.7930,,,,
2026-05-29,164958379599.78,1.8212,,,,,19.5969,,,,,21.0647,,,,,1.8220,,,,,0.0259,1.7801,,,,
2026-05-28,164590579422.3,1.8172,,,,,19.5532,,,,,21.0177,,,,,1.8180,,,,,0.0259,1.7761,,,,
2026-05-27,169831731951.39,1.8750,,,,,20.1759,,,,,21.6870,,,,,1.8758,,,,,0.0251,1.8327,,,,
2026-05-26,173601683770.56,1.9167,,,,,20.6238,,,,,22.1684,,,,,1.9175,,,,,0.0246,1.8733,,,,
2026-05-25,173141933548.71,1.9116,,,,,20.5691,,,,,22.1097,,,,,1.9124,,,,,0.0247,1.8684,,,,
2026-05-22,174337284125.52,1.9248,,,,,20.7111,,,,,22.2624,,,,,1.9256,,,,,0.0245,1.8813,,,,
2026-05-21,174337284125.52,1.9248,,,,,20.7111,,,,,22.2624,,,,,1.9256,,,,,0.0245,1.8813,,,,
2026-05-20,178383086077.8,1.9694,,,,,21.1918,,,,,22.7790,,,,,1.9703,,,,,0.0239,1.9249,,,,
2026-05-19,177555535678.47,1.9603,,,,,21.0935,,,,,22.6733,,,,,1.9612,,,,,0.0240,1.9160,,,,
2026-05-18,178291136033.43,1.9684,,,,,21.1809,,,,,22.7673,,,,,1.9693,,,,,0.0239,1.9239,,,,
