date,资产合计,长期负债合计,流动资产合计,货币资金,所有者权益合计,速动比率,有息负债率,资产负债率,流动比率,应收账款,流动负债合计,负债合计
2026-03-31,174464603000,6951514000,106715000,176727985279.14,91706756000,1.4207,0.1297,0.4744,1.7627,26868879000,2743212000,82757847000
2025-12-31,173299138000,7853367000,75550000,194290443753.81,89431397000,1.3998,0.144,0.4839,1.7298,25540365000,2958450000,83867741000
2025-09-30,156896818000,10545656000,69315000,196944824459.88,74536279000,1.2696,0.1568,0.5249,1.5948,27317858000,2618314000,82360539000
2025-06-30,153621383000,10391504000,94397000,152125855764.15,74603360000,1.269,0.1561,0.5144,1.6016,28144236000,2475241000,79018023000
2025-03-31,153838157000,11098410000,96948000,161617831165.59,75943375000,1.3049,0.1594,0.5063,1.6492,26780383000,2656200000,77894782000
2024-12-31,152145076000,11556182000,99206000,139667638049.76,73001599000,1.2641,0.1684,0.5202,1.5943,25516530000,2520831000,79143477000
2024-09-30,149900465000,15410837000,81886000,160007585338.56,72151750000,1.3222,0.1865,0.5187,1.6896,26263709000,2263953000,77748715000
2024-06-30,156833986000,20053127000,61824000,140014713910.5,70321990000,1.3187,0.2143,0.5516,1.6657,26540460000,2165469000,86511996000
2024-03-31,154569079000,21809481000,78440000,123722092655.46,70652481000,1.3852,0.2221,0.5429,1.7597,25328305000,2174672000,83916598000
2023-12-31,151202320000,23555728000,67102000,116848643063.49,69172953000,1.4159,0.2362,0.5425,1.7942,24164729000,2177672000,82029367000
2023-09-30,154307992000,21788760000,158731000,134852107162.43,68940677000,1.3216,0.2165,0.5532,1.6877,23186393000,1952824000,85367315000
2023-06-30,161278089000,23987424000,63107000,141132192706.81,67904969000,1.2735,0.2305,0.579,1.6315,26404687000,2100539000,93373120000
2023-03-31,159166203000,24779473000,78873000,145036029666.83,67471676000,1.2801,0.2285,0.5761,1.6673,24269932000,2194754000,91694527000
2022-12-31,158754601000,21624937000,58548000,134193919131.8,66008709000,1.2557,0.2225,0.5842,1.5638,25021610000,1896704000,92745892000
2022-09-30,154355411000,20006722000,76281000,117886809971.48,65966212000,1.2742,0.2087,0.5726,1.6198,25406111000,2531643000,88389199000
2022-06-30,150016003000,19793087000,75726000,161882031560.26,64286140000,1.2971,0.2078,0.5715,1.6214,23221241000,2279601000,85729863000
2022-03-31,145649955000,11899519000,51527000,148802371087.92,66710751000,1.2093,0.1581,0.542,1.5699,22454876000,2102640000,78939204000
2021-12-31,138556543000,9602665000,78717000,193631002592.4,65095132000,1.2116,0.1519,0.5302,1.5256,19655404000,1765531000,73461411000
2021-09-30,136601632000,9273908000,0,216042344784.96,66101386000,1.2723,0.1382,0.5161,1.586,22898466000,1843665000,70500246000
2021-06-30,144637256000,9765953000,0,246665385836.37,63722550000,1.2019,0.1391,0.5594,1.4954,25986459000,1898672000,80914706000
2021-03-31,141443706000,8040700000,0,289730593540.4,63906207000,1.1707,0.122,0.5482,1.5121,27629812000,1723844000,77537499000
2020-12-31,126254548000,4531569000,0,296578165485.36,58187752000,1.1455,0.1281,0.5391,1.4735,21512081000,1739033000,68066796000
2020-09-30,119930784000,3315787000,0,210960552298.71,54901439000,1.2197,0.131,0.5422,1.4826,27596881000,1296110000,65029345000
2020-06-30,116466007000,2885251000,0,158658569048,51139816000,1.2685,0.1129,0.5609,1.5121,29660994000,1234286000,65326191000
2020-03-31,97711301000,862901000,0,145774060125,47564699000,1.2541,0.1239,0.5132,1.5863,26262676000,1218979000,50146602000
2019-12-31,90541298000,1302835000,0,143608559270,45526745000,1.272,0.1389,0.4972,1.6252,21792894000,0,45014553000
2019-09-30,88183101000,1537341000,0,119524545193.2,43421234000,1.3184,0.1745,0.5076,1.5954,25018878000,0,44761867000
2019-06-30,86958122000,1491630000,0,109546209507.6,40597925000,1.2585,0.1679,0.5331,1.5112,25786010000,0,46360197000
2019-03-31,83665074000,1408835000,0,107039830224.6,39699823000,1.2108,0.1516,0.5255,1.51,25382854000,0,43965251000
2018-12-31,73774723000,1940704000,0,65057933242.8,32502113000,1.1587,0.2061,0.5594,1.5293,20133360000,0,41272610000
2018-09-30,69737326000,3632312000,0,69216033170.4,31313397000,1.2614,0.215,0.551,1.6387,20345192000,0,38423929000
2018-06-30,67258339000,3648090000,0,69415435931.4,28927943000,1.2104,0.2165,0.5699,1.5644,20071241000,0,38330396000
2018-03-31,63816328000,3843994000,0,60579456128.4,28266627000,1.2396,0.2217,0.5571,1.5948,20052255000,0,35549701000
2017-12-31,58237690000,3366915000,0,69550670686.2,26373181000,1.2126,0.2363,0.5471,1.5754,18365634000,0,31864509000
2017-09-30,59255916000,3168630000,0,58473421195.5,25766291000,1.1987,0.282,0.5652,1.4799,18742829000,0,33489625000
2017-06-30,59516406000,5580368000,0,62259183255.6,25038820000,1.2479,0.2946,0.5793,1.5341,18693760000,0,34477586000
2017-03-31,60820774000,8200415000,0,55137254112,24360993000,1.3126,0.3406,0.5995,1.6166,18454978000,0,36459781000
2016-12-31,61554967000,9412947000,0,46426297972,23452703000,1.3208,0.4076,0.619,1.5963,18084787000,0,38102264000
2016-09-30,60037717000,7604560000,0,41631409943.5,24184567000,1.2665,0.39,0.5972,1.5262,21875106000,0,35853150000
