date,流动比率,资产负债率,应收账款,流动负债合计,负债合计,所有者权益合计,长期负债合计,货币资金,流动资产合计,资产合计,速动比率,有息负债率
2026-03-31,0.9902,0.2903,13308000000,4715000000,227396000000,555883000000,29673000000,992585172746.75,0,783279000000,0.88,0.1603
2025-12-31,1.6465,0.2331,13225000000,3810000000,146310000000,481451000000,28268000000,804675058177.5,0,627761000000,1.4408,0.0621
2025-09-30,1.7982,0.2436,11978000000,5474000000,156612000000,486264000000,29791000000,764938018267.5,0,642876000000,1.5667,0.0654
2025-06-30,1.4289,0.3112,13118000000,4079000000,212433000000,470095000000,32423000000,805469798975.7,0,682528000000,1.304,0.063
2025-03-31,2.1689,0.2371,13303000000,3882000000,159423000000,512884000000,32453000000,761957740274.25,0,672307000000,1.9681,0.075
2024-12-31,2.2147,0.2342,12466000000,4045000000,154116000000,503952000000,28932000000,863883247643.4,0,658068000000,2.0126,0.0659
2024-09-30,2.2025,0.241,13009000000,5161000000,156498000000,492853000000,28312000000,866267470038,0,649351000000,2.007,0.0658
2024-06-30,1.6717,0.2979,12561000000,4360000000,200388000000,472370000000,28815000000,881566230403.35,0,672758000000,1.5211,0.0644
2024-03-31,2.3488,0.2357,14169000000,6912000000,153996000000,499413000000,29820000000,776660445040.95,0,653409000000,2.1323,0.0664
2023-12-31,2.1723,0.2408,11875000000,7208000000,151761000000,478370000000,29636000000,622878100589.25,0,630131000000,1.9665,0.0699
2023-09-30,2.1243,0.2472,13054000000,7096000000,154438000000,470288000000,30638000000,619897822596,0,624726000000,1.878,0.0663
2023-06-30,1.7064,0.3178,14764000000,5077000000,210673000000,452144000000,38635000000,610956988616.25,0,662817000000,1.542,0.0769
2023-03-31,2.4284,0.2491,14601000000,6397000000,160429000000,483664000000,38612000000,559696207132.35,0,644093000000,2.1988,0.0856
2022-12-31,2.1447,0.2613,10968000000,5597000000,162456000000,459245000000,38438000000,548768521157.1,0,621701000000,1.9526,0.0916
2022-09-30,2.3995,0.2552,11754000000,8775000000,160512000000,468335000000,44820000000,628639971376.2,0,628847000000,2.1805,0.0992
2022-06-30,1.7927,0.3156,10095000000,6385000000,205227000000,444987000000,44838000000,661621714501.5,0,650214000000,1.6484,0.0966
2022-03-31,2.5732,0.2531,13798000000,8581000000,159051000000,469395000000,48865000000,591485839060.35,0,628446000000,2.3452,0.1012
2021-12-31,2.2705,0.2658,10258000000,6864000000,161376000000,445676000000,49193000000,447439069386.6,0,607052000000,2.0467,0.1077
2021-09-30,2.495,0.256,11939000000,8368000000,150996000000,438889000000,52956000000,450220662180.3,0,589885000000,2.1981,0.1068
2021-06-30,1.9047,0.2971,10221000000,6928000000,178055000000,421279000000,51686000000,387833509521.6,0,599334000000,1.7055,0.1046
2021-03-31,2.5837,0.2472,10980000000,7112000000,144439000000,439833000000,51985000000,399357251095.5,0,584272000000,2.2567,0.1085
2020-12-31,2.4784,0.2387,7798000000,5256000000,133317000000,425130000000,50251000000,358212064394.55,0,558447000000,2.2312,0.1148
2020-09-30,2.4613,0.2453,9662000000,6543000000,137791000000,423943000000,51618000000,327582048893.85,0,561734000000,2.185,0.1129
2020-06-30,1.4916,0.2796,10501000000,5088000000,161019000000,414872000000,32790000000,285614949805.6,0,575891000000,1.3298,0.0728
2020-03-31,1.747,0.2634,9735000000,6206000000,152801000000,427345000000,36307000000,323007436270.4,0,580146000000,1.5584,0.0796
2019-12-31,1.6809,0.2558,7847000000,4784000000,142865000000,415619000000,36943000000,362985573395,0,558484000000,1.5082,0.0902
2019-09-30,1.8329,0.2605,9869000000,6504000000,146119000000,414739000000,39798000000,373527072238.8,0,560858000000,1.6462,0.0928
2019-06-30,1.6232,0.2869,10355000000,5661000000,161550000000,401599000000,40386000000,405350464974.8,0,563149000000,1.4718,0.0941
2019-03-31,1.7947,0.2675,10582000000,5762000000,147724000000,404602000000,42508000000,390035457220.6,0,552326000000,1.6434,0.1031
2018-12-31,1.8909,0.3113,8488000000,3404000000,182789000000,404450000000,46765000000,357217583461.6,0,587239000000,1.7891,0.1528
2018-09-30,1.8602,0.3306,10005000000,6695000000,198282000000,401549000000,53355000000,405549361179.4,0,599831000000,1.7395,0.1779
2018-06-30,1.3135,0.3477,0,6041000000,205923000000,386389000000,68527000000,396599031972.4,0,592312000000,1.1663,0.1663
2018-03-31,1.3501,0.321,14413000000,0,184131000000,389524000000,66001000000,414698586591,0,573655000000,1.1702,0.1641
2017-12-31,1.1444,0.3394,13319000000,0,192497000000,374627000000,64321000000,460842506058.2,0,567124000000,1.0235,0.1679
2017-09-30,1.0815,0.3443,14553000000,0,192825000000,367209000000,63625000000,416488652432.4,0,560034000000,0.932,0.1614
2017-06-30,0.9807,0.4193,16309000000,0,254902000000,353064000000,61906000000,443339640053.4,0,607966000000,0.888,0.1748
2017-03-31,1.325,0.3298,16751000000,0,195088000000,396422000000,60033000000,385063052105.6,0,591510000000,1.1922,0.1813
2016-12-31,1.1897,0.3354,16179000000,0,191760000000,379904000000,58462000000,321814059042.8,0,571664000000,1.0428,0.1854
2016-09-30,1.2362,0.3389,18253000000,0,191821000000,374197000000,60983000000,302322230992,0,566018000000,1.0616,0.1913
