date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,27750000000,17363000000,-0.1546,1.1701
2025-12-31,29059000000,75059000000,-0.176,1.1955
2025-09-30,29930000000,65253000000,-0.1991,1.2113
2025-06-30,38639000000,45794000000,-0.1175,1.3539
2025-03-31,48968000000,20538000000,-0.2588,1.3147
2024-12-31,57558000000,93348000000,0.0408,1.3555
2024-09-30,67884000000,83504000000,0.1176,1.4674
2024-06-30,62379000000,52668000000,0.1363,1.465
2024-03-31,53258000000,28553000000,-0.0223,1.3298
2023-12-31,54104000000,89687000000,-0.1827,1.2886
2023-09-30,56866000000,74720000000,-0.1797,1.3565
2023-06-30,66046000000,46349000000,-0.2058,1.347
2023-03-31,78114000000,29203000000,0.027,1.3732
2022-12-31,82580000000,109734000000,0.1631,1.3439
2022-09-30,94616000000,91090000000,0.3489,1.4666
2022-06-30,88298000000,58363000000,0.4511,1.4805
2022-03-31,83524000000,28436000000,0.4498,1.5264
2021-12-31,71620000000,94575000000,0.1634,1.5933
2021-09-30,51874000000,67506000000,-0.0564,1.4035
2021-06-30,45499000000,40219000000,-0.2513,1.2677
2021-03-31,45340000000,19614000000,-0.3459,1.4304
2020-12-31,61106000000,81289000000,0.2881,1.7199
2020-09-30,59932000000,71540000000,0.2605,1.6304
2020-06-30,57785000000,53720000000,0.3089,1.596
2020-03-31,44162000000,29984000000,-0.0316,1.282
2019-12-31,45226000000,63106000000,-0.2849,1.2244
2019-09-30,58395000000,56757000000,-0.1631,1.4105
2019-06-30,76894000000,41043000000,0.2851,1.7735
2019-03-31,87348000000,30964000000,1.6218,1.9632
2018-12-31,68255000000,88248000000,-0.0726,1.633
2018-09-30,62714000000,67822000000,-0.1908,1.444
2018-06-30,62054000000,31937000000,-0.3296,1.4851
2018-03-31,63364000000,11810000000,-0.5273,1.519
2017-12-31,76226000000,95152000000,0.162,1.7604
2017-09-30,74428000000,83814000000,0.3481,2.1356
2017-06-30,62896000000,47637000000,0.2468,2.0553
2017-03-31,63289000000,24983000000,0.6409,2.4625
2016-12-31,53474000000,81883000000,0.4779,2.7723
2016-09-30,54360000000,62174000000,0.6792,3.4089
