date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.38,-0.4865,51796875576,5876939302
2025-12-31,1.99,-0.3539,219503805223,30868147821
2025-09-30,1.74,-0.2689,167598747676,27069589918
2025-06-30,1.12,0.0667,109099344307,17536092241
2025-03-31,0.74,0.7619,57960419103,11694538846
2024-12-31,3.08,1.0811,233859078967,49100495234
2024-09-30,2.38,0.7372,174737328066,38124060912
2024-06-30,1.05,0.0194,101201055323,16870079709
2024-03-31,0.42,-0.0455,48269963140,6755000228
2023-12-31,1.48,-0.7833,175447746641,23860257491
2023-09-30,1.37,-0.7743,134556391967,22071089744
2023-06-30,1.03,-0.7457,91842797123,16560637401
2023-03-31,0.44,-0.7457,47353397528,7127458399
2022-12-31,6.83,0.2218,391058496607,109594742015
2022-09-30,6.06,0.4292,316540570024,97214871101
2022-06-30,4.04,0.7339,210784852626,64722202639
2022-03-31,1.72,0.7732,105529746796,27617373125
2021-12-31,5.59,8.0161,333693610751,89296137821
2021-09-30,4.23,16.625,231478581373,67590339185
2021-06-30,2.33,32.2857,139264347388,37097843149
2021-03-31,1.26,62,64842809520,15452331838
2020-12-31,0.81,0.4464,171258833814,9927098239
2020-09-30,0.31,0.7222,117708736827,3860159559
2020-06-30,0.09,-0.1,74052930031,1137163927
2020-03-31,0.02,-0.6667,36108895427,291519467
2019-12-31,0.56,3.6667,151056682120,6764104771
2019-09-30,0.18,1.25,111617288281,2116273911
2019-06-30,0.1,24,72101161373,1237231471
2019-03-31,0.06,2,35075095504,687356113
2018-12-31,0.12,-0.5385,120829528788,1230026418
2018-09-30,0.08,-0.7037,82130067909,862585992
2018-06-30,0.004,-0.9778,45075204712,40795567
2018-03-31,0.02,-0.3333,21923366327,180872937
2017-12-31,0.26,1.268,90463957861,2661935871
2017-09-30,0.27,1.3,67598753056,2735876568
2017-06-30,0.18,1.2571,43468656681,1863466834
2017-03-31,0.03,1.0682,20101447987,270140451
2016-12-31,-0.97,-20.4,71160180860,-9906003613
2016-09-30,-0.9,-31,49874487331,-9220127196
