date,负债合计,流动资产合计,应收账款,长期负债合计,有息负债率,流动比率,资产负债率,流动负债合计,所有者权益合计,速动比率,资产合计,货币资金
2026-03-31,48096872532,0,2759768339,7236271663,0.1034,3.6353,0.19,2630874110,205089542619,3.2762,253186415151,122731847729.64
2025-12-31,52284946547,0,2922319660,7018946364,0.1042,3.1923,0.2042,2915942015,203715783622,2.8942,256000730169,115842754376.94
2025-09-30,52570866448,0,2680373295,7233880529,0.1072,3.1033,0.2059,3283169571,202770658481,2.7895,255341524929,123049805884.38
2025-06-30,51936325431,0,3021281747,7796171663,0.1121,3.2299,0.2052,2513017774,201203212986,2.9016,253139538417,113776026371.13
2025-03-31,52127134396,0,3269011095,10862293845,0.1116,3.4817,0.2046,2809460406,202607514562,3.1319,254734648958,128720059643.91
2024-12-31,54257807200,0,3773192484,10086380926,0.116,3.2452,0.2131,2569304570,200377436700,2.9319,254635243900,126017415328.62
2024-09-30,54103961187,0,3831813522,11077597777,0.1216,3.6859,0.2146,3564584965,197986954974,3.3081,252090916161,138523769415.06
2024-06-30,47530622790,0,3764816408,12869256071,0.1031,3.3899,0.195,2712749333,196203888590,2.9744,243734511380,125010547838.61
2024-03-31,46021060380,0,3672811264,16694144033,0.0965,3.7758,0.1877,2899997193,199153846256,3.3209,245174906636,118068461460.12
2023-12-31,48220471978,0,4398854276,15611937445,0.0941,3.4085,0.1959,2887907489,197968727563,2.9869,246189199541,119552266182.24
2023-09-30,50451640418,0,4852618972,16632174380,0.1061,3.3508,0.2042,3871859503,196620801991,2.9398,247072442409,137940846131.37
2023-06-30,46606391530,0,4508435247,11335002918,0.099,3.0677,0.1932,3296563790,194575672963,2.6652,241182064493,125805443225.46
2023-03-31,45083084271,0,4264212553,10096935564,0.0917,3.2418,0.185,3652580673,198578105022,2.8246,243661189293,149705297856.75
2022-12-31,47982827505,0,5637337662,9688650727,0.0907,2.9804,0.1967,3576718529,195993594732,2.5677,243976422237,145094904613.02
2022-09-30,44049326398,0,2624069226,7064426664,0.0868,3.0525,0.1884,3823221510,189717823970,2.683,233767150368,152672907300.99
2022-06-30,41113493684,0,2561733306,6356768364,0.0902,3.2518,0.1796,3057861931,187840438198,2.8526,228953931882,186959394987.12
2022-03-31,34514879140,0,2306253099,6219398608,0.0672,4.4768,0.1494,2940888650,196481367298,4.0167,230996246438,209269458844.71
2021-12-31,38688591817,0,2377083287,3747694525,0.0516,3.7829,0.1678,3250031274,191826071820,3.4437,230514663637,213561893933.7
2021-09-30,32812865150,0,1250999778,3136494244,0.0478,4.8676,0.1548,5966742611,179160324461,4.3293,211973189611,216211545223.2
2021-06-30,29238354169,0,1097055669,2937555000,0.0493,5.1392,0.1455,3572316278,171669224605,4.5773,200907578774,217536370867.95
2021-03-31,29452760055,0,1019615722,3045279111,0.0525,5.4517,0.145,4086089506,173730817334,4.979,203183577389,271430278096.38
2020-12-31,32755937453,0,1204534848,3309680477,0.0521,4.6641,0.163,4244633168,168216820558,4.2321,200972758011,273549999127.98
2020-09-30,39051828058,0,1541815706,3857185461,0.0665,3.6827,0.1986,6203280542,157613120964,3.2913,196664949022,292839460515.54
2020-06-30,34473346696,0,2066116651,3228290701,0.0716,3.7901,0.1881,3738066182,148821221413,3.4459,183294568109,280386099507.8
2020-03-31,32375424809,0,1158266110,3755342417,0.0635,4.1736,0.1802,3923776380,147287040333,3.7203,179662465142,291991572158
2019-12-31,36456732556,0,1273619922,3871291872,0.0659,3.5414,0.2039,3493690637,142320448980,3.24,178777181536,290401781384
2019-09-30,34127669862,0,996037212,3910151217,0.0652,3.3264,0.2053,4911188633,132140550711,2.9652,166268220573,219073168657.2
2019-06-30,28910166893,0,1270295712,3686554950,0.0667,3.5547,0.19,3157043824,123212455486,3.1501,152122622379,219921057070
2019-03-31,29676999822,0,1171010680,3697509750,0.0719,3.4658,0.1948,3113844579,122652041125,3.0793,152329040947,202327372504.4
2018-12-31,33129478712,0,1232637935,2606582305,0.0684,2.7552,0.2215,3313102709,116417873327,2.4442,149547352039,155163579542.4
2018-09-30,31534263494,0,1117461929,3180821983,0.0766,2.5708,0.2275,5690335066,107081458134,2.1843,138615721628,194961341918.2
2018-06-30,25379295085,0,0,3130277060,0.0838,2.6764,0.2041,2508742968,98947601091,2.3178,124326896176,177420650378.4
2018-03-31,27483204203,0,1028577614,4368568418,0.1072,2.582,0.2209,0,96918763400,2.242,124401967603,170478563998.6
2017-12-31,30178477236,0,1059713200,4860480971,0.1144,2.1764,0.2471,0,91964107360,1.9156,122142584596,155428544671.4
2017-09-30,30707435204,0,769852717,5687357250,0.1418,1.9355,0.2635,0,85819033740,1.6583,116526468944,132323585422.6
2017-06-30,28837210856,0,632273096,4858604702,0.1436,1.8705,0.2545,0,84483061924,1.5533,113320272780,120453147643.4
2017-03-31,28621186457,0,520734322,5931025154,0.1483,2.0408,0.2571,0,82689994261,1.7076,111311180718,109907535509.2
2016-12-31,29215349483,0,654679046,5447249980,0.1459,1.7241,0.2668,0,80298771482,1.4232,109514120965,89876171756.8
2016-09-30,28090304514,0,546292303,5703592100,0.1496,1.9364,0.2657,0,77630046653,1.5683,105720351167,89293248473
