date,流动比率,流动资产合计,长期负债合计,资产负债率,负债合计,所有者权益合计,有息负债率,资产合计,速动比率,流动负债合计
2026-03-31,1.4384,0,598000000,0.5203,116386799694,107303536902,0.2355,223690336596,0.9339,2012213115
2025-12-31,1.5521,0,1166200000,0.5034,101145637570,99786727041,0.2513,200932364611,0.9552,1512341320
2025-09-30,1.566,0,2547532246,0.4857,89462669445,94728090466,0.2194,184190759911,0.9739,2669091249
2025-06-30,1.4932,0,3912469000,0.5015,89580943016,89046706872,0.2155,178627649887,0.9595,2677760538
2025-03-31,1.6985,0,7826404217,0.5038,91404017379,90039741724,0.2291,181443759103,1.0592,2582545041
2024-12-31,1.7416,0,9333840116,0.4952,84294195547,85942236145,0.1993,170236431692,1.0599,2621355529
2024-09-30,1.4628,0,11265960937,0.5706,103695305328,78030075913,0.3053,181725381242,0.9356,2465544638
2024-06-30,1.516,0,17089212094,0.5916,109964951567,75914930511,0.3174,185879882077,0.9814,2637116909
2024-03-31,1.6426,0,18016465207,0.5795,102914175371,74680660778,0.313,177594836148,1.0444,2860707716
2023-12-31,1.7078,0,18767717545,0.584,101012356495,71962174207,0.3109,172974530703,1.042,2515301405
2023-09-30,1.5564,0,20352044418,0.637,117649207467,67033772714,0.3524,184682980181,0.9221,2405964839
2023-06-30,1.6184,0,23485335583,0.6488,117116128924,63404573512,0.3272,180520702437,0.9915,1845014895
2023-03-31,1.7323,0,20050932692,0.6261,102063104133,60941442591,0.3165,163004546724,1.064,2132569588
2022-12-31,1.7115,0,18975172199,0.6241,102981802840,62037416699,0.3294,165019219539,1.0247,1689792175
2022-09-30,1.6868,0,22393546014,0.6419,109637476363,61161848080,0.3675,170799324443,1.1018,1246345853
2022-06-30,1.7491,0,20678688681,0.6395,99380022557,56019475245,0.3644,155399497802,1.1587,1143208500
2022-03-31,1.3533,0,14813218354,0.7031,117122628119,49456696985,0.4427,166579325103,0.9081,669686761
2021-12-31,1.4006,0,13610578855,0.6489,89185560286,48264212337,0.3921,137449772623,0.8394,637933777
2021-09-30,1.3904,0,13752877705,0.6592,93544386624,48351038304,0.4343,141895424928,0.8746,492109892
2021-06-30,1.3396,0,16316178935,0.6302,80042640407,46965642609,0.4611,127008283016,0.7747,524778522
2021-03-31,1.3088,0,16669108724,0.642,84964657298,47374775888,0.4954,132339433187,0.8407,476068930
2020-12-31,1.3513,0,15360372820,0.6134,75106394886,47334855003,0.4439,122441249890,0.8184,371984342
2020-09-30,1.4826,0,15692195513,0.6056,75173189806,48959032252,0.4277,124132222058,0.9407,507865217
2020-06-30,1.515,0,18482182207,0.5895,71133616807,49537992646,0.4438,120671609453,0.891,345927231
2020-03-31,1.444,0,18419649669,0.6025,75185579295,49599245126,0.4476,124784824421,0.9571,1134762024
2019-12-31,1.5669,0,16278909766,0.5765,67366630383,49495596093,0.426,116862226477,0.9365,416194762
2019-09-30,1.4205,0,17417525439,0.5998,73508051410,49046428894,0.4111,122554480304,0.7899,697107553
2019-06-30,1.8836,0,17823622563,0.5187,51734340011,48001195446,0.3629,99735535457,1.515,681590409
2019-03-31,2.2035,0,18372761633,0.5283,55098947466,49192596695,0.3665,104291544161,1.818,715025054
2018-12-31,2.451,0,20196854833,0.51,51618181925,49597935312,0.3383,101216117236,2.0275,0
2018-09-30,2.2682,0,20576987000,0.5222,54600606000,49967372000,0.3411,104567978000,1.8971,0
2018-06-30,2.3184,0,20460473000,0.5255,53033958000,47882248000,0.3461,100916206000,1.9401,0
2018-03-31,2.8072,0,20682910600,0.5245,51506124400,46693612300,0.3376,98199736700,2.4106,0
2017-12-31,2.8918,0,22033888519,0.5308,51928111875,45909134278,0.3465,97837246152,2.4611,0
2017-09-30,2.927,0,25209251400,0.5521,55324161200,44882995700,0.3611,100207156900,2.4852,0
2017-06-30,1.3328,0,22464844000,0.6999,61579606400,26400808600,0.4153,87980415000,1.0203,0
2017-03-31,1.3026,0,23027766035,0.6035,53162119725,34926211328,0.4007,88088331053,0.9522,0
2016-12-31,1.2391,0,23376879939,0.6105,53809911631,34336926967,0.3988,88146838598,0.9026,0
2016-09-30,1.4875,0,12525477676,0.5918,26507744779,18281748652,0.5305,44789493431,1.4099,0
2016-06-30,1.976,0,2823580000,0.4824,16561455497,17772941013,0.3848,34334396510,1.8742,0
