date,流动比率,应收账款,流动资产合计,长期负债合计,资产负债率,负债合计,有息负债率,流动负债合计,货币资金,资产合计,速动比率,所有者权益合计
2026-03-31,1.3448,8356060642,1069601440,57434023125,0.5137,282500837539,0.3342,8166739628,870048182431.84,549920131226,1.0152,267419293687
2025-12-31,1.1446,9308395310,1001387258,58504325968,0.5156,263982621036,0.3287,6766458733,916548101335.8,512005142450,0.8026,248022521414
2025-09-30,1.1994,7505355169,933852583,63404395428,0.5301,256040587353,0.356,7557918512,782443776793.6,483007569343,0.8782,226966981990
2025-06-30,0.9702,9271711391,955602421,61333770917,0.5636,247860819991,0.3829,7200402984,518262691830,439743195741,0.6118,191882375750
2025-03-31,1.026,8134990443,975288259,50511671251,0.5489,225951145507,0.3767,6723979755,481585639792.8,411646821529,0.6531,185695676022
2024-12-31,0.9915,6811753955,996367891,61452661465,0.5519,218880000963,0.3791,6657948416,401857680772.8,396610730026,0.6056,177730729063
2024-09-30,1.0848,7256852528,902504375,69759576398,0.5538,209378880554,0.3878,7616663236,482122905371.6,378055900562,0.6459,168677020008
2024-06-30,1.0637,7218015637,1040355503,69134572205,0.5665,208983707071,0.404,5908947393,466973508675.8,368876382001,0.6161,159892674930
2024-03-31,0.945,8125146010,1090948931,77954261689,0.583,207476042995,0.4166,6608101278,442803133970.8,355906653868,0.5432,148430610873
2023-12-31,0.9221,7777908320,1143837782,77530909080,0.5966,204642909694,0.4187,6163764972,328029077650.4,343005706012,0.5288,138362796318
2023-09-30,0.9721,8051009878,1173605893,72095456817,0.5902,195256507733,0.4117,7700104642,319341309141.2,330804735031,0.5194,135548227298
2023-06-30,1.0841,8417271303,1201849213,74682068308,0.5894,192468866020,0.416,7537620208,299333114998.8,326550093749,0.6084,134081227729
2023-03-31,1.0918,8244648262,1276152618,69698134982,0.5851,184523229558,0.405,7527007786,326206054053.6,315363969494,0.6152,130840739936
2022-12-31,1.1191,7916964606,1227197810,68819578332,0.5933,181588693965,0.4077,7412075704,263293122400,306044139470,0.6536,124455445505
2022-09-30,1.2835,8412254303,1046890500,62697552038,0.5829,167169345949,0.3984,9001771567,206421807961.6,286770456652,0.7344,119601110703
2022-06-30,1.1768,8895306239,997423622,53476489923,0.5911,160509983434,0.3859,8672735924,245652483199.2,271566824733,0.6665,111056841299
2022-03-31,1.1022,3384791238,0,46245165682,0.5656,132098603359,0.3939,1086175058,298574400801.6,233574764907,0.6618,101476161548
2021-12-31,0.9356,2445223101,0,36126816893,0.5547,115697507579,0.3759,671955151,255402088728,208594678123,0.5163,92897170544
2021-09-30,0.9644,1730071809,0,32847620574,0.5478,111742202686,0.3797,990346194,265645506601.6,203976836970,0.5289,92234634284
2021-06-30,0.8788,1526031423,0,31590879188,0.5549,110242902186,0.3705,832849899,255114465705.6,198662029033,0.5169,88419126847
2021-03-31,0.8831,1474520587,0,30610320909,0.5829,110963182876,0.3961,695547048,245052574052.52,190377344207,0.4994,79414161331
2020-12-31,0.8347,1141449611,0,29082887198,0.5908,107716808927,0.4098,452695891,235754744898.34,182313250403,0.4207,74596441476
2020-09-30,0.717,1086229851,0,28424303543,0.5954,101758364364,0.3955,1033052378,156070148667.9,170913952308,0.293,69155587944
2020-06-30,0.706,1001354194,0,16837557955,0.603,90339334762,0.3997,555956075,111659943780,149804640044,0.3478,59465305282
2020-03-31,0.7864,793106936,0,17166489910,0.5806,81097150451,0.4046,780829792,93642089215.5,139677647334,0.352,58580496883
2019-12-31,0.8571,944115730,0,13826221524,0.5391,66751349155,0.3764,359453565,116481623170.5,123830947219,0.3712,57079598064
2019-09-30,0.8044,1001379824,0,14125857328,0.594,69817479371,0.4222,529193028,75312085770.3,117539786579,0.3535,47722307208
2019-06-30,0.787,644961624,0,13171630302,0.5967,69561822721,0.4102,288630888,86827695215.3,116581961442,0.3997,47020138721
2019-03-31,0.8518,915076592,0,12416053790,0.5829,65945152396,0.42,404319190,80839578303.9,113134220876,0.417,47189068480
2018-12-31,0.818,1009871109,0,12917915706,0.5812,65605591140,0.4202,277125058,76924271092.6,112879303842,0.4395,47273712702
2018-09-30,0.8569,1460737202,0,7062706900,0.5808,53005275097,0.4159,0,82221451437.3,91266018431,0.4065,38260743334
2018-06-30,0.969,2463263517,0,6883997079,0.5854,53267786124,0.4121,0,83142700192.9,90988937898,0.5099,37721151774
2018-03-31,1.0029,1575042502,0,6892370776,0.5808,52834632067,0.4333,0,100185802171.5,90965293709,0.5773,38130661642
2017-12-31,0.9959,1292864505,0,6599046795,0.5785,51672418332,0.4159,0,105713294705.1,89315263550,0.5641,37642845218
2017-09-30,0.9667,1045543841,0,6445021325,0.5976,55969782449,0.4491,0,89130817104.3,93659255809,0.5055,37689473360
2017-06-30,0.9078,849109384,0,5493505501,0.6156,58405567060,0.4199,0,78997080792.7,94875681222,0.5096,36470114162
2017-03-31,0.8106,756429673,0,6350489237,0.645,59206062396,0.4412,0,72807713537,91786876738,0.4043,32580814342
2016-12-31,0.7131,783067488,0,5775423277,0.6512,58101192073,0.4339,0,71946083791,89217700259,0.3329,31116508186
2016-09-30,0.7305,622417004,0,6270676314,0.6504,56580236094,0.4161,0,69145787116.5,86987938968,0.3658,30407702874
