date,metric,value
2026-03-31,所有者权益合计,64173334308
2026-03-31,毛利率(GM),0.2259
2026-03-31,速动比率,0.8037
2026-03-31,资产负债率,0.6504
2026-03-31,流动负债合计,7191853144
2026-03-31,营业收入,29790570753
2026-03-31,货币资金,118426046780.16
2026-03-31,基本每股收益,0.175
2026-03-31,净资产收益率(ROE),0.1064
2026-03-31,总资产收益率(ROA),0.0379
2026-03-31,归属于母公司普通股股东的净利润,2056440953
2026-03-31,净利润率,0.065
2026-03-31,负债合计,119393996165
2026-03-31,应收账款,44472020848
2026-03-31,资本回报率(ROIC),0.0703
2026-03-31,流动比率,1.1975
2026-03-31,有息负债率,0.2567
2026-03-31,经营活动产生的现金流量净额,2151953235
2026-03-31,长期负债合计,5235776386
2026-03-31,资产合计,183567330473
2026-03-31,经营活动产生的现金流量净额对净利润的比率,2.2944
2026-03-31,自由现金流量,11542643382
2026-03-31,流动资产合计,143621030
