date,净利润率,总资产收益率(ROA),毛利率(GM),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.065,0.0379,0.2259,0.0703,0.1064
2025-12-31,0.0663,0.0401,0.2261,0.0739,0.1093
2025-09-30,0.0668,0.0391,0.2165,0.0731,0.1112
2025-06-30,0.0689,0.0389,0.2208,0.0724,0.1084
2025-03-31,0.068,0.0381,0.2233,0.0709,0.1053
2024-12-31,0.0653,0.0371,0.2255,0.0702,0.1015
2024-09-30,0.0639,0.0348,0.2292,0.0689,0.0982
2024-06-30,0.0598,0.0324,0.2239,0.0678,0.0935
2024-03-31,0.0568,0.0311,0.2245,0.0665,0.0922
2023-12-31,0.0564,0.0311,0.2238,0.0667,0.0934
2023-09-30,0.0482,0.0258,0.2234,0.0602,0.0788
2023-06-30,0.051,0.0378,0.229,0.0907,0.1148
2023-03-31,0.0454,0.0305,0.2182,0.0775,0.0944
2022-12-31,0.0458,0.0301,0.2021,0.0728,0.0935
2022-09-30,0.064,0.0412,0.1989,0.1003,0.125
2022-06-30,0.0602,0.0373,0.1658,0.0898,0.1086
2022-03-31,0.067,0.0503,0.1588,0.116,0.1429
2021-12-31,0.067,0.056,0.1624,0.1231,0.1583
2021-09-30,0.0644,0.0617,0.1561,0.1324,0.1675
2021-06-30,0.0597,0.0567,0.1587,0.1231,0.1517
2021-03-31,0.0573,0.0541,0.1673,0.1172,0.1387
2020-12-31,0.0506,0.0443,0.1707,0.0942,0.1105
2020-09-30,0.0454,0.0389,0.1717,0.0806,0.0931
2020-06-30,0.0543,0.0434,0.1749,0.0869,0.1018
2020-03-31,0.0547,0.0429,0.1783,0.0835,0.0977
2019-12-31,0.0616,0.0526,0.1745,0.0966,0.1139
2019-09-30,0.0668,0.056,0.1742,0.1071,0.1181
2019-06-30,0.0628,0.0523,0.1738,,0.1136
2019-03-31,0.0539,0.0435,0.1639,,0.0926
2018-12-31,0.0463,0.037,0.1669,0.0662,0.0756
2018-09-30,0.0422,0.0322,0.1751,,0.068
2018-06-30,0.041,0.0317,0.1783,,0.069
2018-03-31,0.0398,0.0274,0.1884,,0.0597
2017-12-31,0.0353,0.0219,0.1889,,0.0462
2017-09-30,0.0314,0.0174,0.1952,,0.0374
2017-06-30,0.0275,0.0143,0.1906,,0.0309
2017-03-31,0.021,0.0091,0.1891,,0.0197
2016-12-31,0.0128,0.005,0.1944,,0.0105
2016-09-30,0.0092,0.0032,0.2018,,0.0069
2016-06-30,0.0062,0.0021,0.2055,,0.0045
