date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,23155089057,0.4091,0.67,10216128311
2025-12-31,74854368353,0.2879,1.96,30076100952
2025-09-30,55814696247,0.327,1.51,23158914573
2025-06-30,33039304701,0.2044,0.89,13719079187
2025-03-31,17761364918,0.2913,0.42,6545117520
2024-12-31,63789215688,0.062,1.41,21703696593
2024-09-30,46141632672,0.0073,1.09,16798864247
2024-06-30,30183442434,-0.0418,0.69,10569764459
2024-03-31,13754570045,-0.1038,0.32,4958574617
2023-12-31,60067992766,-0.0774,1.3,19720547413
2023-09-30,45806736636,-0.0806,1.08,16413947439
2023-06-30,31499960024,-0.097,0.75,11305770957
2023-03-31,15348206851,0.0087,0.36,5417237420
2022-12-31,65108507999,-0.1492,1.42,21317422282
2022-09-30,49821498122,-0.1382,1.11,16567546038
2022-06-30,34885387538,-0.0752,0.76,11196326780
2022-03-31,15216257791,-0.072,0.36,5229072057
2021-12-31,76523716527,0.4071,1.77,23099624928
2021-09-30,57811543805,0.3766,1.36,17645144597
2021-06-30,37720623459,0.4105,0.94,12197983849
2021-03-31,16396868531,0.2758,0.4,5164799333
2020-12-31,54382730242,0.2606,1.16,14902324216
2020-09-30,41994620928,0.2813,0.99,12660811987
2020-06-30,26743555666,0.2273,0.7,8925877417
2020-03-31,12852369127,0.2214,0.32,4075530541
2019-12-31,43139697642,0.159,1.01,12228609724
2019-09-30,32773899543,0.2045,0.87,10522213380
2019-06-30,21791181444,0.09,0.53,6445621808
2019-03-31,10522437260,0.0835,0.35,4257600288
2018-12-31,37220708075,-0.1402,0.77,9389895990
2018-09-30,27209287878,-0.0453,0.6,7314589126
2018-06-30,19992553276,0.0694,0.46,5565152037
2018-03-31,9711536103,0.1274,0.22,2689748826
2017-12-31,43291634081,0.1392,0.94,11433264546
2017-09-30,28499383218,0.054,0.65,7927026700
2017-06-30,18694198555,0.0295,0.41,4926508889
2017-03-31,8615360582,0.1336,0.19,2300788702
2016-12-31,38001923489,-0.3216,0.86,10365168588
2016-09-30,27040087385,-0.3624,0.66,7940947373
2016-06-30,18159324638,-0.4163,0.43,5242131128
