date,资产负债率
2026-03-31,0.9098
2025-12-31,0.907
2025-09-30,0.9102
2025-06-30,0.9132
2025-03-31,0.9124
2024-12-31,0.9142
2024-09-30,0.9146
2024-06-30,0.9163
2024-03-31,0.9152
2023-12-31,0.9155
2023-09-30,0.9155
2023-06-30,0.9178
2023-03-31,0.9181
2022-12-31,0.9183
2022-09-30,0.9181
2022-06-30,0.9193
2022-03-31,0.9206
2021-12-31,0.9196
2021-09-30,0.9199
2021-06-30,0.9201
2021-03-31,0.9185
2020-12-31,0.9185
2020-09-30,0.9175
2020-06-30,0.9159
2020-03-31,0.9147
2019-12-31,0.9205
2019-09-30,0.9223
2019-06-30,0.9285
2019-03-31,0.9289
2018-12-31,0.9298
2018-09-30,0.9298
2018-06-30,0.9323
2018-03-31,0.9331
2017-12-31,0.9316
2017-09-30,0.9305
2017-06-30,0.9316
2017-03-31,0.9309
2016-12-31,0.9315
2016-09-30,0.929
2016-06-30,0.9316
