date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,13.1806,91724000000,1.4541,649738000000
2025-12-31,7.4563,375836000000,2.1264,354937000000
2025-09-30,-0.1375,165476000000,2.0253,-29042000000
2025-06-30,1.4512,21257000000,1.0556,51849000000
2025-03-31,-1.8068,-202002000000,0.5537,-103383000000
2024-12-31,-7.2795,-333654000000,-1.8591,-353782000000
2024-09-30,2.6573,-161398000000,-2.485,97750000000
2024-06-30,-1.0387,-382642000000,-8.8918,-61261000000
2024-03-31,-4.3055,-452630000000,-5.3767,-181589000000
2023-12-31,10.3769,388397000000,0.0638,375532000000
2023-09-30,12.5979,108686000000,5.6362,489683000000
2023-06-30,7.7379,48486000000,-0.257,341389000000
2023-03-31,15.3096,103419000000,1.3764,732709000000
2022-12-31,7.0215,365099000000,2.4196,357100000000
2022-09-30,-2.1177,-23443000000,0.8612,-120399000000
2022-06-30,0.3864,65257000000,1.3066,9870000000
2022-03-31,-7.3799,-274764000000,-1.1184,-411687000000
2021-12-31,-4.7835,-257192000000,-3.035,-268477000000
2021-09-30,-4.5165,-168910000000,-1.804,-263959000000
2021-06-30,-3.5002,-212862000000,-2.7259,-218491000000
2021-03-31,-1.5865,-129705000000,-2.4041,-103654000000
2020-12-31,2.1424,126385000000,2.8416,120593000000
2020-09-30,3.7418,210090000000,4.1148,201653000000
2020-06-30,0.8142,123337000000,12.9648,37241000000
2020-03-31,-2.6764,92378000000,-0.5018,-171276000000
2019-12-31,-1.1533,-68628000000,0.7972,-77457000000
2019-09-30,-0.7086,-67449000000,0.8116,-51892000000
2019-06-30,-3.5224,8832000000,1.0859,-218378000000
2019-03-31,-1.7757,185433000000,7.5192,-109091000000
2018-12-31,-5.9871,-338360000000,-1.4053,-344294000000
2018-09-30,-7.1862,-362079000000,-2.6803,-408386000000
2018-06-30,-0.0495,-118095000000,0.5387,-9569000000
2018-03-31,0.2111,-48725000000,0.7576,1973000000
2017-12-31,-2.5576,-140673000000,0.2673,-149103000000
2017-09-30,-2.559,-98384000000,0.3432,-149910000000
2017-06-30,-5.692,-256026000000,-0.9099,-320106000000
2017-03-31,-5.3672,-200970000000,-0.9784,-295708000000
2016-12-31,-3.5768,-191993000000,-1.5351,-196757000000
2016-09-30,-1.5664,-149795000000,-1.5084,-91503000000
