date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.0636,0.2909,0.0051
2025-12-31,0.0642,0.2897,0.0052
2025-09-30,0.0628,0.2848,0.0051
2025-06-30,0.0623,0.2797,0.0051
2025-03-31,0.061,0.2682,0.0049
2024-12-31,0.062,0.2684,0.005
2024-09-30,0.0612,0.2612,0.0049
2024-06-30,0.0558,0.2413,0.0045
2024-03-31,0.0529,0.2281,0.0043
2023-12-31,0.052,0.2158,0.0042
2023-09-30,0.0554,0.222,0.0046
2023-06-30,0.0636,0.2484,0.0052
2023-03-31,0.0685,0.26,0.0056
2022-12-31,0.0751,0.2757,0.0062
2022-09-30,0.0769,0.276,0.0064
2022-06-30,0.08,0.2817,0.0065
2022-03-31,0.0802,0.2847,0.0066
2021-12-31,0.0812,0.2815,0.0067
2021-09-30,0.0894,0.2926,0.0071
2021-06-30,0.0973,0.3116,0.0077
2021-03-31,0.0968,0.3167,0.0079
2020-12-31,0.0978,0.3004,0.0079
2020-09-30,0.099,0.2892,0.0077
2020-06-30,0.1051,0.2897,0.0079
2020-03-31,0.112,0.3082,0.0087
2019-12-31,0.1145,0.3121,0.009
2019-09-30,0.1223,0.3234,0.0096
2019-06-30,0.1268,0.3212,0.0094
2019-03-31,0.1261,0.3224,0.0093
2018-12-31,0.1243,0.3295,0.0091
2018-09-30,0.1272,0.3291,0.0093
2018-06-30,0.1319,0.3306,0.0092
2018-03-31,0.1337,0.3304,0.0091
2017-12-31,0.1368,0.3262,0.0092
2017-09-30,0.1396,0.3337,0.0094
2017-06-30,0.1486,0.3405,0.0098
2017-03-31,0.148,0.3373,0.0098
2016-12-31,0.1552,0.3338,0.0098
2016-09-30,0.1636,0.3441,0.0105
