date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-02,393840774222.7299,5.0815,0.3307,6.2125,5.5633,4.5994,0.4745,0.0459,0.9201,0.7159,0.5321,0.0573,1.8564,0.3754,2.2651,1.9768,1.6621
2026-06-01,390243088482.92,5.0351,0.3100,6.2125,5.5638,4.5994,0.4702,0.0413,0.9201,0.7164,0.5327,0.0578,1.8395,0.3535,2.2651,1.9768,1.6621
2026-05-29,391512859920.5,5.0515,0.3156,6.2125,5.5657,4.5994,0.4717,0.0430,0.9201,0.7166,0.5329,0.0576,1.8455,0.3589,2.2651,1.9762,1.6621
2026-05-28,380296545555.2099,4.9067,0.2674,6.2125,5.5669,4.5994,0.4582,0.0335,0.9201,0.7167,0.5334,0.0593,1.7926,0.2839,2.2651,1.9766,1.6621
2026-05-27,380931431274.0,4.9149,0.2687,6.2125,5.5670,4.5994,0.4590,0.0335,0.9201,0.7168,0.5339,0.0592,1.7956,0.2861,2.2651,1.9768,1.6621
2026-05-26,377333745534.1899,4.8685,0.2555,6.2125,5.5671,4.5994,0.4547,0.0294,0.9206,0.7170,0.5339,0.0598,1.7786,0.2642,2.2651,1.9768,1.6621
2026-05-25,373312802648.52,4.8166,0.2410,6.2125,5.5681,4.5994,0.4498,0.0215,0.9206,0.7172,0.5339,0.0604,1.7597,0.2385,2.2651,1.9768,1.6621
2026-05-22,369503488335.78,4.7675,0.2313,6.2125,5.5709,4.5994,0.4452,0.0190,0.9234,0.7180,0.5346,0.0611,1.7417,0.2243,2.2651,1.9762,1.6621
2026-05-21,367598831179.41,4.7429,0.2273,6.2125,5.5726,4.5994,0.4429,0.0149,0.9234,0.7181,0.5348,0.0614,1.7327,0.2202,2.2651,1.9766,1.6621
2026-05-20,366752316887.6899,4.7320,0.2245,6.2125,5.5740,4.5994,0.4419,0.0141,0.9234,0.7182,0.5349,0.0615,1.7288,0.2170,2.2651,1.9768,1.6621
2026-05-19,370350002627.5,4.7784,0.2319,6.2125,5.5768,4.5994,0.4462,0.0186,0.9244,0.7186,0.5351,0.0609,1.7457,0.2257,2.2651,1.9768,1.6621
2026-05-18,369291859762.8499,4.7647,0.2303,6.2125,5.5808,4.5994,0.4450,0.0178,0.9244,0.7189,0.5352,0.0611,1.7407,0.2232,2.2651,1.9768,1.6621
2026-05-15,373947688367.31,4.8248,0.2412,6.2125,5.5857,4.5994,0.4506,0.0194,0.9255,0.7196,0.5352,0.0603,1.7627,0.2396,2.2651,1.9762,1.6621
2026-05-14,374370945513.17,4.8303,0.2430,6.2125,5.5861,4.5994,0.4511,0.0194,0.9255,0.7196,0.5360,0.0603,1.7647,0.2421,2.2651,1.9766,1.6621
2026-05-13,374370945513.17,4.8303,0.2431,6.2125,5.5870,4.5994,0.4511,0.0194,0.9255,0.7198,0.5364,0.0603,1.7647,0.2422,2.2651,1.9768,1.6621
2026-05-12,375640716950.75,4.8467,0.2472,6.2125,5.5881,4.5994,0.4526,0.0227,0.9256,0.7201,0.5365,0.0601,1.7707,0.2489,2.2651,1.9768,1.6621
2026-05-11,375217459804.89,4.8412,0.2447,6.2125,5.5892,4.5994,0.4521,0.0211,0.9260,0.7204,0.5367,0.0601,1.7687,0.2476,2.2651,1.9768,1.6621
2026-05-08,375217459804.89,4.8412,0.2445,6.2125,5.5913,4.5994,0.4521,0.0211,0.9263,0.7208,0.5368,0.0601,1.7687,0.2474,2.2651,1.9762,1.6621
2026-05-07,375640716950.75,4.8467,0.2463,6.2125,5.5918,4.5994,0.4526,0.0219,0.9263,0.7208,0.5370,0.0601,1.7707,0.2479,2.2651,1.9766,1.6621
2026-05-06,376487231242.4699,4.8576,0.2480,6.2125,5.5918,4.5994,0.4536,0.0227,0.9263,0.7208,0.5374,0.0599,1.7746,0.2542,2.2651,1.9768,1.6621
2026-04-30,379450031263.4899,4.8958,0.2568,6.2125,5.5918,4.5994,0.4572,0.0260,0.9277,0.7209,0.5375,0.0595,1.7886,0.2713,2.2651,1.9758,1.6621
2026-04-29,384740745586.7399,4.9664,0.2743,6.2125,5.5924,4.5994,0.4767,0.0417,0.9277,0.7211,0.5381,0.0586,1.8085,0.2941,2.2651,1.9762,1.6621
2026-04-28,383894231295.02,4.9555,0.2705,6.2125,5.5932,4.5994,0.4756,0.0401,0.9279,0.7214,0.5381,0.0588,1.8045,0.2904,2.2651,1.9762,1.6621
2026-04-27,384529117013.81,4.9637,0.2726,6.2125,5.5934,4.5994,0.4764,0.0409,0.9283,0.7215,0.5388,0.0587,1.8075,0.2920,2.2651,1.9762,1.6621
2026-04-24,384740745586.7399,4.9664,0.2732,6.2122,5.5957,4.6061,0.4767,0.0409,0.9289,0.7217,0.5388,0.0586,1.8085,0.2930,2.2641,1.9770,1.6635
2026-04-23,385164002732.5999,4.9718,0.2750,6.2125,5.5969,4.5994,0.4772,0.0425,0.9289,0.7218,0.5388,0.0586,1.8105,0.2964,2.2651,1.9770,1.6621
2026-04-22,385587259878.4599,4.9773,0.2755,6.2125,5.5978,4.5994,0.4777,0.0442,0.9289,0.7218,0.5388,0.0585,1.8125,0.2986,2.2651,1.9771,1.6621
2026-04-21,389819831337.06,5.0319,0.2978,6.2125,5.5989,4.5994,0.4830,0.0516,0.9293,0.7220,0.5389,0.0579,1.8324,0.3304,2.2651,1.9773,1.6621
2026-04-20,388550059899.4799,5.0156,0.2887,6.2125,5.5992,4.5994,0.4814,0.0487,0.9295,0.7223,0.5390,0.0581,1.8264,0.3222,2.2651,1.9774,1.6621
2026-04-17,389396574191.1999,5.0265,0.2943,6.2122,5.6012,4.6061,0.4824,0.0504,0.9299,0.7229,0.5396,0.0579,1.8304,0.3273,2.2641,1.9778,1.6635
2026-04-16,393840774222.7299,5.0838,0.3183,6.2125,5.6020,4.5994,0.4879,0.0652,0.9299,0.7231,0.5396,0.0573,1.8513,0.3563,2.2651,1.9778,1.6621
2026-04-15,395745431379.0999,5.1084,0.3296,6.2125,5.6028,4.5994,0.4903,0.0727,0.9299,0.7231,0.5398,0.0570,1.8602,0.3676,2.2651,1.9779,1.6621
2026-04-14,392994259931.01,5.0729,0.3152,6.2125,5.6046,4.5994,0.4869,0.0607,0.9300,0.7233,0.5404,0.0574,1.8473,0.3515,2.2651,1.9787,1.6621
2026-04-13,389819831337.06,5.0319,0.2970,6.2125,5.6069,4.5994,0.4830,0.0508,0.9305,0.7235,0.5407,0.0579,1.8324,0.3296,2.2651,1.9793,1.6621
2026-04-10,392147745639.29,5.0620,0.3079,6.2122,5.6096,4.6061,0.4858,0.0561,0.9309,0.7238,0.5408,0.0575,1.8433,0.3421,2.2641,1.9811,1.6635
2026-04-09,393629145649.8,5.0811,0.3167,6.2125,5.6104,4.5994,0.4877,0.0632,0.9320,0.7239,0.5408,0.0573,1.8503,0.3522,2.2651,1.9814,1.6621
2026-04-08,397438459962.54,5.1303,0.3358,6.2125,5.6112,4.5994,0.4924,0.0789,0.9320,0.7239,0.5410,0.0568,1.8682,0.3779,2.2651,1.9821,1.6621
2026-04-07,392147745639.29,5.0620,0.3081,6.2125,5.6129,4.5994,0.4858,0.0562,0.9320,0.7239,0.5410,0.0575,1.8433,0.3424,2.2651,1.9831,1.6621
2026-04-03,395533802806.17,5.1057,0.3260,6.2122,5.6150,4.6061,0.4900,0.0689,0.9332,0.7252,0.5414,0.0570,1.8592,0.3636,2.2641,1.9835,1.6635
2026-04-02,399978002837.6999,5.1631,0.3497,6.2125,5.6161,4.5994,0.4955,0.0896,0.9337,0.7260,0.5414,0.0564,1.8801,0.3972,2.2651,1.9836,1.6621
2026-04-01,400189631410.63,5.1658,0.3519,6.2125,5.6161,4.5994,0.4958,0.0896,0.9337,0.7260,0.5417,0.0564,1.8811,0.3994,2.2651,1.9838,1.6621
2026-03-31,398284974254.26,5.1412,0.3399,6.2125,5.6163,4.5994,0.4934,0.0810,0.9337,0.7260,0.5418,0.0566,1.8722,0.3858,2.2651,1.9841,1.6621
2026-03-30,395533778546.5501,5.1057,0.3259,6.2125,5.6168,4.5994,0.4900,0.0686,0.9337,0.7264,0.5420,0.0570,1.8592,0.3635,2.2651,1.9841,1.6621
2026-03-27,395745407106.5,5.1084,0.3260,6.2122,5.6173,4.6061,0.4903,0.0693,0.9341,0.7280,0.5422,0.0570,1.8602,0.3640,2.2641,1.9855,1.6635
2026-03-26,399554721185.6,5.1701,0.3526,6.2125,5.6173,4.5994,0.5215,0.1718,0.9342,0.7284,0.5422,0.0861,1.9095,0.4339,2.2651,1.9856,1.6621
2026-03-25,397015178466.2,5.1372,0.3371,6.2125,5.6194,4.5994,0.5182,0.1611,0.9342,0.7284,0.5423,0.0866,1.8974,0.4155,2.2651,1.9859,1.6621
2026-03-24,396168664226.4,5.1263,0.3317,6.2125,5.6228,4.5994,0.5171,0.1586,0.9342,0.7285,0.5429,0.0868,1.8933,0.4097,2.2651,1.9862,1.6621
2026-03-23,386010493348.8,4.9948,0.2825,6.2125,5.6244,4.5994,0.5038,0.1202,0.9342,0.7289,0.5431,0.0891,1.8448,0.3457,2.2651,1.9863,1.6621
2026-03-20,397650064146.05,5.1454,0.3397,6.2122,5.6250,4.6061,0.5190,0.1618,0.9347,0.7293,0.5437,0.0865,1.9004,0.4177,2.2641,1.9866,1.6635
2026-03-19,398496578385.85,5.1564,0.3443,6.2125,5.6250,4.5994,0.5201,0.1656,0.9347,0.7293,0.5437,0.0863,1.9045,0.4253,2.2651,1.9868,1.6621
2026-03-18,401036121105.25,5.1893,0.3565,6.2125,5.6258,4.5994,0.5235,0.1722,0.9347,0.7295,0.5437,0.0858,1.9166,0.4420,2.2651,1.9871,1.6621
2026-03-17,402305892464.95,5.2057,0.3602,6.2125,5.6273,4.5994,0.5251,0.1751,0.9353,0.7304,0.5440,0.0855,1.9227,0.4473,2.2651,1.9876,1.6621
2026-03-16,398496578385.85,5.1564,0.3445,6.2125,5.6283,4.5994,0.5201,0.1656,0.9353,0.7310,0.5443,0.0863,1.9045,0.4254,2.2651,1.9876,1.6621
2026-03-13,398496578385.85,5.1564,0.3442,6.2122,5.6322,4.6061,0.5201,0.1655,0.9356,0.7323,0.5452,0.0863,1.9045,0.4251,2.2641,1.9877,1.6635
2026-03-12,398073321265.95,5.1509,0.3415,6.2125,5.6344,4.5994,0.5196,0.1631,0.9356,0.7331,0.5452,0.0864,1.9024,0.4211,2.2651,1.9877,1.6621
2026-03-11,395957035666.45,5.1235,0.3296,6.2125,5.6344,4.5994,0.5168,0.1570,0.9356,0.7333,0.5453,0.0869,1.8923,0.4085,2.2651,1.9879,1.6621
2026-03-10,390877950227.65,5.0578,0.3057,6.2125,5.6344,4.5994,0.5102,0.1429,0.9358,0.7341,0.5453,0.0880,1.8681,0.3751,2.2651,1.9879,1.6621
2026-03-09,387280264708.5,5.0113,0.2858,6.2125,5.6346,4.5994,0.5055,0.1272,0.9364,0.7351,0.5453,0.0888,1.8509,0.3523,2.2651,1.9879,1.6621
2026-03-06,391936093027.4,5.0715,0.3116,6.2122,5.6372,4.6061,0.5116,0.1449,0.9369,0.7358,0.5459,0.0877,1.8731,0.3842,2.2641,1.9885,1.6635
2026-03-05,390877950227.65,5.0578,0.3051,6.2125,5.6373,4.5994,0.5102,0.1424,0.9369,0.7360,0.5459,0.0880,1.8681,0.3745,2.2651,1.9887,1.6621
2026-03-04,383894207749.3,4.9674,0.2734,6.2125,5.6386,4.5994,0.5011,0.1090,0.9369,0.7364,0.5461,0.0896,1.8347,0.3321,2.2651,1.9887,1.6621
2026-03-03,390243064547.8001,5.0496,0.3024,6.2125,5.6408,4.5994,0.5094,0.1400,0.9370,0.7369,0.5461,0.0881,1.8650,0.3676,2.2651,1.9892,1.6621
2026-03-02,387491893268.45,5.0140,0.2867,6.2125,5.6408,4.5994,0.5058,0.1280,0.9375,0.7369,0.5464,0.0887,1.8519,0.3540,2.2651,1.9892,1.6621
