date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,23832000000,0.0015,1.13,55090000000
2025-12-31,77469000000,0.0034,3.46,212741000000
2025-09-30,63083000000,0.0012,2.85,161234000000
2025-06-30,43141000000,0.0021,1.91,110458000000
2025-03-31,23796000000,-0.0222,1.15,55683000000
2024-12-31,77205000000,0.0012,3.51,212226000000
2024-09-30,63006000000,-0.0302,2.9,164217000000
2024-06-30,43049000000,0.0086,1.94,113043000000
2024-03-31,24336000000,-0.031,1.17,57751000000
2023-12-31,77116000000,-0.1561,3.51,210831000000
2023-09-30,64965000000,-0.0953,2.99,161296000000
2023-06-30,42680000000,-0.0492,1.92,111047000000
2023-03-31,25115000000,-0.0893,1.21,55410000000
2022-12-31,91377000000,0.1052,4.2,222374000000
2022-09-30,71808000000,0.1213,3.32,170854000000
2022-06-30,44887000000,0.119,2.03,115853000000
2022-03-31,27578000000,0.1562,1.33,59403000000
2021-12-31,82680000000,0.241,3.77,221236000000
2021-09-30,64038000000,0.2345,2.95,164047000000
2021-06-30,40112000000,0.2308,1.79,108955000000
2021-03-31,23853000000,0.1367,1.15,55663000000
2020-12-31,66626000000,0.0115,3.08,203137000000
2020-09-30,51875000000,-0.0553,2.37,151783000000
2020-06-30,32590000000,-0.0917,1.45,100017000000
2020-03-31,20985000000,0.0675,1.01,50258000000
2019-12-31,65868000000,0.0866,3.1,181308000000
2019-09-30,54910000000,0.0852,2.57,136606000000
2019-06-30,35879000000,0.066,1.66,89907000000
2019-03-31,19658000000,0.1135,0.95,47619000000
2018-12-31,60620000000,0.0598,2.85,158287000000
2018-09-30,50601000000,0.0732,2.36,114619000000
2018-06-30,33657000000,0.0651,1.55,73385000000
2018-03-31,17655000000,0.0494,0.85,35332000000
2017-12-31,57200000000,0.0622,2.74,139975000000
2017-09-30,47149000000,0.072,2.26,103040000000
2017-06-30,31601000000,0.0734,1.51,68107000000
2017-03-31,16824000000,0.0716,0.88,34546000000
2016-12-31,53850000000,0.0726,2.77,157060000000
2016-09-30,43982000000,0.067,2.25,118658000000
