date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,2509100049906.56,2.9317,,,,,0.6463,,,,,6.7621,,,,,0.6463,,,,,0.0441,6.7568,,,,
2026-07-02,2512664112477.4497,2.9358,,,,,0.6472,,,,,6.7717,,,,,0.6472,,,,,0.0440,6.7664,,,,
2026-07-01,2516228175048.34,2.9400,,,,,0.6481,,,,,6.7813,,,,,0.6481,,,,,0.0440,6.7759,,,,
2026-06-30,2519792237619.23,2.9441,,,,,0.6490,,,,,6.7909,,,,,0.6490,,,,,0.0439,6.7855,,,,
2026-06-29,2573253176182.58,3.0066,,,,,0.6628,,,,,6.9350,,,,,0.6628,,,,,0.0430,6.9295,,,,
2026-06-26,2548304738186.35,2.9775,,,,,0.6564,,,,,6.8678,,,,,0.6564,,,,,0.0434,6.8623,,,,
2026-06-25,2562560988469.91,2.9941,,,,,0.6600,,,,,6.9062,,,,,0.6600,,,,,0.0432,6.9007,,,,
2026-06-24,2573253176182.58,3.0066,,,,,0.6628,,,,,6.9350,,,,,0.6628,,,,,0.0430,6.9295,,,,
2026-06-23,2630278177316.82,3.0732,,,,,0.6775,,,,,7.0887,,,,,0.6775,,,,,0.0420,7.0831,,,,
2026-06-22,2566125051040.8003,2.9983,,,,,0.6609,,,,,6.9158,,,,,0.6609,,,,,0.0431,6.9103,,,,
2026-06-18,2551868800757.24,2.9816,,,,,0.6573,,,,,6.8774,,,,,0.6573,,,,,0.0433,6.8719,,,,
2026-06-17,2623150052175.04,3.0649,,,,,0.6756,,,,,7.0695,,,,,0.6756,,,,,0.0422,7.0639,,,,
2026-06-16,2644534427600.38,3.0899,,,,,0.6811,,,,,7.1271,,,,,0.6811,,,,,0.0418,7.1215,,,,
2026-06-15,2697995366163.73,3.1524,,,,,0.6949,,,,,7.2712,,,,,0.6949,,,,,0.0410,7.2654,,,,
2026-06-12,2772840680152.42,3.2398,,,,,0.7142,,,,,7.4729,,,,,0.7142,,,,,0.0399,7.4670,,,,
2026-06-11,2730071929301.74,3.1898,,,,,0.7032,,,,,7.3576,,,,,0.7032,,,,,0.0405,7.3518,,,,
2026-06-10,2740764117014.41,3.2023,,,,,0.7059,,,,,7.3864,,,,,0.7059,,,,,0.0404,7.3806,,,,
2026-06-09,2687303178451.06,3.1399,,,,,0.6922,,,,,7.2424,,,,,0.6922,,,,,0.0412,7.2366,,,,
2026-06-08,2673046928167.5,3.1232,,,,,0.6885,,,,,7.2039,,,,,0.6885,,,,,0.0414,7.1982,,,,
2026-06-05,2616021927033.26,3.0566,,,,,0.6738,,,,,7.0503,,,,,0.6738,,,,,0.0423,7.0447,,,,
2026-06-04,2576817238753.47,3.0108,,,,,0.6637,,,,,6.9446,,,,,0.6637,,,,,0.0429,6.9391,,,,
2026-06-03,2594637551607.92,3.0316,,,,,0.6683,,,,,6.9926,,,,,0.6683,,,,,0.0426,6.9871,,,,
2026-06-02,2616021927033.26,3.0566,,,,,0.6738,,,,,7.0503,,,,,0.6738,,,,,0.0423,7.0447,,,,
2026-06-01,2601765676749.6997,3.0399,,,,,0.6701,,,,,7.0118,,,,,0.6701,,,,,0.0425,7.0063,,,,
2026-05-29,2573253176182.58,3.0066,,,,,0.6628,,,,,6.9350,,,,,0.6628,,,,,0.0430,6.9295,,,,
2026-05-28,2509100049906.56,2.9317,,,,,0.6463,,,,,6.7621,,,,,0.6463,,,,,0.0441,6.7568,,,,
2026-05-27,2537612550473.68,2.9650,,,,,0.6536,,,,,6.8389,,,,,0.6536,,,,,0.0436,6.8335,,,,
2026-05-26,2558996925899.02,2.9900,,,,,0.6591,,,,,6.8966,,,,,0.6591,,,,,0.0432,6.8911,,,,
