date,资产负债率
2026-03-31,0.8988
2025-12-31,0.8981
2025-09-30,0.8994
2025-06-30,0.9006
2025-03-31,0.8984
2024-12-31,0.8993
2024-09-30,0.8979
2024-06-30,0.8965
2024-03-31,0.8963
2023-12-31,0.8939
2023-09-30,0.8925
2023-06-30,0.8919
2023-03-31,0.8907
2022-12-31,0.8945
2022-09-30,0.8967
2022-06-30,0.8955
2022-03-31,0.8959
2021-12-31,0.8937
2021-09-30,0.8959
2021-06-30,0.8959
2021-03-31,0.897
2020-12-31,0.8963
2020-09-30,0.8976
2020-06-30,0.8958
2020-03-31,0.8955
2019-12-31,0.8963
2019-09-30,0.8979
2019-06-30,0.899
2019-03-31,0.9009
2018-12-31,0.9043
2018-09-30,0.9059
2018-06-30,0.9073
2018-03-31,0.9082
2017-12-31,0.9095
2017-09-30,0.9094
2017-06-30,0.9109
2017-03-31,0.9102
2016-12-31,0.9128
2016-09-30,0.9093
