date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,1.43,-0.0714,218405000000,25022000000
2025-12-31,7.68,0.0726,1050506000000,134778000000
2025-09-30,7.56,0.1233,832940000000,132856000000
2025-06-30,3.87,-0.0808,500076000000,68047000000
2025-03-31,1.54,-0.256,232801000000,27016000000
2024-12-31,7.16,0.4793,1028925000000,126607000000
2024-09-30,6.73,0.3623,775383000000,119182000000
2024-06-30,4.21,0.0685,494966000000,74619000000
2024-03-31,2.07,-0.0461,245569000000,36709000000
2023-12-31,4.84,-0.239,913789000000,85665000000
2023-09-30,4.94,-0.0714,704938000000,87575000000
2023-06-30,3.94,-0.0272,488783000000,69841000000
2023-03-31,2.17,0.4762,253778000000,38352000000
2022-12-31,4.8,-0.1681,1110568000000,83774000000
2022-09-30,4.38,-0.054,870202000000,76463000000
2022-06-30,3.45,0.0486,612102000000,60273000000
2022-03-31,1.18,-0.2338,305940000000,20658000000
2021-12-31,5.77,-0.2877,1180444000000,101618000000
2021-09-30,4.63,-0.2058,904629000000,81638000000
2021-06-30,3.29,-0.1521,635649000000,58005000000
2021-03-31,1.54,0.0476,340308000000,27223000000
2020-12-31,8,-0.0488,1218315000000,143099000000
2020-09-30,5.83,-0.2003,917070000000,103041000000
2020-06-30,3.88,-0.292,629956000000,68683000000
2020-03-31,1.47,-0.4235,328172000000,26063000000
2019-12-31,8.41,0.397,1168867000000,149407000000
2019-09-30,7.29,0.6382,892751000000,129567000000
2019-06-30,5.48,0.681,639155000000,97676000000
2019-03-31,2.55,0.7708,378161000000,45517000000
2018-12-31,6.02,0.2064,976832000000,107404000000
2018-09-30,4.45,0.1962,750456000000,79397000000
2018-06-30,3.26,0.3416,534814000000,58095000000
2018-03-31,1.44,0.1163,310452000000,25702000000
2017-12-31,4.99,0.4257,890882000000,89088000000
2017-09-30,3.72,0.1735,663006000000,66318000000
2017-06-30,2.43,0.0658,463765000000,43427000000
2017-03-31,1.29,0.1121,265643000000,23053000000
2016-12-31,3.5,0.1745,712453000000,62394000000
2016-09-30,3.17,0.2008,546118000000,56508000000
