date,内含价值(EV),新业务价值(NBV)
2026-03-31,,
2025-12-31,613365000000.0,18609000000.0
2025-09-30,,15351000000.0
2025-06-30,588927000000.0,10331000000.0
2025-03-31,,5778000000.0
2024-12-31,562066000000.0,13258000000.0
2024-09-30,,14238000000.0
2024-06-30,568766000000.0,9037000000.0
2024-03-31,,5191000000.0
2023-12-31,529493000000.0,10962000000.0
2023-09-30,,10328000000.0
2023-06-30,537114000000.0,7261000000.0
2023-03-31,,3971000000.0
2022-12-31,519621000000.0,9205000000.0
2022-09-30,,7548000000.0
2022-06-30,509078000000.0,5596000000.0
2022-03-31,,
2021-12-31,498309000000.0,13412000000.0
2021-09-30,,
2021-06-30,474431000000.0,10231000000.0
2021-03-31,,
2020-12-31,459320000000.0,17841000000.0
2020-09-30,,
2020-06-30,430420000000.0,11228000000.0
2020-03-31,,
2019-12-31,395987000000.0,24597000000.0
2019-09-30,,
2019-06-30,365116000000.0,14927000000.0
2019-03-31,,
2018-12-31,336141000000.0,27120000000.0
2018-09-30,,
2018-06-30,309242000000.0,16289000000.0
2018-03-31,,
2017-12-31,286169000000.0,26723000000.0
2017-09-30,,
2017-06-30,271454000000.0,19746000000.0
2017-03-31,,
2016-12-31,245939000000.0,19041000000.0
2016-09-30,,
