date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,92547000000,-0.0125,10041000000,1.04
2025-12-31,435156000000,0.0769,53505000000,5.56
2025-09-30,344904000000,0.1106,45700000000,4.75
2025-06-30,200496000000,0.0301,27885000000,2.9
2025-03-31,93717000000,-0.0179,9627000000,1
2024-12-31,404089000000,0.2474,44960000000,4.67
2024-09-30,310564000000,0.2135,38310000000,3.98
2024-06-30,194634000000,0.1088,25132000000,2.61
2024-03-31,95428000000,0.011,11759000000,1.22
2023-12-31,323945000000,-0.0247,27257000000,2.83
2023-09-30,255926000000,0.0096,23149000000,2.41
2023-06-30,175539000000,0.0648,18332000000,1.91
2023-03-31,94386000000,0.1939,11626000000,1.21
2022-12-31,455372000000,0.0334,24609000000,2.56
2022-09-30,360420000000,0.027,20272000000,2.11
2022-06-30,255114000000,0.0103,13301000000,1.38
2022-03-31,146554000000,-0.0311,5437000000,0.57
2021-12-31,440643000000,0.0437,26834000000,2.79
2021-09-30,350934000000,0.0264,22686000000,2.36
2021-06-30,252512000000,0.0723,17304000000,1.8
2021-03-31,151263000000,0.0944,8547000000,0.89
2020-12-31,422182000000,0.0952,24584000000,2.63
2020-09-30,341920000000,0.0986,19648000000,2.12
2020-06-30,235481000000,0.0685,14239000000,1.57
2020-03-31,138211000000,0.038,8388000000,0.93
2019-12-31,385489000000,0.0878,27741000000,3.06
2019-09-30,311226000000,0.0739,22914000000,2.53
2019-06-30,220386000000,0.0767,16183000000,1.79
2019-03-31,133153000000,0.07,5479000000,0.6
2018-12-31,354363000000,0.108,18019000000,1.99
2018-09-30,289815000000,0.1184,12715000000,1.4
2018-06-30,204694000000,0.1528,8254000000,0.91
2018-03-31,124438000000,0.1479,3751000000,0.41
2017-12-31,319809000000,0.1977,14662000000,1.62
2017-09-30,258957000000,0.2142,10926000000,1.21
2017-06-30,177556000000,0.227,6509000000,0.72
2017-03-31,108402000000,0.2991,2000000000,0.22
2016-12-31,267014000000,0.0801,12057000000,1.33
2016-09-30,213273000000,0.1033,8829000000,0.97
