日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=38.6600,=38.6600,=38.6600,=38.6600,=1092713495300.0,=805037669800.0,=57990000000.0,,=0.0221
2026-07-02,=38.5100,=38.5100,=38.5100,=38.5100,=1088473789550.0,=801914140300.0,=57765000000.0,,=0.0222
2026-07-01,=38.7800,=38.7800,=38.7800,=38.7800,=1096105259900.0,=807536493400.0,=58170000000.0,,=0.0221
2026-06-30,=35.3500,=35.3500,=35.3500,=35.3500,=999157321750.0,=736111785500.0,=53025000000.0,,=0.0242
2026-06-29,=35.7400,=35.7400,=35.7400,=35.7400,=1010180556700.0,=744232962200.0,=53610000000.0,,=0.0240
2026-06-26,=35.0400,=35.0400,=35.0400,=35.0400,=990395263200.0,=729656491200.0,=52560000000.0,,=0.0244
2026-06-25,=36.8900,=36.8900,=36.8900,=36.8900,=1042684967450.0,=768180021700.0,=55335000000.0,,=0.0232
2026-06-24,=35.8500,=35.8500,=35.8500,=35.8500,=1013289674250.0,=746523550500.0,=53775000000.0,,=0.0239
2026-06-23,=36.1800,=36.1800,=36.1800,=36.1800,=1022617026900.0,=753395315400.0,=54270000000.0,,=0.0237
2026-06-22,=36.4400,=36.4400,=36.4400,=36.4400,=1029965850200.0,=758809433200.0,=54660000000.0,,=0.0235
2026-06-18,=33.7000,=33.7000,=33.7000,=33.7000,=952520558500.0,=701752961000.0,=50550000000.0,,=0.0254
2026-06-17,=35.8100,=35.8100,=35.8100,=35.8100,=1012159086050.0,=745690609300.0,=53715000000.0,,=0.0239
2026-06-16,=36.0600,=36.0600,=36.0600,=36.0600,=1019225262300.0,=750896491800.0,=54090000000.0,,=0.0237
2026-06-15,=36.5300,=36.5300,=36.5300,=36.5300,=1032509673650.0,=760683550900.0,=54795000000.0,,=0.0234
2026-06-12,=35.8100,=35.8100,=35.8100,=35.8100,=1012159086050.0,=745690609300.0,=53715000000.0,,=0.0239
2026-06-11,=34.3300,=34.3300,=34.3300,=34.3300,=970327322650.0,=714871784900.0,=51495000000.0,,=0.0249
2026-06-10,=34.6300,=34.6300,=34.6300,=34.6300,=978806734150.0,=721118843900.0,=51945000000.0,,=0.0247
2026-06-09,=33.1400,=33.1400,=33.1400,=33.1400,=936692323700.0,=690091784200.0,=49710000000.0,,=0.0258
2026-06-08,=33.0000,=33.0000,=33.0000,=33.0000,=932735265000.0,=687176490000.0,=49500000000.0,,=0.0259
2026-06-05,=32.8200,=32.8200,=32.8200,=32.8200,=927647618100.0,=683428254600.0,=49230000000.0,,=0.0261
