date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,1092713495300.0,1.8249,,,,,0.0221,1.8265,,,,,1.8265,,,,,7.5474,,,,,7.5384,,,,
2026-07-02,1088473789550.0,1.8178,,,,,0.0222,1.8194,,,,,1.8194,,,,,7.5181,,,,,7.5091,,,,
2026-07-01,1096105259900.0,1.8305,,,,,0.0221,1.8322,,,,,1.8322,,,,,7.5708,,,,,7.5618,,,,
2026-06-30,999157321750.0,1.6686,,,,,0.0242,1.6701,,,,,1.6701,,,,,6.9012,,,,,6.8930,,,,
2026-06-29,1010180556700.0,1.6870,,,,,0.0240,1.6885,,,,,1.6885,,,,,6.9773,,,,,6.9690,,,,
2026-06-26,990395263200.0,1.6540,,,,,0.0244,1.6555,,,,,1.6555,,,,,6.8406,,,,,6.8325,,,,
2026-06-25,1042684967450.0,1.7413,,,,,0.0232,1.7429,,,,,1.7429,,,,,7.2018,,,,,7.1933,,,,
2026-06-24,1013289674250.0,1.6922,,,,,0.0239,1.6937,,,,,1.6937,,,,,6.9988,,,,,6.9905,,,,
2026-06-23,1022617026900.0,1.7078,,,,,0.0237,1.7093,,,,,1.7093,,,,,7.0632,,,,,7.0548,,,,
2026-06-22,1029965850200.0,1.7201,,,,,0.0235,1.7216,,,,,1.7216,,,,,7.1140,,,,,7.1055,,,,
2026-06-18,952520558500.0,1.5907,,,,,0.0254,1.5922,,,,,1.5922,,,,,6.5790,,,,,6.5712,,,,
2026-06-17,1012159086050.0,1.6903,,,,,0.0239,1.6918,,,,,1.6918,,,,,6.9910,,,,,6.9827,,,,
2026-06-16,1019225262300.0,1.7021,,,,,0.0237,1.7036,,,,,1.7036,,,,,7.0398,,,,,7.0314,,,,
2026-06-15,1032509673650.0,1.7243,,,,,0.0234,1.7259,,,,,1.7259,,,,,7.1315,,,,,7.1231,,,,
2026-06-12,1012159086050.0,1.6903,,,,,0.0239,1.6918,,,,,1.6918,,,,,6.9910,,,,,6.9827,,,,
2026-06-11,970327322650.0,1.6205,,,,,0.0249,1.6219,,,,,1.6219,,,,,6.7020,,,,,6.6941,,,,
2026-06-10,978806734150.0,1.6346,,,,,0.0247,1.6361,,,,,1.6361,,,,,6.7606,,,,,6.7526,,,,
2026-06-09,936692323700.0,1.5643,,,,,0.0258,1.5657,,,,,1.5657,,,,,6.4697,,,,,6.4620,,,,
2026-06-08,932735265000.0,1.5577,,,,,0.0259,1.5591,,,,,1.5591,,,,,6.4424,,,,,6.4347,,,,
