date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.2548,0.2461,0.0201
2025-12-31,0.2772,0.2543,0.0218
2025-09-30,0.2842,0.2703,0.0249
2025-06-30,0.2152,0.2096,0.0166
2025-03-31,0.2264,0.2263,0.018
2024-12-31,0.2198,0.2061,0.0172
2024-09-30,0.2162,0.2002,0.0182
2024-06-30,0.093,0.0864,0.0075
2024-03-31,0.053,0.0431,0.0044
2023-12-31,0.0495,0.027,0.0041
2023-09-30,0.0406,0.0222,0.0034
2023-06-30,0.0511,0.0285,0.0045
2023-03-31,0.0767,0.0426,0.007
2022-12-31,0.0719,0.0406,0.0066
2022-09-30,0.0746,0.0422,0.0071
2022-06-30,0.0762,0.0442,0.0075
2022-03-31,0.0822,0.047,0.0083
2021-12-31,0.1111,0.0611,0.0115
2021-09-30,0.1176,0.0616,0.0121
2021-06-30,0.1378,0.0718,0.0144
2021-03-31,0.141,0.0733,0.0151
2020-12-31,0.1186,0.0623,0.0129
2020-09-30,0.119,0.0599,0.0127
2020-06-30,0.1311,0.065,0.014
2020-03-31,0.1271,0.0651,0.0138
2019-12-31,0.1611,0.0792,0.0169
2019-09-30,0.1368,0.0687,0.0148
2019-06-30,0.0946,0.0478,0.0102
2019-03-31,0.069,0.0354,0.0077
2018-12-31,0.0368,0.0186,0.0039
2018-09-30,0.078,0.04,0.0086
2018-06-30,0.1155,0.0561,0.0125
2018-03-31,0.1229,0.0621,0.0139
2017-12-31,0.1035,0.0501,0.0117
2017-09-30,0.1028,0.0513,0.0118
2017-06-30,0.0692,0.0351,0.0078
2017-03-31,0.0649,0.0341,0.0077
2016-12-31,0.0618,0.0356,0.0076
2016-09-30,0.0485,0.0274,0.006
