日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=5.5600,=5.5600,=5.5600,=5.5600,=1791501009685.8398,=1171856262544.0,=122173262220.28,,=0.0407
2026-07-02,=5.5800,=5.5800,=5.5800,=5.5800,=1797945257922.12,=1176071572841.0,=122612734386.54,,=0.0406
2026-07-01,=5.6500,=5.6500,=5.6500,=5.6500,=1820500126749.1,=1190825158880.0,=124150886968.45,,=0.0401
2026-06-30,=5.7200,=5.7200,=5.7200,=5.7200,=1843054995576.08,=1205578744919.0,=125689039550.36,,=0.0396
2026-06-29,=5.8000,=5.8000,=5.8000,=5.8000,=1868831988521.2,=1222439986107.0,=127446928215.4,,=0.0390
2026-06-26,=5.7600,=5.7600,=5.7600,=5.7600,=1855943492048.64,=1214009365513.0,=126567983882.88,,=0.0393
2026-06-25,=5.7900,=5.7900,=5.7900,=5.7900,=1865609864403.06,=1220332330958.0,=127227192132.27,,=0.0391
2026-06-24,=6.0200,=6.0200,=6.0200,=6.0200,=1939718719120.28,=1268808399373.0,=132281122044.26,,=0.0376
2026-06-23,=6.1400,=6.1400,=6.1400,=6.1400,=1978384208537.96,=1294100261154.0,=134917955041.82,,=0.0369
2026-06-22,=5.9400,=5.9400,=5.9400,=5.9400,=1913941726175.16,=1251947158185.0,=130523233379.22,,=0.0381
2026-06-18,=5.7800,=5.7800,=5.7800,=5.7800,=1862387740284.92,=1218224675810.0,=127007456049.14,,=0.0392
2026-06-17,=5.9400,=5.9400,=5.9400,=5.9400,=1913941726175.16,=1251947158185.0,=130523233379.22,,=0.0381
2026-06-16,=6.0400,=6.0400,=6.0400,=6.0400,=1946162967356.56,=1273023709670.0,=132720594210.52,,=0.0375
2026-06-15,=6.1300,=6.1300,=6.1300,=6.1300,=1975162084419.82,=1291992606006.0,=134698218958.69,,=0.0369
2026-06-12,=6.2900,=6.2900,=6.2900,=6.2900,=2026716070310.06,=1325715088381.0,=138213996288.77,,=0.0360
2026-06-11,=6.2000,=6.2000,=6.2000,=6.2000,=1997716953246.8,=1306746192045.0,=136236371540.6,,=0.0365
2026-06-10,=6.2200,=6.2200,=6.2200,=6.2200,=2004161201483.08,=1310961502342.0,=136675843706.86,,=0.0364
2026-06-09,=6.1300,=6.1300,=6.1300,=6.1300,=1975162084419.82,=1291992606006.0,=134698218958.69,,=0.0369
2026-06-08,=6.1400,=6.1400,=6.1400,=6.1400,=1978384208537.96,=1294100261154.0,=134917955041.82,,=0.0369
2026-06-05,=6.0500,=6.0500,=6.0500,=6.0500,=1949385091474.7,=1275131364818.0,=132940330293.65,,=0.0374
