日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=4.9400,=4.9400,=4.9400,=4.9400,=593269564250.48,=358287334989.0,=50966034957.5,,=1.6365,,,,
2026-07-02,=4.9600,=4.9600,=4.9600,=4.9600,=595671465320.32,=359737891001.0,=51172375180.0,,=1.6431,,,,
2026-07-01,=4.9300,=4.9300,=4.9300,=4.9300,=592068613715.5599,=357562056983.0,=50862864846.25,,=1.6332,,,,
2026-06-30,=4.9300,=4.9300,=4.9300,=4.9300,=592068613715.5599,=357562056983.0,=50862864846.25,,=1.6332,,,,
2026-06-29,=4.9700,=4.9700,=4.9700,=4.9700,=596872415855.2399,=360463169007.0,=51275545291.25,,=1.6464,,,,
2026-06-26,=4.9200,=4.9200,=4.9200,=4.9200,=590867663180.6399,=356836778977.0,=50759694735.0,,=1.6299,,,,
2026-06-25,=4.9000,=4.9000,=4.9000,=4.9000,=588465762110.7999,=355386222965.0,=50553354512.5,,=1.6232,,,,
2026-06-24,=4.9200,=4.9200,=4.9200,=4.9200,=590867663180.6399,=356836778977.0,=50759694735.0,,=1.6299,,,,
2026-06-23,=5.0600,=5.0600,=5.0600,=5.0600,=607680970669.5199,=366990671061.0,=52204076292.5,,=1.6762,,,,
2026-06-22,=4.9200,=4.9200,=4.9200,=4.9200,=590867663180.6399,=356836778977.0,=50759694735.0,,=1.6299,,,,
2026-06-18,=4.8600,=4.8600,=4.8600,=4.8600,=583661959971.12,=352485110940.0,=50140674067.5,,=1.6100,,,,
2026-06-17,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=361188447013.0,=51378715402.5,,=1.6497,,,,
2026-06-16,=5.0400,=5.0400,=5.0400,=5.0400,=605279069599.6799,=365540115049.0,=51997736070.0,,=1.6696,,,,
2026-06-15,=5.1100,=5.1100,=5.1100,=5.1100,=613685723344.12,=370617061092.0,=52719926848.75,,=1.6928,,,,
2026-06-12,=5.2000,=5.2000,=5.2000,=5.2000,=624494278158.3999,=377144563146.0,=53648457850.0,,=1.7226,,,,
2026-06-11,=5.1000,=5.1000,=5.1000,=5.1000,=612484772809.1998,=369891783086.0,=52616756737.5,,=1.6895,,,,
2026-06-10,=5.0800,=5.0800,=5.0800,=5.0800,=610082871739.36,=368441227073.0,=52410416515.0,,=1.6829,,,,
2026-06-09,=4.9900,=4.9900,=4.9900,=4.9900,=599274316925.08,=361913725019.0,=51481885513.75,,=1.6530,,,,
2026-06-08,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=361188447013.0,=51378715402.5,,=1.6497,,,,
2026-06-05,=4.9600,=4.9600,=4.9600,=4.9600,=595671465320.32,=359737891001.0,=51172375180.0,,=1.6431,,,,
2026-06-04,=4.9300,=4.9300,=4.9300,=4.9300,=592068613715.5599,=357562056983.0,=50862864846.25,,=1.6332,,,,
2026-06-03,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=361188447013.0,=51378715402.5,,=1.6497,,,,
2026-06-02,=5.0100,=5.0100,=5.0100,=5.0100,=601676217994.9199,=363364281031.0,=51688225736.25,,=1.6597,,,,
2026-06-01,=5.0200,=5.0200,=5.0200,=5.0200,=602877168529.8398,=364089559037.0,=51791395847.5,,=1.6630,,,,
2026-05-29,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=361188447013.0,=51378715402.5,,=1.6497,,,,
2026-05-28,=4.9400,=4.9400,=4.9400,=4.9400,=593269564250.48,=358287334989.0,=50966034957.5,,=1.6365,,,,
2026-05-27,=4.9900,=4.9900,=4.9900,=4.9900,=599274316925.08,=361913725019.0,=51481885513.75,,=1.6530,,,,
2026-05-26,=4.9900,=4.9900,=4.9900,=4.9900,=599274316925.08,=361913725019.0,=51481885513.75,,=1.6530,,,,
2026-05-25,=4.9700,=4.9700,=4.9700,=4.9700,=596872415855.2399,=360463169007.0,=51275545291.25,,=1.6464,,,,
2026-05-22,=4.9400,=4.9400,=4.9400,=4.9400,=593269564250.48,=358287334989.0,=50966034957.5,,=1.6365,,,,
2026-05-21,=4.9200,=4.9200,=4.9200,=4.9200,=590867663180.6399,=356836778977.0,=50759694735.0,,=1.6299,,,,
2026-05-20,=4.9100,=4.9100,=4.9100,=4.9100,=589666712645.72,=356111500971.0,=50656524623.75,,=1.6265,,,,
2026-05-19,=4.9600,=4.9600,=4.9600,=4.9600,=595671465320.32,=359737891001.0,=51172375180.0,,=1.6431,,,,
2026-05-18,=4.9700,=4.9700,=4.9700,=4.9700,=596872415855.2399,=360463169007.0,=51275545291.25,,=1.6464,,,,
2026-05-15,=4.9700,=4.9700,=4.9700,=4.9700,=596872415855.2399,=360463169007.0,=51275545291.25,,=1.6464,,,,
2026-05-14,=5.0300,=5.0300,=5.0300,=5.0300,=604078119064.76,=364814837043.0,=51894565958.75,,=1.6663,,,,
2026-05-13,=5.0000,=5.0000,=5.0000,=5.0000,=600475267459.9999,=362639003025.0,=51585055625.0,,=1.6564,,,,
2026-05-12,=5.0300,=5.0300,=5.0300,=5.0300,=604078119064.76,=364814837043.0,=51894565958.75,,=1.6663,,,,
2026-05-11,=5.0500,=5.0500,=5.0500,=5.0500,=606480020134.5999,=366265393055.0,=52100906181.25,,=1.6729,,,,
2026-05-08,=5.0300,=5.0300,=5.0300,=5.0300,=604078119064.76,=364814837043.0,=51894565958.75,,=1.6663,,,,
2026-05-07,=5.0400,=5.0400,=5.0400,=5.0400,=605279069599.6799,=365540115049.0,=51997736070.0,,=1.6696,,,,
2026-05-06,=5.0600,=5.0600,=5.0600,=5.0600,=607680970669.5199,=366990671061.0,=52204076292.5,,=1.6762,,,,
2026-04-30,=5.0700,=5.0700,=5.0700,=5.0700,=608881921204.44,=367715949067.0,=52307246403.75,,=1.6795,,,,
2026-04-29,=5.1500,=5.1500,=5.1500,=5.1500,=618489525483.7999,=373518173116.0,=53132607293.75,,=1.7387,,,,
2026-04-28,=5.2000,=5.2000,=5.2000,=5.2000,=624494278158.3999,=377144563146.0,=53648457850.0,,=1.7555,,,,
2026-04-27,=5.1500,=5.1500,=5.1500,=5.1500,=618489525483.7999,=373518173116.0,=53132607293.75,,=1.7387,,,,
2026-04-24,=5.1800,=5.1800,=5.1800,=5.1800,=622092377088.5599,=375694007134.0,=53442117627.5,,=1.7488,,,,
2026-04-23,=5.1900,=5.1900,=5.1900,=5.1900,=623293327623.48,=376419285140.0,=53545287738.75,,=1.7522,,,,
2026-04-22,=5.1600,=5.1600,=5.1600,=5.1600,=619690476018.72,=374243451122.0,=53235777405.0,,=1.7420,,,,
2026-04-21,=5.2100,=5.2100,=5.2100,=5.2100,=625695228693.32,=377869841152.0,=53751627961.25,,=1.7589,,,,
2026-04-20,=5.1800,=5.1800,=5.1800,=5.1800,=622092377088.5599,=375694007134.0,=53442117627.5,,=1.7488,,,,
2026-04-17,=5.0700,=5.0700,=5.0700,=5.0700,=608881921204.44,=367715949067.0,=52307246403.75,,=1.7117,,,,
2026-04-16,=5.0700,=5.0700,=5.0700,=5.0700,=608881921204.44,=367715949067.0,=52307246403.75,,=1.7117,,,,
2026-04-15,=5.1100,=5.1100,=5.1100,=5.1100,=613685723344.12,=370617061092.0,=52719926848.75,,=1.7252,,,,
2026-04-14,=5.0500,=5.0500,=5.0500,=5.0500,=606480020134.5999,=366265393055.0,=52100906181.25,,=1.7049,,,,
2026-04-13,=4.9900,=4.9900,=4.9900,=4.9900,=599274316925.08,=361913725019.0,=51481885513.75,,=1.6846,,,,
2026-04-10,=5.0000,=5.0000,=5.0000,=5.0000,=600475267459.9999,=362639003025.0,=51585055625.0,,=1.6880,,,,
2026-04-09,=5.0200,=5.0200,=5.0200,=5.0200,=602877168529.8398,=364089559037.0,=51791395847.5,,=1.6948,,,,
2026-04-08,=5.0500,=5.0500,=5.0500,=5.0500,=606480020134.5999,=366265393055.0,=52100906181.25,,=1.7049,,,,
2026-04-07,=5.0700,=5.0700,=5.0700,=5.0700,=608881921204.44,=367715949067.0,=52307246403.75,,=1.7117,,,,
2026-04-03,=5.1200,=5.1200,=5.1200,=5.1200,=614886673879.0399,=371342339098.0,=52823096960.0,,=1.7285,,,,
2026-04-02,=5.1800,=5.1800,=5.1800,=5.1800,=622092377088.5599,=375694007134.0,=53442117627.5,,=1.7488,,,,
2026-04-01,=5.1100,=5.1100,=5.1100,=5.1100,=613685723344.12,=370617061092.0,=52719926848.75,,=1.7252,,,,
2026-03-31,=5.1300,=5.1300,=5.1300,=5.1300,=616087624413.96,=372067617104.0,=52926267071.25,,=1.7319,,,,
2026-03-30,=5.0800,=5.0800,=5.0800,=5.0800,=610082871739.36,=368441227073.0,=52410416515.0,,=1.7150,,,,
2026-03-27,=5.0600,=5.0600,=5.0600,=5.0600,=607680970669.5199,=339639319712.0,=52204076292.5,,=1.7190,,,,
2026-03-26,=5.1100,=5.1100,=5.1100,=5.1100,=613685723344.12,=342995439472.0,=52719926848.75,,=1.7360,,,,
2026-03-25,=5.0800,=5.0800,=5.0800,=5.0800,=610082871739.36,=340981767616.0,=52410416515.0,,=1.7258,,,,
2026-03-24,=5.0200,=5.0200,=5.0200,=5.0200,=602877168529.8398,=336954423904.0,=51791395847.5,,=1.7054,,,,
2026-03-23,=4.8800,=4.8800,=4.8800,=4.8800,=586063861040.96,=327557288576.0,=50347014290.0,,=1.6579,,,,
2026-03-20,=5.0500,=5.0500,=5.0500,=5.0500,=606480020134.5999,=338968095760.0,=52100906181.25,,=1.7156,,,,
2026-03-19,=5.1000,=5.1000,=5.1000,=5.1000,=612484772809.1998,=342324215520.0,=52616756737.5,,=1.7326,,,,
2026-03-18,=5.1300,=5.1300,=5.1300,=5.1300,=616087624413.96,=344337887376.0,=52926267071.25,,=1.7428,,,,
2026-03-17,=5.1700,=5.1700,=5.1700,=5.1700,=620891426553.6399,=347022783184.0,=53338947516.25,,=1.7564,,,,
2026-03-16,=5.1100,=5.1100,=5.1100,=5.1100,=613685723344.12,=342995439472.0,=52719926848.75,,=1.7360,,,,
2026-03-13,=5.0800,=5.0800,=5.0800,=5.0800,=610082871739.36,=340981767616.0,=52410416515.0,,=1.7258,,,,
2026-03-12,=5.0600,=5.0600,=5.0600,=5.0600,=607680970669.5199,=339639319712.0,=52204076292.5,,=1.7190,,,,
2026-03-11,=5.0300,=5.0300,=5.0300,=5.0300,=604078119064.76,=337625647856.0,=51894565958.75,,=1.7088,,,,
2026-03-10,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=334269528096.0,=51378715402.5,,=1.6918,,,,
2026-03-09,=4.9700,=4.9700,=4.9700,=4.9700,=596872415855.2399,=333598304144.0,=51275545291.25,,=1.6884,,,,
2026-03-06,=5.0000,=5.0000,=5.0000,=5.0000,=600475267459.9999,=335611976000.0,=51585055625.0,,=1.6986,,,,
2026-03-05,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=334269528096.0,=51378715402.5,,=1.6918,,,,
2026-03-04,=4.9300,=4.9300,=4.9300,=4.9300,=592068613715.5599,=330913408336.0,=50862864846.25,,=1.6748,,,,
2026-03-03,=5.0400,=5.0400,=5.0400,=5.0400,=605279069599.6799,=338296871808.0,=51997736070.0,,=1.7122,,,,
2026-03-02,=4.9900,=4.9900,=4.9900,=4.9900,=599274316925.08,=334940752048.0,=51481885513.75,,=1.6952,,,,
2026-02-27,=4.9700,=4.9700,=4.9700,=4.9700,=596872415855.2399,=333598304144.0,=51275545291.25,,=1.6884,,,,
2026-02-26,=4.9800,=4.9800,=4.9800,=4.9800,=598073366390.16,=334269528096.0,=51378715402.5,,=1.6918,,,,
2026-02-25,=5.0100,=5.0100,=5.0100,=5.0100,=601676217994.9199,=336283199952.0,=51688225736.25,,=1.7020,,,,
2026-02-24,=5.0500,=5.0500,=5.0500,=5.0500,=606480020134.5999,=338968095760.0,=52100906181.25,,=1.7156,,,,
