date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,96162000000,0.0761,0.2,25726000000
2025-12-31,355728000000,0.0199,0.73,87404000000
2025-09-30,265080000000,0.0182,0.66,76562000000
2025-06-30,179446000000,0.015,0.43,49228000000
2025-03-31,89363000000,-0.0007,0.24,25246000000
2024-12-31,348775000000,0.0183,0.81,86479000000
2024-09-30,260349000000,0.0009,0.71,75818000000
2024-06-30,176789000000,-0.0011,0.44,48815000000
2024-03-31,89430000000,0.0144,0.25,25926000000
2023-12-31,342507000000,0.0225,0.83,86270000000
2023-09-30,260122000000,0.0124,0.73,75655000000
2023-06-30,176976000000,0.0203,0.46,49564000000
2023-03-31,88163000000,0.0351,0.27,26280000000
2022-12-31,334956000000,0.0508,0.85,85224000000
2022-09-30,256931000000,0.0779,0.73,73849000000
2022-06-30,173461000000,0.1003,0.44,47114000000
2022-03-31,85170000000,0.1014,0.26,24977000000
2021-12-31,318762000000,0.1138,0.78,76170000000
2021-09-30,238358000000,0.1022,0.65,64507000000
2021-06-30,157653000000,0.0773,0.4,41010000000
2021-03-31,77330000000,0.0715,0.24,21201000000
2020-12-31,286202000000,0.0339,0.71,64199000000
2020-09-30,216263000000,0.028,0.58,52844000000
2020-06-30,146346000000,0.0335,0.36,33658000000
2020-03-31,72171000000,0.0547,0.23,20094000000
2019-12-31,276809000000,0.0606,0.72,60933000000
2019-09-30,210558000000,0.0723,0.64,54288000000
2019-06-30,141606000000,,0.43,37381000000
2019-03-31,68426000000,,0.23,18520000000
2018-12-31,260995000000,0.1622,0.62,52311000000
2018-09-30,196364000000,,0.55,46710000000
2017-12-31,224572000000,0.1894,0.59,47683000000
2016-12-31,188809000000,,0.55,39801000000
