date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,593269564250.48,1.6365,,,,,0.5746,,,,,6.7162,,,,,0.5746,,,,,6.7506,,,,,0.0442
2026-07-02,595671465320.32,1.6431,,,,,0.5770,,,,,6.7434,,,,,0.5770,,,,,6.7779,,,,,0.0440
2026-07-01,592068613715.5599,1.6332,,,,,0.5735,,,,,6.7026,,,,,0.5735,,,,,6.7369,,,,,0.0443
2026-06-30,592068613715.5599,1.6332,,,,,0.5735,,,,,6.7026,,,,,0.5735,,,,,6.7369,,,,,0.0443
2026-06-29,596872415855.2399,1.6464,,,,,0.5781,,,,,6.7570,,,,,0.5781,,,,,6.7916,,,,,0.0439
2026-06-26,590867663180.6399,1.6299,,,,,0.5723,,,,,6.6890,,,,,0.5723,,,,,6.7233,,,,,0.0444
2026-06-25,588465762110.7999,1.6232,,,,,0.5700,,,,,6.6618,,,,,0.5700,,,,,6.6959,,,,,0.0446
2026-06-24,590867663180.6399,1.6299,,,,,0.5723,,,,,6.6890,,,,,0.5723,,,,,6.7233,,,,,0.0444
2026-06-23,607680970669.5199,1.6762,,,,,0.5886,,,,,6.8794,,,,,0.5886,,,,,6.9146,,,,,0.0431
2026-06-22,590867663180.6399,1.6299,,,,,0.5723,,,,,6.6890,,,,,0.5723,,,,,6.7233,,,,,0.0444
2026-06-18,583661959971.12,1.6100,,,,,0.5653,,,,,6.6074,,,,,0.5653,,,,,6.6413,,,,,0.0449
2026-06-17,598073366390.16,1.6497,,,,,0.5793,,,,,6.7706,,,,,0.5793,,,,,6.8053,,,,,0.0438
2026-06-16,605279069599.6799,1.6696,,,,,0.5863,,,,,6.8522,,,,,0.5863,,,,,6.8872,,,,,0.0433
2026-06-15,613685723344.12,1.6928,,,,,0.5944,,,,,6.9473,,,,,0.5944,,,,,6.9829,,,,,0.0427
2026-06-12,624494278158.3999,1.7226,,,,,0.6049,,,,,7.0697,,,,,0.6049,,,,,7.1059,,,,,0.0420
2026-06-11,612484772809.1998,1.6895,,,,,0.5933,,,,,6.9337,,,,,0.5933,,,,,6.9692,,,,,0.0428
2026-06-10,610082871739.36,1.6829,,,,,0.5909,,,,,6.9065,,,,,0.5909,,,,,6.9419,,,,,0.0430
2026-06-09,599274316925.08,1.6530,,,,,0.5805,,,,,6.7842,,,,,0.5805,,,,,6.8189,,,,,0.0437
2026-06-08,598073366390.16,1.6497,,,,,0.5793,,,,,6.7706,,,,,0.5793,,,,,6.8053,,,,,0.0438
