日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=8.9700,=8.9700,=8.9700,=8.9700,=1641698171027.4604,=1452441038027.0,=101708269522.47,,=1.0399,,,,
2026-07-02,=8.8200,=8.8200,=8.8200,=8.8200,=1614245024354.7605,=1428152726355.0,=100007462339.82,,=1.0225,,,,
2026-07-01,=8.7300,=8.7300,=8.7300,=8.7300,=1597773136351.1404,=1413579739351.0,=98986978030.23,,=1.0120,,,,
2026-06-30,=8.6800,=8.6800,=8.6800,=8.6800,=1588622087460.2402,=1405483635460.0,=98420042302.68,,=1.0062,,,,
2026-06-29,=8.9200,=8.9200,=8.9200,=8.9200,=1632547122136.5603,=1444344934137.0,=101141333794.92,,=1.0341,,,,
2026-06-26,=8.9300,=8.9300,=8.9300,=8.9300,=1634377331914.7402,=1445964154915.0,=101254720940.43,,=1.0352,,,,
2026-06-25,=9.0600,=9.0600,=9.0600,=9.0600,=1658170059031.0803,=1467014025031.0,=102728753832.06,,=1.0207,,,,
2026-06-24,=9.4100,=9.4100,=9.4100,=9.4100,=1722227401267.3804,=1523686752267.0,=106697303924.91,,=1.0601,,,,
2026-06-23,=9.4100,=9.4100,=9.4100,=9.4100,=1722227401267.3804,=1523686752267.0,=106697303924.91,,=1.0601,,,,
2026-06-22,=9.6800,=9.6800,=9.6800,=9.6800,=1771643065278.2402,=1567405713278.0,=109758756853.68,,=1.0906,,,,
2026-06-18,=9.5800,=9.5800,=9.5800,=9.5800,=1753340967496.4402,=1551213505496.0,=108624885398.58,,=1.0793,,,,
2026-06-17,=9.7700,=9.7700,=9.7700,=9.7700,=1788114953281.86,=1581978700282.0,=110779241163.27,,=1.1007,,,,
2026-06-16,=9.9500,=9.9500,=9.9500,=9.9500,=1821058729289.1,=1611124674289.0,=112820209782.45,,=1.1210,,,,
2026-06-15,=10.1300,=10.1300,=10.1300,=10.1300,=1854002505296.3403,=1640270648296.0,=114861178401.63,,=1.1413,,,,
2026-06-12,=10.3800,=10.3800,=10.3800,=10.3800,=1899757749750.841,=1680751167751.0,=117695857039.38,,=1.1694,,,,
2026-06-11,=10.3700,=10.3700,=10.3700,=10.3700,=1897927539972.66,=1679131946973.0,=117582469893.87,,=1.1683,,,,
2026-06-10,=10.2400,=10.2400,=10.2400,=10.2400,=1874134812856.3203,=1658082076856.0,=116108437002.24,,=1.1536,,,,
2026-06-09,=10.3400,=10.3400,=10.3400,=10.3400,=1892436910638.1204,=1674274284638.0,=117242308457.34,,=1.1649,,,,
2026-06-08,=10.9500,=10.9500,=10.9500,=10.9500,=2004079707107.1,=1773046752107.0,=124158924333.45,,=1.2336,,,,
2026-06-05,=10.6100,=10.6100,=10.6100,=10.6100,=1941852574648.98,=1717993245649.0,=120303761386.11,,=1.1953,,,,
