date,流动比率,所有者权益合计,应收账款,有息负债率,负债合计,长期负债合计,流动资产合计,货币资金,流动负债合计,资产合计,资产负债率,速动比率
2026-03-31,1.1334,1835768000000,115653000000,0.1552,1202781000000,161432000000,0,2231025719601.42,77631000000,3038549000000,0.3958,0.8487
2025-12-31,1.1049,1799548000000,77929000000,0.1285,1028469000000,148462000000,0,1905248379085.38,84599000000,2828017000000,0.3637,0.7982
2025-09-30,1.1478,1756210000000,103128000000,0.1287,1093754000000,147153000000,0,1475149081213.08,88746000000,2849964000000,0.3838,0.8435
2025-06-30,1.0386,1753142000000,119715000000,0.1327,1096490000000,76905000000,0,1564829360343.9,77565000000,2849632000000,0.3848,0.7803
2025-03-31,1.0505,1764056000000,103623000000,0.1315,1077428000000,77785000000,0,1504432437663.96,83696000000,2841484000000,0.3792,0.8007
2024-12-31,0.9271,1709863000000,71610000000,0.1332,1043144000000,74072000000,0,1636207541692.92,80266000000,2753007000000,0.3789,0.6407
2024-09-30,0.9506,1679038000000,94615000000,0.1248,1097923000000,64541000000,0,1650849219918.36,84494000000,2776961000000,0.3954,0.6773
2024-06-30,0.9382,1678153000000,90108000000,0.1251,1090144000000,70126000000,0,1888776491081.76,77862000000,2768297000000,0.3938,0.6487
2024-03-31,1.0687,1680860000000,93244000000,0.1339,1073323000000,135248000000,0,1808247260841.84,78450000000,2754183000000,0.3897,0.7583
2023-12-31,0.9558,1630621000000,68761000000,0.1547,1122089000000,126165000000,0,1292128103395.08,83928000000,2752710000000,0.4076,0.6756
2023-09-30,0.9614,1597726000000,105739000000,0.1538,1184359000000,117257000000,0,1460507402987.64,86334000000,2782085000000,0.4257,0.6747
2023-06-30,0.9481,1588300000000,81361000000,0.161,1131241000000,123139000000,0,1367166704300.46,75614000000,2719541000000,0.416,0.6719
2023-03-31,0.9988,1580994000000,82578000000,0.1701,1129880000000,132892000000,0,1083484188682.56,74249000000,2710874000000,0.4168,0.7252
2022-12-31,0.9833,1538103000000,72028000000,0.173,1135648000000,169630000000,0,909614259755.46,77337000000,2673751000000,0.4247,0.6923
2022-09-30,1.0212,1512976000000,98557000000,0.1815,1280607000000,186562000000,0,938897616206.34,84920000000,2793583000000,0.4584,0.711
2022-06-30,1.0006,1495764000000,114193000000,0.1817,1276873000000,185009000000,0,970011182435.4,83690000000,2772637000000,0.4605,0.675
2022-03-31,0.9982,1452571000000,95100000000,0.1807,1158502000000,200001000000,0,1010275797555.36,75319000000,2611073000000,0.4437,0.6628
2021-12-31,0.928,1409124000000,56659000000,0.1879,1093409000000,198005000000,0,898633001086.38,78481000000,2502533000000,0.4369,0.6222
2021-09-30,0.8991,1388795000000,87366000000,0.199,1159135000000,188460000000,0,1099956076686.18,89632000000,2547930000000,0.4549,0.6136
2021-06-30,0.9078,1392915000000,73280000000,0.1959,1139209000000,176552000000,0,968180972657.22,88467000000,2532124000000,0.4499,0.5856
2021-03-31,0.9588,1396419000000,80752000000,0.215,1131609000000,199279000000,0,786990204617.4,91141000000,2528028000000,0.4476,0.6283
2020-12-31,0.804,1366885000000,52325000000,0.2038,1121515000000,160140000000,0,759537057944.7,91477000000,2488400000000,0.4507,0.556
2020-09-30,0.8092,1361249000000,159664000000,0.214,1205667000000,148439000000,0,752216218831.98,93316000000,2566916000000,0.4697,0.5341
2020-06-30,0.7109,1400665000000,63550000000,0.2384,1276959000000,223452000000,0,766857897065.8,92376000000,2677624000000,0.4769,0.4084
2020-03-31,0.6846,1428725000000,80089000000,0.2363,1298578000000,162004000000,0,845556917528.4,84993000000,2727303000000,0.4761,0.3825
2019-12-31,0.7059,1444578000000,64184000000,0.2263,1288612000000,174411000000,0,1067012300690.6,82490000000,2733190000000,0.4715,0.4051
2019-09-30,0.8031,1432901000000,77689000000,0.2325,1268312000000,157107000000,0,1132899852705.8,84110000000,2701213000000,0.4695,0.5017
2019-06-30,0.7992,1426117000000,73738000000,0.2308,1211662000000,146279000000,0,1259184327401.6,77337000000,2637779000000,0.4593,0.4585
2019-03-31,0.8793,1426700000000,0,0.24,1207748000000,179353000000,0,1390959431432,53914000000,2634448000000,0.4584,0.5212
2018-12-31,0.7386,1410943000000,58507000000,0.1674,1021615000000,177605000000,0,1319581250082.2,68076000000,2432558000000,0.42,0.4117
2018-09-30,0.8575,1415251000000,0,0.1742,1068308000000,189166000000,0,1678302366609.4,78830000000,2483559000000,0.4302,0.5297
2018-06-30,0.8209,1400286000000,87214000000,0.1797,1008047000000,190000000000,0,1411091738992.2,70113000000,2408333000000,0.4186,0.4991
2018-03-31,0.8217,1391891000000,73286000000,0.1914,1005996000000,204777000000,0,1398280270544.8,67999000000,2397887000000,0.4195,0.5211
2017-12-31,0.7373,1381610000000,53143000000,0.1935,1023300000000,195192000000,0,1480639710563.8,0,2404910000000,0.4255,0.4687
2017-09-30,0.787,1379899000000,63786000000,0.2035,1066212000000,205219000000,0,1462337612781.8,0,2446111000000,0.4359,0.5219
2017-06-30,0.7666,1384185000000,62529000000,0.2054,1015799000000,207281000000,0,1407431319435.8,0,2399984000000,0.4233,0.4709
2017-03-31,0.7388,1386386000000,62465000000,0.2062,1003767000000,181131000000,0,1440375095443.4,0,2390153000000,0.42,0.4258
2016-12-31,0.7645,1373028000000,47315000000,0.2154,1023922000000,243675000000,0,1455016773669,0,2396950000000,0.4272,0.4373
2016-09-30,0.8155,1364607000000,61933000000,0.2182,1041381000000,242321000000,0,1321411459860.4,0,2405988000000,0.4328,0.5002
