日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=4.7000,=4.7000,=4.7000,=4.7000,=568349916843.4,=445336634263.0,=65607210554.3,,=0.6981,,,,
2026-07-02,=4.6000,=4.6000,=4.6000,=4.6000,=556257365421.2,=435861386725.0,=64211312457.4,,=0.6833,,,,
2026-07-01,=4.5400,=4.5400,=4.5400,=4.5400,=549001834567.88,=430176238203.0,=63373773599.26,,=0.6743,,,,
2026-06-30,=4.4600,=4.4600,=4.4600,=4.4600,=539327793430.12,=422596040173.0,=62257055121.74,,=0.6625,,,,
2026-06-29,=4.6100,=4.6100,=4.6100,=4.6100,=557466620563.42,=436808911479.0,=64350902267.09,,=0.6847,,,,
2026-06-26,=4.5200,=4.5200,=4.5200,=4.5200,=546583324283.4399,=428281188695.0,=63094593979.88,,=0.6714,,,,
2026-06-25,=4.5500,=4.5500,=4.5500,=4.5500,=550211089710.1,=431123762956.0,=63513363408.95,,=0.6758,,,,
2026-06-24,=4.6600,=4.6600,=4.6600,=4.6600,=563512896274.52,=441546535248.0,=65048851315.54,,=0.6922,,,,
2026-06-23,=4.7300,=4.7300,=4.7300,=4.7300,=571977682270.06,=448179208524.0,=66025979983.37,,=0.7026,,,,
2026-06-22,=4.7700,=4.7700,=4.7700,=4.7700,=576814702838.94,=451969307539.0,=66584339222.13,,=0.7085,,,,
2026-06-18,=4.7100,=4.7100,=4.7100,=4.7100,=569559171985.62,=446284159016.0,=65762703207.99,,=0.6996,,,,
2026-06-17,=4.8500,=4.8500,=4.8500,=4.8500,=586488743976.7,=459549505569.0,=67717433239.65,,=0.7204,,,,
2026-06-16,=4.9700,=4.9700,=4.9700,=4.9700,=600999805683.34,=470919802614.0,=69392916123.93,,=0.7261,,,,
2026-06-15,=4.9900,=4.9900,=4.9900,=4.9900,=603418315967.78,=472814852121.0,=69672163271.31,,=0.7291,,,,
2026-06-12,=4.9400,=4.9400,=4.9400,=4.9400,=597372040256.68,=468077228353.0,=68974045402.86,,=0.7218,,,,
2026-06-11,=4.7900,=4.7900,=4.7900,=4.7900,=579233213123.38,=453864357046.0,=66879691797.51,,=0.6998,,,,
2026-06-10,=4.7800,=4.7800,=4.7800,=4.7800,=578023957981.16,=452916832293.0,=66740068223.82,,=0.6984,,,,
2026-06-09,=4.7900,=4.7900,=4.7900,=4.7900,=579233213123.38,=453864357046.0,=66879691797.51,,=0.6998,,,,
2026-06-08,=4.9000,=4.9000,=4.9000,=4.9000,=592535019687.8,=464287129338.0,=68415551108.1,,=0.7159,,,,
