date,应收账款,流动负债合计,流动比率,资产负债率,负债合计,资产合计,货币资金,有息负债率,长期负债合计,所有者权益合计,流动资产合计,速动比率
2026-03-31,65884000000,128553000000,0.8154,0.5589,1260899000000,2255913000000,711042023625.36,0.2723,187550000000,995014000000,0,0.4674
2025-12-31,51172000000,126395000000,0.7483,0.5408,1165845000000,2155617000000,747319677891.96,0.2497,182968000000,989772000000,0,0.4107
2025-09-30,67369000000,134385000000,0.7894,0.5469,1193196000000,2181557000000,641029576462.42,0.2483,167261000000,988361000000,0,0.4528
2025-06-30,64719000000,121862000000,0.8141,0.541,1160507000000,2144939000000,683823140616.72,0.2437,165157000000,984432000000,0,0.4389
2025-03-31,61213000000,124923000000,0.8514,0.5335,1132556000000,2123049000000,694943314149.54,0.2525,190570000000,990493000000,0,0.4584
2024-12-31,44333000000,127697000000,0.7791,0.5317,1108478000000,2084771000000,810160792062.64,0.231,184934000000,976293000000,0,0.3884
2024-09-30,64165000000,137618000000,0.8559,0.5345,1121216000000,2097633000000,847030774295.28,0.2259,176517000000,976417000000,0,0.4547
2024-06-30,76746000000,124512000000,0.8465,0.5395,1155591000000,2141936000000,769394840123.76,0.2183,160693000000,986345000000,0,0.44
2024-03-31,84622000000,130048000000,0.8725,0.5265,1102466000000,2094106000000,777916618416.27,0.2259,162714000000,991640000000,0,0.4654
2023-12-31,48652000000,127239000000,0.8259,0.527,1068019000000,2026674000000,665968824184.68,0.2194,179347000000,958655000000,0,0.4304
2023-09-30,89706000000,138182000000,0.8987,0.5425,1130749000000,2084435000000,727572778251.22,0.2359,187684000000,953686000000,0,0.4959
2023-06-30,73399000000,124359000000,0.8585,0.5316,1077421000000,2026902000000,762541152628.56,0.2329,160017000000,949481000000,0,0.423
2023-03-31,70122000000,123326000000,0.8716,0.5226,1050940000000,2011153000000,673817810970.52,0.2282,129943000000,960213000000,0,0.477
2022-12-31,46364000000,125444000000,0.7839,0.5191,1011487000000,1948640000000,522748337336.56,0.1877,94964000000,937153000000,0,0.406
2022-09-30,65796000000,145290000000,0.863,0.5486,1124982000000,2050519000000,519395489381.34,0.1825,81873000000,925537000000,0,0.4873
2022-06-30,63717000000,124411000000,0.8901,0.5477,1128142000000,2059814000000,493970535355.68,0.1874,77556000000,931672000000,0,0.5146
2022-03-31,76417000000,123705000000,0.9313,0.5354,1078299000000,2014107000000,523027625670.72,0.1911,64197000000,935808000000,0,0.5151
2021-12-31,34861000000,124622000000,0.8702,0.5151,973214000000,1889255000000,512131216802.58,0.1702,49341000000,916041000000,0,0.5323
2021-09-30,73568000000,137168000000,0.9166,0.5173,976266000000,1887282000000,539977595021.16,0.179,49167000000,911016000000,0,0.5844
2021-06-30,71843000000,127920000000,0.8869,0.5104,945663000000,1852964000000,527870474056.56,0.1729,43149000000,907301000000,0,0.5543
2021-03-31,47144000000,128886000000,0.929,0.4946,891412000000,1802144000000,524238337767.18,0.1867,45296000000,910732000000,0,0.5842
2020-12-31,35587000000,126160000000,0.8721,0.4902,849929000000,1733805000000,487916974873.38,0.1754,45459000000,883876000000,0,0.5719
2020-09-30,43919000000,136947000000,0.9158,0.5167,929828000000,1799388000000,473388429715.86,0.2048,43015000000,869560000000,0,0.6157
2020-06-30,44173000000,132906000000,0.8081,0.5437,990411000000,1821639000000,473388429731.5,0.2344,74795000000,831228000000,0,0.512
2020-03-31,54246000000,137563000000,0.7759,0.531,959873000000,1807539000000,536345458749.5,0.2464,52870000000,847666000000,0,0.4778
2019-12-31,54865000000,126735000000,0.7736,0.5004,878166000000,1755071000000,618673881311.5,0.1937,39625000000,876905000000,0,0.4309
2019-09-30,76157000000,135888000000,0.8949,0.5221,953447000000,1826336000000,607777472443,0.2116,71119000000,872889000000,0,0.5245
2019-06-30,72455000000,130002000000,0.8999,0.5242,956533000000,1824845000000,662259516785.5,0.2156,67359000000,868312000000,0,0.5168
2019-03-31,0,129199000000,0.9366,0.5136,931351000000,1813445000000,694948743391,0.2147,63763000000,882094000000,0,0.5404
2018-12-31,56993000000,124793000000,0.8921,0.4614,734649000000,1592308000000,611409608732.5,0.1063,61576000000,857659000000,0,0.5549
2018-09-30,89624000000,138257000000,0.9861,0.4811,800035000000,1662760000000,862027012708,0.1186,70972000000,862725000000,0,0.6253
2018-06-30,79828000000,123567000000,0.9859,0.4699,759993000000,1617304000000,785752150628.5,0.1172,79274000000,857311000000,0,0.5854
2018-03-31,58973000000,0,0.9839,0.4421,695211000000,1572527000000,784541438532,0.119,71724000000,877316000000,0,0.6119
2017-12-31,68494000000,0,0.913,0.4647,741434000000,1595504000000,742166515154.5,0.1131,67754000000,854070000000,0,0.5824
2017-09-30,54284000000,0,0.968,0.4275,631230000000,1476655000000,714320136935,0.1252,68934000000,845425000000,0,0.5991
2017-06-30,50560000000,0,0.9389,0.4314,641712000000,1487538000000,717952273224.5,0.1233,68045000000,845826000000,0,0.5686
2017-03-31,56265000000,0,0.938,0.4228,625310000000,1478917000000,694948743391,0.128,67858000000,853607000000,0,0.5633
2016-12-31,50289000000,0,0.8491,0.4445,666084000000,1498609000000,654995244206.5,0.1246,62461000000,832525000000,0,0.519
2016-09-30,58293000000,0,0.8309,0.4243,599646000000,1413148000000,588406078899,0.1404,66561000000,813502000000,0,0.471
