date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,15308000000,3.687,-5558000000,-1.683
2025-12-31,30112000000,4.6098,162496000000,0.0879
2025-09-30,24115000000,3.9871,114782000000,0.1304
2025-06-30,35444000000,4.1849,61016000000,0.4435
2025-03-31,37584000000,3.3782,8138000000,1.5916
2024-12-31,12018000000,2.5954,149360000000,-0.075
2024-09-30,28557000000,2.7874,101541000000,0.0329
2024-06-30,37351000000,2.4988,42269000000,0.5336
2024-03-31,-572000000,2.4236,-13755000000,0.2523
2023-12-31,-4655000000,2.3053,161475000000,0.3888
2023-09-30,-38947000000,2.0822,98309000000,0.6594
2023-06-30,-54512000000,2.0817,27562000000,4.5715
2023-03-31,-22670000000,2.005,-18397000000,0.6067
2022-12-31,-56046000000,1.5347,116269000000,-0.4836
2022-09-30,18428000000,2.2449,59244000000,-0.4925
2022-06-30,31547000000,2.1203,4947000000,-0.8977
2022-03-31,42060000000,2.1893,-46781000000,-2.0801
2021-12-31,81731000000,2.6482,225174000000,0.3362
2021-09-30,62702000000,2.3896,115723000000,0.3739
2021-06-30,42949000000,1.5598,47736000000,0.1826
2021-03-31,86748000000,2.5682,-15578000000,0.7708
2020-12-31,38985000000,4.0124,167518000000,0.0905
2020-09-30,9623000000,3.1982,83639000000,0.0275
2020-06-30,14460000000,14.6309,39794000000,0.2089
2020-03-31,-39354000000,3.0628,-68125000000,-3.6632
2019-12-31,12981000000,2.1272,153420000000,-0.1276
2019-09-30,-1504000000,2.0237,81398000000,-0.4098
2019-06-30,25276000000,2.0794,32918000000,-0.5404
2019-03-31,50270000000,2.0098,-14609000000,-2.2122
2018-12-31,82520000000,2.1904,175868000000,-0.0789
2018-09-30,145514000000,2.3095,137919000000,0.2404
2018-06-30,132995000000,2.3063,71620000000,0.1771
2018-03-31,117253000000,2.5941,12052000000,-0.0922
2017-12-31,121300000000,2.7162,190935000000,-0.11
2017-09-30,123701000000,2.7356,111193000000,-0.1557
2017-06-30,129392000000,2.892,60847000000,-0.2006
2017-03-31,124884000000,2.6935,13276000000,-0.6128
2016-12-31,142136000000,3.6259,214543000000,0.2945
2016-09-30,104138000000,3.7024,131700000000,0.133
