日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=27.6900,=27.6900,=27.6900,=27.6900,=1316104425816.96,=82793100000.0,=82793100000.0,,=0.0413
2026-07-02,=26.7500,=26.7500,=26.7500,=26.7500,=1271426269072.0,=79982500000.0,=79982500000.0,,=0.0428
2026-07-01,=27.0200,=27.0200,=27.0200,=27.0200,=1284259356647.68,=80789800000.0,=80789800000.0,,=0.0424
2026-06-30,=27.1500,=27.1500,=27.1500,=27.1500,=1290438250665.6,=81178500000.0,=81178500000.0,,=0.0422
2026-06-29,=27.3400,=27.3400,=27.3400,=27.3400,=1299468941922.56,=81746600000.0,=81746600000.0,,=0.0419
2026-06-26,=27.3700,=27.3700,=27.3700,=27.3700,=1300894840542.08,=81836300000.0,=81836300000.0,,=0.0418
2026-06-25,=27.7300,=27.7300,=27.7300,=27.7300,=1318005623976.32,=82912700000.0,=82912700000.0,,=0.0413
2026-06-24,=29.2100,=29.2100,=29.2100,=29.2100,=1388349955872.64,=87337900000.0,=87337900000.0,,=0.0392
2026-06-23,=29.3400,=29.3400,=29.3400,=29.3400,=1394528849890.56,=87726600000.0,=87726600000.0,,=0.0390
2026-06-22,=30.5400,=30.5400,=30.5400,=30.5400,=1451564794671.36,=91314600000.0,=91314600000.0,,=0.0375
2026-06-18,=30.7000,=30.7000,=30.7000,=30.7000,=1459169587308.8,=91793000000.0,=91793000000.0,,=0.0375
2026-06-17,=31.4000,=31.4000,=31.4000,=31.4000,=1492440555097.6,=93886000000.0,=93886000000.0,,=0.0367
2026-06-16,=31.2700,=31.2700,=31.2700,=31.2700,=1486261661079.68,=93497300000.0,=93497300000.0,,=0.0368
2026-06-15,=31.8200,=31.8200,=31.8200,=31.8200,=1512403135770.88,=95141800000.0,=95141800000.0,,=0.0362
2026-06-12,=33.3600,=33.3600,=33.3600,=33.3600,=1585599264906.24,=99746400000.0,=99746400000.0,,=0.0345
2026-06-11,=33.8200,=33.8200,=33.8200,=33.8200,=1607463043738.88,=101121800000.0,=101121800000.0,,=0.0340
2026-06-10,=34.0500,=34.0500,=34.0500,=34.0500,=1618394933155.2,=101809500000.0,=101809500000.0,,=0.0338
2026-06-09,=35.0400,=35.0400,=35.0400,=35.0400,=1665449587599.36,=104769600000.0,=104769600000.0,,=0.0329
2026-06-08,=36.5700,=36.5700,=36.5700,=36.5700,=1738170417194.88,=109344300000.0,=109344300000.0,,=0.0315
2026-06-05,=35.1800,=35.1800,=35.1800,=35.1800,=1672103781157.12,=105188200000.0,=105188200000.0,,=0.0327
2026-06-04,=35.4500,=35.4500,=35.4500,=35.4500,=1684936868732.8,=105995500000.0,=105995500000.0,,=0.0325
2026-06-03,=36.2800,=36.2800,=36.2800,=36.2800,=1724386730539.52,=108477200000.0,=108477200000.0,,=0.0317
2026-06-02,=35.1800,=35.1800,=35.1800,=35.1800,=1672103781157.12,=105188200000.0,=105188200000.0,,=0.0327
2026-06-01,=34.8200,=34.8200,=34.8200,=34.8200,=1654992997722.88,=104111800000.0,=104111800000.0,,=0.0331
2026-05-29,=34.4000,=34.4000,=34.4000,=34.4000,=1635030417049.6,=102856000000.0,=102856000000.0,,=0.0335
2026-05-28,=34.4600,=34.4600,=34.4600,=34.4600,=1637882214288.64,=103035400000.0,=103035400000.0,,=0.0334
2026-05-27,=34.0900,=34.0900,=34.0900,=34.0900,=1620296131314.56,=101929100000.0,=101929100000.0,,=0.0338
2026-05-26,=35.1700,=35.1700,=35.1700,=35.1700,=1671628481617.28,=105158300000.0,=105158300000.0,,=0.0327
2026-05-25,=34.6200,=34.6200,=34.6200,=34.6200,=1645487006926.0798,=103513800000.0,=103513800000.0,,=0.0333
2026-05-22,=35.8300,=35.8300,=35.8300,=35.8300,=1702998251246.72,=107131700000.0,=107131700000.0,,=0.0321
2026-05-21,=36.2200,=36.2200,=36.2200,=36.2200,=1721534933300.48,=108297800000.0,=108297800000.0,,=0.0318
2026-05-20,=37.5800,=37.5800,=37.5800,=37.5800,=1786175670718.72,=112364200000.0,=112364200000.0,,=0.0306
2026-05-19,=36.9200,=36.9200,=36.9200,=36.9200,=1754805901089.28,=110390800000.0,=110390800000.0,,=0.0312
2026-05-18,=36.9000,=36.9000,=36.9000,=36.9000,=1753855302009.6,=110331000000.0,=110331000000.0,,=0.0312
2026-05-15,=36.5100,=36.5100,=36.5100,=36.5100,=1735318619955.8398,=109164900000.0,=109164900000.0,,=0.0315
2026-05-14,=36.0600,=36.0600,=36.0600,=36.0600,=1713930140663.04,=107819400000.0,=107819400000.0,,=0.0319
2026-05-13,=36.2100,=36.2100,=36.2100,=36.2100,=1721059633760.64,=108267900000.0,=108267900000.0,,=0.0318
2026-05-12,=36.1900,=36.1900,=36.1900,=36.1900,=1720109034680.96,=108208100000.0,=108208100000.0,,=0.0318
2026-05-11,=36.2500,=36.2500,=36.2500,=36.2500,=1722960831920.0,=108387500000.0,=108387500000.0,,=0.0318
2026-05-08,=36.3500,=36.3500,=36.3500,=36.3500,=1727713827318.4,=108686500000.0,=108686500000.0,,=0.0317
2026-05-07,=36.3600,=36.3600,=36.3600,=36.3600,=1728189126858.24,=108716400000.0,=108716400000.0,,=0.0317
2026-05-06,=38.2800,=38.2800,=38.2800,=38.2800,=1819446638507.52,=114457200000.0,=114457200000.0,,=0.0301
2026-04-30,=39.9900,=39.9900,=39.9900,=39.9900,=1900722859820.16,=119570100000.0,=119570100000.0,,=0.0288
2026-04-29,=39.9500,=39.9500,=39.9500,=39.9500,=1898821661660.8,=119450500000.0,=119450500000.0,,=0.0288
2026-04-28,=39.7700,=39.7700,=39.7700,=39.7700,=1890266269943.68,=118912300000.0,=118912300000.0,,=0.0290
2026-04-27,=38.8200,=38.8200,=38.8200,=38.8200,=1845112813658.88,=116071800000.0,=116071800000.0,,=0.0297
2026-04-24,=38.3800,=38.3800,=38.3800,=38.3800,=1824199633905.92,=114756200000.0,=114756200000.0,,=0.0300
2026-04-23,=38.0400,=38.0400,=38.0400,=38.0400,=1808039449551.36,=113739600000.0,=113739600000.0,,=0.0303
2026-04-22,=37.0900,=37.0900,=37.0900,=37.0900,=1762885993266.56,=110899100000.0,=110899100000.0,,=0.0310
2026-04-21,=37.4400,=37.4400,=37.4400,=37.4400,=1779521477160.96,=111945600000.0,=111945600000.0,,=0.0308
2026-04-20,=37.1600,=37.1600,=37.1600,=37.1600,=1766213090045.44,=111108400000.0,=111108400000.0,,=0.0310
2026-04-17,=37.3400,=37.3400,=37.3400,=37.3400,=1774768481762.56,=111646600000.0,=111646600000.0,,=0.0308
2026-04-16,=36.9600,=36.9600,=36.9600,=36.9600,=1756707099248.64,=110510400000.0,=110510400000.0,,=0.0312
2026-04-15,=36.8900,=36.8900,=36.8900,=36.8900,=1753380002469.76,=110301100000.0,=110301100000.0,,=0.0312
2026-04-14,=37.7000,=37.7000,=37.7000,=37.7000,=1791879265196.8,=112723000000.0,=112723000000.0,,=0.0305
2026-04-13,=38.1100,=38.1100,=38.1100,=38.1100,=1811366546330.24,=113948900000.0,=113948900000.0,,=0.0302
2026-04-10,=38.1000,=38.1000,=38.1000,=38.1000,=1810891246790.4,=113919000000.0,=113919000000.0,,=0.0302
2026-04-09,=38.3100,=38.3100,=38.3100,=38.3100,=1820872537127.04,=114546900000.0,=114546900000.0,,=0.0317
2026-04-08,=37.3700,=37.3700,=37.3700,=37.3700,=1776194380382.0798,=111736300000.0,=111736300000.0,,=0.0325
2026-04-07,=39.7600,=39.7600,=39.7600,=39.7600,=1889790970403.84,=118882400000.0,=118882400000.0,,=0.0306
2026-04-03,=39.1800,=39.1800,=39.1800,=39.1800,=1862223597093.12,=117148200000.0,=117148200000.0,,=0.0310
2026-04-02,=39.3300,=39.3300,=39.3300,=39.3300,=1869353090190.72,=117596700000.0,=117596700000.0,,=0.0309
2026-04-01,=38.6400,=38.6400,=38.6400,=38.6400,=1836557421941.76,=115533600000.0,=115533600000.0,,=0.0315
