date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,39144000000,0.0706,0.82,116079000000
2025-12-31,122082000000,-0.1149,2.57,398220000000
2025-09-30,101971000000,-0.1259,2.14,312503000000
2025-06-30,69533000000,-0.1279,1.46,207608000000
2025-03-31,36563000000,-0.0795,0.77,106854000000
2024-12-31,137936000000,0.1138,2.9,420506000000
2024-09-30,116659000000,0.1947,2.45,326024000000
2024-06-30,79731000000,0.2505,1.68,226770000000
2024-03-31,39719000000,0.2369,0.84,111468000000
2023-12-31,123843000000,-0.126,2.6,416609000000
2023-09-30,97645000000,-0.1023,2.05,306817000000
2023-06-30,63761000000,-0.113,1.34,192064000000
2023-03-31,32113000000,-0.0638,0.68,97711000000
2022-12-31,141700000000,1.0151,3.03,422230000000
2022-09-30,108768000000,1.0586,2.34,311145000000
2022-06-30,71887000000,1.1569,1.57,202355000000
2022-03-31,34301000000,1.3167,0.77,90898000000
2021-12-31,70320000000,1.8177,1.57,246111000000
2021-09-30,52837000000,,1.18,173855000000
2021-06-30,33328927100,,0.75,110233233800
2021-03-31,14806000000,,0.33,52386000000
2020-12-31,24956787700,-0.5912,0.56,155372671400
2019-12-31,61045394300,0.1589,1.37,233198556200
2018-12-31,52675361400,,1.18,227710214800
