date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.6536,43319847167,11710663091,-0.0115
2025-12-31,1.7329,42079291151,60562925570,0.0153
2025-09-30,1.6581,38829200791,42895214452,-0.0998
2025-06-30,1.7516,43521756972,23991186512,0.0421
2025-03-31,1.7397,42104998688,11847251953,-0.022
2024-12-31,1.8114,45237929778,59648468284,-0.0788
2024-09-30,2.2066,65575446719,47648323585,0.3096
2024-06-30,2.06,52825311758,22983963924,-0.0838
2024-03-31,2.4469,57139571355,12093344021,0.5959
2023-12-31,2.315,52493119975,64718720442,0.4886
2023-09-30,1.7808,33291188083,36384305345,0.0295
2023-06-30,2.2768,36064673752,25085920839,0.4103
2023-03-31,1.5581,29246468395,7577578300,0.7833
2022-12-31,1.4279,26079090303,30912732230,-0.1349
2022-09-30,1.4664,33228814968,23970161004,0.1094
2022-06-30,1.3044,32895551399,11988764138,0.2562
2022-03-31,1.3581,32026790888,3935599773,0.1911
2021-12-31,1.3491,32280624469,35732461733,-0.1293
2021-09-30,1.3532,31749534102,21606191289,-0.2177
2021-06-30,1.4142,35543731878,9543744115,-0.2091
2021-03-31,1.4284,35522915242,3304210280,-0.4085
2020-12-31,1.5482,37420689897,41036864400,0.1254
2020-09-30,1.5725,34663550816,27619640385,0.0532
2020-06-30,1.6569,31681373751,12066396464,-0.1274
2020-03-31,1.7586,34164969114,5585846887,0.0706
2019-12-31,1.6907,33759765780,36464419570,-0.0823
2019-09-30,1.6788,35221699649,26224598004,-0.0664
2019-06-30,1.7838,37756900142,13828006521,0.0567
2019-03-31,1.7121,35370764848,5217312699,-0.1365
2018-12-31,1.7549,36618702875,39736666415,0.0011
2018-09-30,1.7874,37256507500,28090292855,0.0154
2018-06-30,1.721,36044584246,13086211855,-0.0462
2018-03-31,1.7858,37685299668,6042292535,0.0535
2017-12-31,1.782,37141573534,39693165066,0.018
2017-09-30,1.7412,36743043944,27664833479,-0.0021
2017-06-30,1.8154,36627414633,13720314383,-0.0149
2017-03-31,1.9103,38696080426,5735602904,-0.0543
2016-12-31,1.8622,36761322455,38989831194,-0.0202
2016-09-30,1.832,31587163162,27722957241,-0.0001
2016-06-30,1.8367,24212122653,13928253190,-0.0209
