date,metric,value
2026-03-31,货币资金,110200615380.18
2026-03-31,总资产收益率(ROA),0.0317
2026-03-31,营业收入,56782594376
2026-03-31,归属于母公司普通股股东的净利润,4483918670
2026-03-31,流动资产合计,60875602
2026-03-31,净资产收益率(ROE),0.0914
2026-03-31,自由现金流量,4508435548
2026-03-31,速动比率,0.4537
2026-03-31,毛利率(GM),0.1856
2026-03-31,所有者权益合计,207007369858
2026-03-31,长期负债合计,159129797786
2026-03-31,资产负债率,0.6632
2026-03-31,负债合计,407690988572
2026-03-31,经营活动产生的现金流量净额,12436770516
2026-03-31,净利润率,0.0844
2026-03-31,资产合计,614698358430
2026-03-31,基本每股收益,0.25
2026-03-31,流动比率,0.5174
2026-03-31,应收账款,48481664612
2026-03-31,流动负债合计,628134470
2026-03-31,有息负债率,0.5249
2026-03-31,资本回报率(ROIC),0.0481
2026-03-31,经营活动产生的现金流量净额对净利润的比率,3.2674
