date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率
2026-07-03,107420312996.04,14.5185,,,,,2.0498,,,,,1.5588,,,,,14.4515,,,,,1.5564,,,,,0.0379
2026-07-02,108460897250.1,14.6592,,,,,2.0696,,,,,1.5739,,,,,14.5915,,,,,1.5715,,,,,0.0375
2026-07-01,107180178168.18,14.4861,,,,,2.0452,,,,,1.5553,,,,,14.4192,,,,,1.5529,,,,,0.0379
2026-06-30,106539818627.22,14.3995,,,,,2.0330,,,,,1.5460,,,,,14.3330,,,,,1.5436,,,,,0.0382
2026-06-29,106859998397.7,14.4428,,,,,2.0391,,,,,1.5507,,,,,14.3761,,,,,1.5483,,,,,0.0381
2026-06-26,104538695061.72,14.1291,,,,,1.9948,,,,,1.5170,,,,,14.0638,,,,,1.5147,,,,,0.0389
2026-06-25,103978380463.38,14.0533,,,,,1.9841,,,,,1.5089,,,,,13.9884,,,,,1.5065,,,,,0.0391
2026-06-24,105419189430.54,14.2481,,,,,2.0116,,,,,1.5298,,,,,14.1823,,,,,1.5274,,,,,0.0386
2026-06-23,106699908512.46,14.4212,,,,,2.0360,,,,,1.5484,,,,,14.3546,,,,,1.5460,,,,,0.0381
2026-06-22,105499234373.16,14.2589,,,,,2.0131,,,,,1.5309,,,,,14.1931,,,,,1.5286,,,,,0.0386
2026-06-18,104618740004.34,14.1399,,,,,1.9963,,,,,1.5182,,,,,14.0746,,,,,1.5158,,,,,0.0389
2026-06-17,106619863569.84,14.4104,,,,,2.0345,,,,,1.5472,,,,,14.3438,,,,,1.5448,,,,,0.0381
2026-06-16,108620987135.34,14.6808,,,,,2.0727,,,,,1.5762,,,,,14.6130,,,,,1.5738,,,,,0.0374
2026-06-15,110381975872.98,14.9188,,,,,2.1063,,,,,1.6018,,,,,14.8499,,,,,1.5993,,,,,0.0368
2026-06-12,112303054495.86,15.1785,,,,,2.1429,,,,,1.6297,,,,,15.1084,,,,,1.6272,,,,,0.0362
2026-06-11,110221885987.74,14.8972,,,,,2.1032,,,,,1.5995,,,,,14.8284,,,,,1.5970,,,,,0.0369
2026-06-10,109101256791.06,14.7457,,,,,2.0818,,,,,1.5832,,,,,14.6776,,,,,1.5808,,,,,0.0373
2026-06-09,109101256791.06,14.7457,,,,,2.0818,,,,,1.5832,,,,,14.6776,,,,,1.5808,,,,,0.0373
2026-06-08,108300807364.86,14.6376,,,,,2.0666,,,,,1.5716,,,,,14.5700,,,,,1.5692,,,,,0.0376
2026-06-05,109981751159.88,14.8647,,,,,2.0986,,,,,1.5960,,,,,14.7961,,,,,1.5935,,,,,0.0370
2026-06-04,112303054495.86,15.1785,,,,,2.1429,,,,,1.6297,,,,,15.1084,,,,,1.6272,,,,,0.0362
2026-06-03,114464267946.6,15.4706,,,,,2.1842,,,,,1.6610,,,,,15.3991,,,,,1.6585,,,,,0.0355
2026-06-02,115744987028.52,15.6437,,,,,2.2086,,,,,1.6796,,,,,15.5714,,,,,1.6770,,,,,0.0351
2026-06-01,116145211741.62,15.6978,,,,,2.2162,,,,,1.6854,,,,,15.6253,,,,,1.6828,,,,,0.0350
2026-05-29,114464267946.6,15.4706,,,,,2.1842,,,,,1.6610,,,,,15.3991,,,,,1.6585,,,,,0.0355
2026-05-28,110542065758.22,14.9405,,,,,2.1093,,,,,1.6041,,,,,14.8715,,,,,1.6016,,,,,0.0368
2026-05-27,110301930930.36,14.9080,,,,,2.1047,,,,,1.6006,,,,,14.8392,,,,,1.5982,,,,,0.0369
2026-05-26,111022335413.94,15.0054,,,,,2.1185,,,,,1.6111,,,,,14.9361,,,,,1.6086,,,,,0.0366
2026-05-25,107980627594.38,14.5943,,,,,2.0604,,,,,1.5669,,,,,14.5269,,,,,1.5645,,,,,0.0377
2026-05-22,106859998397.7,14.4428,,,,,2.0391,,,,,1.5507,,,,,14.3761,,,,,1.5483,,,,,0.0381
2026-05-21,106299683799.36,14.3671,,,,,2.0284,,,,,1.5425,,,,,14.3007,,,,,1.5402,,,,,0.0383
2026-05-20,106779953455.08,14.4320,,,,,2.0375,,,,,1.5495,,,,,14.3654,,,,,1.5471,,,,,0.0381
2026-05-19,109901706217.26,14.8539,,,,,2.0971,,,,,1.5948,,,,,14.7853,,,,,1.5924,,,,,0.0370
2026-05-18,105899459086.26,14.3130,,,,,2.0207,,,,,1.5367,,,,,14.2469,,,,,1.5344,,,,,0.0384
2026-05-15,106940043340.32,14.4536,,,,,2.0406,,,,,1.5518,,,,,14.3869,,,,,1.5494,,,,,0.0380
2026-05-14,107100133225.56,14.4753,,,,,2.0436,,,,,1.5542,,,,,14.4084,,,,,1.5518,,,,,0.0380
2026-05-13,108620987135.34,14.6808,,,,,2.0727,,,,,1.5762,,,,,14.6130,,,,,1.5738,,,,,0.0374
2026-05-12,108620987135.34,14.6808,,,,,2.0727,,,,,1.5762,,,,,14.6130,,,,,1.5738,,,,,0.0374
2026-05-11,108540942192.72,14.6700,,,,,2.0711,,,,,1.5751,,,,,14.6023,,,,,1.5726,,,,,0.0375
2026-05-08,108540942192.72,14.6700,,,,,2.0711,,,,,1.5751,,,,,14.6023,,,,,1.5726,,,,,0.0375
2026-05-07,108941166905.82,14.7241,,,,,2.0788,,,,,1.5809,,,,,14.6561,,,,,1.5784,,,,,0.0373
2026-05-06,109341391618.92,14.7782,,,,,2.0864,,,,,1.5867,,,,,14.7099,,,,,1.5842,,,,,0.0372
2026-04-30,109101256791.06,14.7457,,,,,2.0818,,,,,1.5832,,,,,14.6776,,,,,1.5808,,,,,0.0373
2026-04-29,108941166905.82,16.4080,,,,,2.0176,,,,,1.6475,,,,,16.5507,,,,,1.6439,,,,,0.0335
2026-04-28,108861121963.2,16.3960,,,,,2.0161,,,,,1.6463,,,,,16.5385,,,,,1.6426,,,,,0.0336
