date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,8130955167,0.4171,-53051413567,2.4969
2025-12-31,37408396869,-0.0813,-56209953277,2.0816
2025-09-30,30266329130,-0.0785,-55092539692,2.4237
2025-06-30,18723658421,-0.0433,-54039225759,2.3712
2025-03-31,5737704455,-0.395,-58630647579,2.1651
2024-12-31,40720532971,-0.0558,-49986870050,2.46
2024-09-30,32844795593,-0.0436,-46906247720,2.1941
2024-06-30,19570770333,-0.1081,-43229571461,2.0985
2024-03-31,9483193669,-0.0106,-28614745996,2.1893
2023-12-31,43126075121,-0.0765,-23848181436,2.2218
2023-09-30,34341268833,0.0129,-12439473420,2.5389
2023-06-30,21943610346,0.0125,-10337893475,2.7122
2023-03-31,9584826922,-0.0645,-9693409060,2.8129
2022-12-31,46697697465,0.3114,-3788850034,2.8609
2022-09-30,33904931962,0.2117,186731764,2.4341
2022-06-30,21671806379,0.308,7123888363,2.5385
2022-03-31,10245556660,0.6872,12639616840,2.4724
2021-12-31,35608016617,0.1439,10561393804,2.5335
2021-09-30,27981436722,0.2321,12512375877,2.6812
2021-06-30,16568731187,0.3599,11941654857,2.6276
2021-03-31,6072510929,0.0131,6587845195,2.538
2020-12-31,31127766899,0.1674,7203424375,2.8435
2020-09-30,22283009419,-0.0371,4161344801,2.4266
2020-06-30,11936799763,-0.1801,2388102739,2.6579
2020-03-31,5872966865,0.0701,3497656463,3.42
2019-12-31,26069178828,0.1137,1527737282,3.1008
2019-09-30,23142596017,0.2502,4917378339,3.359
2019-06-30,14559343268,0.3625,2042384631,3.1235
2019-03-31,5488167357,0.1866,492710906,2.7103
2018-12-31,23407917663,0.181,252817906,2.7421
2018-09-30,18510722756,0.2138,760329727,3.0065
2018-06-30,10685673193,0.1216,58142465,2.5852
2018-03-31,4625196783,-0.0344,-2584322483,2.4553
2017-12-31,19906554971,0.0748,-3602842234,2.4771
2017-09-30,15276348965,0.0718,-5885613820,2.2724
2017-06-30,9587249027,0.113,-6343942488,2.3925
2017-03-31,4771321651,0.4105,-5529805498,2.3561
2016-12-31,18521029064,0.0918,-5326865790,2.2842
2016-09-30,14253314561,0.0421,-9866323796,2.3149
