date,流动资产合计,长期负债合计,应收账款,流动比率,负债合计,有息负债率,货币资金,资产合计,资产负债率,所有者权益合计,流动负债合计,速动比率
2026-03-31,19051000000,9474000000,123136000000,0.8549,726428000000,0.0475,2031251257457.88,2153534000000,0.3373,1427106000000,58958000000,0.7887
2025-12-31,20178000000,9748000000,99762000000,0.8111,695331000000,0.0484,2187187498142.6,2092882000000,0.3322,1397551000000,49615000000,0.7385
2025-09-30,18295000000,10000000,111548000000,0.8104,704171000000,0.0478,2263876737065.88,2073824000000,0.3396,1369653000000,41174000000,0.7434
2025-06-30,21813000000,0,105822000000,0.8838,693546000000,0.0439,2432380454360.45,2092440000000,0.3315,1398894000000,40365000000,0.8137
2025-03-31,17302000000,0,101394000000,0.9292,695466000000,0.0454,2317287908506.56,2090272000000,0.3327,1394806000000,62417000000,0.8614
2024-12-31,20665000000,0,75741000000,0.8982,711588000000,0.0427,2542486228355.92,2072827000000,0.3433,1361239000000,54964000000,0.8347
2024-09-30,18451000000,0,90205000000,0.8964,653755000000,0.0467,2355272587003.2,1983343000000,0.3296,1329588000000,47661000000,0.8221
2024-06-30,20726000000,0,84342000000,0.9638,637738000000,0.0482,2303467941270,1986307000000,0.3211,1348569000000,45408000000,0.889
2024-03-31,17929000000,0,87070000000,0.9856,653771000000,0.0496,2262931143878.72,1995601000000,0.3276,1341830000000,74949000000,0.9135
2023-12-31,19407000000,0,54881000000,0.8918,646672000000,0.0526,2127797142674.16,1957357000000,0.3304,1310685000000,66193000000,0.822
2023-09-30,15292000000,0,71313000000,0.8953,665247000000,0.0545,2070363361389.36,1949176000000,0.3413,1283929000000,58615000000,0.8263
2023-06-30,14585000000,0,71320000000,0.9132,654711000000,0.0574,1994233459707,1956296000000,0.3347,1301585000000,54631000000,0.8487
2023-03-31,13048000000,0,69719000000,0.8898,663636000000,0.059,1922458002748.08,1957557000000,0.339,1293921000000,88915000000,0.8223
2022-12-31,13657000000,0,42757000000,0.8557,634115000000,0.0593,1445622487119.88,1900238000000,0.3337,1266123000000,75255000000,0.795
2022-09-30,9917000000,0,63931000000,0.9823,619128000000,0.0317,1459721952784.12,1858447000000,0.3331,1239319000000,72882000000,0.9205
2022-06-30,8685000000,0,63069000000,1.1037,622933000000,0.0323,1292451019222,1875081000000,0.3322,1252148000000,59327000000,1.0448
2022-03-31,7522000000,0,49272000000,1.1754,594671000000,0.0331,1428318597441.04,1845500000000,0.3222,1250829000000,91639000000,1.1091
2021-12-31,6551000000,0,37185000000,1.0227,631035000000,0.0316,,1806027000000,0.3494,1174992000000,79068000000,0.9779
2021-09-30,5845000000,0,51255000000,1.1012,623926000000,0.0342,,1770947000000,0.3523,1147021000000,81328000000,1.0512
2021-06-30,4808000000,0,52266000000,1.1228,618614000000,0.0358,,1765153000000,0.3505,1146539000000,68027000000,1.081
2021-03-31,0,0,0,,,,,,,,0,
2020-12-31,3841000000,0,39690000000,1.1208,575110000000,0.0394,,1692582000000,0.3398,1117472000000,79028000000,1.0816
2020-09-30,0,0,0,,,,,,,,0,
2019-12-31,5003000000,0,34044000000,1.1492,521951000000,0.0466,,1593940000000,0.3275,1071989000000,56835000000,1.1061
2018-12-31,5022000000,0,27110000000,1.1301,480101000000,0,,1500610000000,0.3199,1020509000000,62279000000,1.0816
