日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-07-03,=5.4300,=5.4300,=5.4300,=5.4300,=496883763135.57,=421529426836.0,=77970058914.96,,=1.0801,,,,
2026-07-02,=5.4200,=5.4200,=5.4200,=5.4200,=495968691748.58,=420753129549.0,=77826467646.24,,=1.0781,,,,
2026-07-01,=5.2700,=5.2700,=5.2700,=5.2700,=482242620943.73,=409108670244.0,=75672598615.44,,=1.0483,,,,
2026-06-30,=5.1900,=5.1900,=5.1900,=5.1900,=474922049847.8101,=402898291948.0,=74523868465.68,,=1.0324,,,,
2026-06-29,=5.2900,=5.2900,=5.2900,=5.2900,=484072763717.71,=410661264818.0,=75959781152.88,,=1.0523,,,,
2026-06-26,=5.3200,=5.3200,=5.3200,=5.3200,=486817977878.68,=412990156679.0,=76390554959.04,,=1.0583,,,,
2026-06-25,=5.3600,=5.3600,=5.3600,=5.3600,=490478263426.64,=416095345827.0,=76964920033.92,,=1.0662,,,,
2026-06-24,=5.3900,=5.3900,=5.3900,=5.3900,=493223477587.61,=418424237688.0,=77395693840.08,,=1.0722,,,,
2026-06-23,=5.5600,=5.5600,=5.5600,=5.5600,=508779691166.4399,=431621291566.0,=79836745408.32,,=1.1060,,,,
2026-06-22,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=1.1299,,,,
2026-06-18,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=1.1299,,,,
2026-06-17,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.1517,,,,
2026-06-16,=5.9600,=5.9600,=5.9600,=5.9600,=545382546646.04,=462673183046.0,=85580396157.12,,=1.1856,,,,
2026-06-15,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=1.2035,,,,
2026-06-12,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=1.2035,,,,
2026-06-11,=6.2400,=6.2400,=6.2400,=6.2400,=571004545481.76,=484409507082.0,=89600951681.28,,=1.2413,,,,
2026-06-10,=6.2800,=6.2800,=6.2800,=6.2800,=574664831029.72,=487514696230.0,=90175316756.16,,=1.2492,,,,
2026-06-09,=6.1900,=6.1900,=6.1900,=6.1900,=566429188546.81,=480528020647.0,=88882995337.68,,=1.2095,,,,
2026-06-08,=6.2100,=6.2100,=6.2100,=6.2100,=568259331320.79,=482080615221.0,=89170177875.12,,=1.2134,,,,
2026-06-05,=6.1100,=6.1100,=6.1100,=6.1100,=559108617450.89,=474317642351.0,=87734265187.92,,=1.1938,,,,
