日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=5.4300,=5.4300,=5.4300,=5.4300,=496883763135.57,=421529426836.0,=77970058914.96,,=1.1580,,,,
2026-07-02,=5.4200,=5.4200,=5.4200,=5.4200,=495968691748.58,=420753129549.0,=77826467646.24,,=1.1558,,,,
2026-07-01,=5.2700,=5.2700,=5.2700,=5.2700,=482242620943.73,=409108670244.0,=75672598615.44,,=1.1238,,,,
2026-06-30,=5.1900,=5.1900,=5.1900,=5.1900,=474922049847.8101,=402898291948.0,=74523868465.68,,=1.1068,,,,
2026-06-29,=5.2900,=5.2900,=5.2900,=5.2900,=484072763717.71,=410661264818.0,=75959781152.88,,=1.1281,,,,
2026-06-26,=5.3200,=5.3200,=5.3200,=5.3200,=486817977878.68,=412990156679.0,=76390554959.04,,=1.1345,,,,
2026-06-25,=5.3600,=5.3600,=5.3600,=5.3600,=490478263426.64,=416095345827.0,=76964920033.92,,=1.1430,,,,
2026-06-24,=5.3900,=5.3900,=5.3900,=5.3900,=493223477587.61,=418424237688.0,=77395693840.08,,=1.1494,,,,
2026-06-23,=5.5600,=5.5600,=5.5600,=5.5600,=508779691166.4399,=431621291566.0,=79836745408.32,,=1.1857,,,,
2026-06-22,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=1.2113,,,,
2026-06-18,=5.6800,=5.6800,=5.6800,=5.6800,=519760547810.32,=440936859010.0,=81559840632.96,,=1.2113,,,,
2026-06-17,=5.7900,=5.7900,=5.7900,=5.7900,=529826333067.21,=449476129167.0,=83139344588.88,,=1.2347,,,,
2026-06-16,=5.9600,=5.9600,=5.9600,=5.9600,=545382546646.04,=462673183046.0,=85580396157.12,,=1.2710,,,,
2026-06-15,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=1.2902,,,,
2026-06-12,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=1.2902,,,,
2026-06-11,=6.2400,=6.2400,=6.2400,=6.2400,=571004545481.76,=484409507082.0,=89600951681.28,,=1.3307,,,,
2026-06-10,=6.2800,=6.2800,=6.2800,=6.2800,=574664831029.72,=487514696230.0,=90175316756.16,,=1.3392,,,,
2026-06-09,=6.1900,=6.1900,=6.1900,=6.1900,=566429188546.81,=480528020647.0,=88882995337.68,,=1.2949,,,,
2026-06-08,=6.2100,=6.2100,=6.2100,=6.2100,=568259331320.79,=482080615221.0,=89170177875.12,,=1.2991,,,,
2026-06-05,=6.1100,=6.1100,=6.1100,=6.1100,=559108617450.89,=474317642351.0,=87734265187.92,,=1.2782,,,,
2026-06-04,=6.0100,=6.0100,=6.0100,=6.0100,=549957903580.99,=466554669481.0,=86298352500.72,,=1.2573,,,,
2026-06-03,=6.1200,=6.1200,=6.1200,=6.1200,=560023688837.88,=475093939638.0,=87877856456.64,,=1.2803,,,,
2026-06-02,=6.1600,=6.1600,=6.1600,=6.1600,=563683974385.84,=478199128786.0,=88452221531.52,,=1.2887,,,,
2026-06-01,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=1.2657,,,,
2026-05-29,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=1.2657,,,,
2026-05-28,=5.9700,=5.9700,=5.9700,=5.9700,=546297618033.03,=463449480333.0,=85723987425.84,,=1.2489,,,,
2026-05-27,=5.9600,=5.9600,=5.9600,=5.9600,=545382546646.04,=462673183046.0,=85580396157.12,,=1.2468,,,,
2026-05-26,=6.0800,=6.0800,=6.0800,=6.0800,=556363403289.92,=471988750490.0,=87303491381.76,,=1.2719,,,,
2026-05-25,=6.1300,=6.1300,=6.1300,=6.1300,=560938760224.87,=475870236925.0,=88021447725.36,,=1.2824,,,,
2026-05-22,=6.1500,=6.1500,=6.1500,=6.1500,=562768902998.85,=477422831499.0,=88308630262.8,,=1.2866,,,,
2026-05-21,=6.3500,=6.3500,=6.3500,=6.3500,=581070330738.65,=492948777239.0,=91180455637.2,,=1.3284,,,,
2026-05-20,=6.6600,=6.6600,=6.6600,=6.6600,=609437543735.34,=517013993135.0,=95631784967.52,,=1.3933,,,,
2026-05-19,=7.1200,=7.1200,=7.1200,=7.1200,=651530827536.88,=552723668337.0,=102236983328.64,,=1.4895,,,,
2026-05-18,=6.8200,=6.8200,=6.8200,=6.8200,=624078685927.18,=529434749727.0,=97929245267.04,,=1.4267,,,,
2026-05-15,=6.3300,=6.3300,=6.3300,=6.3300,=579240187964.67,=491396182665.0,=90893273099.76,,=1.3242,,,,
2026-05-14,=6.2600,=6.2600,=6.2600,=6.2600,=572834688255.74,=485962101656.0,=89888134218.72,,=1.3096,,,,
2026-05-13,=6.2100,=6.2100,=6.2100,=6.2100,=568259331320.79,=482080615221.0,=89170177875.12,,=1.2991,,,,
2026-05-12,=6.1200,=6.1200,=6.1200,=6.1200,=560023688837.88,=475093939638.0,=87877856456.64,,=1.2803,,,,
2026-05-11,=6.1400,=6.1400,=6.1400,=6.1400,=561853831611.86,=476646534212.0,=88165038994.08,,=1.2845,,,,
2026-05-08,=6.0500,=6.0500,=6.0500,=6.0500,=553618189128.95,=469659858629.0,=86872717575.6,,=1.2657,,,,
2026-05-07,=5.9900,=5.9900,=5.9900,=5.9900,=548127760807.01,=465002074907.0,=86011169963.28,,=1.2531,,,,
2026-05-06,=5.9500,=5.9500,=5.9500,=5.9500,=544467475259.05,=461896885759.0,=85436804888.4,,=1.2447,,,,
2026-04-30,=6.0300,=6.0300,=6.0300,=6.0300,=551788046354.97,=468107264055.0,=86585535038.16,,=1.2615,,,,
2026-04-29,=6.0400,=6.0400,=6.0400,=6.0400,=552703117741.96,=468883561342.0,=86729126306.88,,=1.2636,,,,
2026-04-28,=5.9800,=5.9800,=5.9800,=5.9800,=547212689420.02,=464225777620.0,=85867578694.56,,=1.2510,,,,
2026-04-27,=5.9900,=5.9900,=5.9900,=5.9900,=548127760807.01,=465002074907.0,=86011169963.28,,=1.2531,,,,
2026-04-24,=5.9100,=5.9100,=5.9100,=5.9100,=540807189711.09,=458791696611.0,=84862439813.52,,=1.2364,,,,
2026-04-23,=5.9600,=5.9600,=5.9600,=5.9600,=545382546646.04,=462673183046.0,=85580396157.12,,=1.2686,,,,
2026-04-22,=5.9300,=5.9300,=5.9300,=5.9300,=542637332485.07,=460344291185.0,=85149622350.96,,=1.2622,,,,
2026-04-21,=6.0000,=6.0000,=6.0000,=6.0000,=549042832194.0,=465778372194.0,=86154761232.0,,=1.2771,,,,
