date,metric,value
2026-03-31,应收账款,67271995517
2026-03-31,经营活动产生的现金流量净额对净利润的比率,4.3233
2026-03-31,净资产收益率(ROE),0.0673
2026-03-31,长期负债合计,5596990096
2026-03-31,总资产收益率(ROA),0.0365
2026-03-31,流动比率,0.6784
2026-03-31,毛利率(GM),0.2874
2026-03-31,资产负债率,0.4587
2026-03-31,所有者权益合计,475875808761
2026-03-31,资产合计,879079073895
2026-03-31,流动资产合计,4410788815
2026-03-31,自由现金流量,65022185944
2026-03-31,流动负债合计,62789647779
2026-03-31,速动比率,0.6278
2026-03-31,有息负债率,0.052
2026-03-31,经营活动产生的现金流量净额,23215066428
2026-03-31,货币资金,518845476423.33
2026-03-31,归属于母公司普通股股东的净利润,7350127689
2026-03-31,营业收入,131393926307
2026-03-31,资本回报率(ROIC),0.0656
2026-03-31,净利润率,0.0608
2026-03-31,负债合计,403203265134
2026-03-31,基本每股收益,0.08
