date,货币资金,资产合计,资产负债率,流动负债合计,速动比率,长期负债合计,流动资产合计,应收账款,流动比率,负债合计,有息负债率,所有者权益合计
2026-03-31,207015156124.44,3613674212000,0.768,386556860000,0.5658,539803611000,622518851000,442286697000,1.2765,2775299325000,0.2728,838374887000
2025-12-31,211973602977.72,3560679818000,0.769,377779486000,0.5645,526471993000,588967936000,415558761000,1.2617,2738171656000,0.2641,822508162000
2025-09-30,225196127919.8,3412521637000,0.7607,369867222000,0.5642,537605207000,555908171000,413207586000,1.3016,2595780578000,0.2619,816741059000
2025-06-30,238418652861.88,3399758228000,0.7627,351596889000,0.5615,540273127000,576748037000,372010971000,1.2843,2593109540000,0.2692,806648688000
2025-03-31,217345253735.44,3261604789000,0.7567,358397232000,0.5725,547241580000,485862837000,360870450000,1.3126,2467932939000,0.2775,793671850000
2024-12-31,249661934664,3189262063000,0.7581,345383924000,0.5887,524271669000,445402103000,317094483000,1.2937,2417801587000,0.2707,771460476000
2024-09-30,257151792703.92,3273640618000,0.7616,337707485000,0.545,526728324000,495949972000,360442216000,1.2893,2493265142000,0.2704,780375476000
2024-06-30,221001947477.64,3198004370000,0.7628,319412406000,0.5343,520816655000,499313968000,311875475000,1.2916,2439550360000,0.2865,758454010000
2024-03-31,218088550806.56,2966209035000,0.7476,304691483000,0.5662,521765234000,354827300000,263040264000,1.3366,2217604957000,0.2986,748604078000
2023-12-31,201632864475.64,2903322519000,0.7482,316984078000,0.5589,458112463000,334954194000,257698659000,1.2883,2172252410000,0.2781,731070109000
2023-09-30,231814914875.32,2852436527000,0.7478,369451027000,0.5552,423457337000,309286926000,249546213000,1.28,2133019239000,0.2712,719417288000
2023-06-30,240703644524.56,2829157158000,0.7548,359441461000,0.5577,424405451000,328513256000,242084204000,1.2709,2135578501000,0.2744,693578657000
2023-03-31,243219710495.2,2713958558000,0.7448,340216687000,0.5604,408823327000,280211506000,208372627000,1.3206,2021430654000,0.2933,692527904000
2022-12-31,227703970342.92,2652903306000,0.7435,337693219000,0.5622,398970893000,262511324000,210431620000,1.3117,1972516396000,0.2653,680386910000
2022-09-30,215962329146.6,2644562548000,0.7432,311687110000,0.5716,394945936000,271446987000,222751673000,1.3497,1965448535000,0.2728,679114013000
2022-06-30,223125369050.08,2596852299000,0.7458,290057115000,0.5865,387442060000,285271871000,227736849000,1.3599,1936845689000,0.2718,660006610000
2022-03-31,228198033071.36,2502711661000,0.7372,306402489000,0.5668,374471274000,245697578000,204032418000,1.3621,1845048778000,0.2628,657662883000
2021-12-31,209740839220,2388249126000,0.7321,323735026000,0.5849,334735903000,215697090000,180699591000,1.3448,1748546817000,0.2425,639702309000
2021-09-30,201351205651.2,2368667704000,0.7397,321091376000,0.5981,325276899000,173041651000,190217468000,1.3449,1752175174000,0.2494,616492530000
2021-06-30,195058980474.6,2351232414000,0.7444,319824633000,0.6108,325763116000,173290842000,184383313000,1.3172,1750203103000,0.2457,601029311000
2021-03-31,217798721142.09,2282487601000,0.7408,321435286000,0.5637,310796429000,161362515000,168747775000,1.3149,1690755647000,0.2366,591731954000
2020-12-31,208566405409.67,2192173839000,0.7367,309479052000,0.6013,292897038000,141065956000,160441814000,1.3191,1615078738000,0.2277,577095101000
2020-09-30,213182563275.88,2199762052000,0.7509,294403948000,0.5792,275951739000,182101767000,166268388000,1.2989,1651827938000,0.2467,547934114000
2020-06-30,200173391102.7,2175448096000,0.7595,292899135000,0.5802,280698497000,193761098000,172032261000,1.2818,1652192456000,0.249,523255640000
2020-03-31,221211568571.7,2073222309000,0.7618,279843732000,0.5595,270811578230,167563783000,159368116000,1.2768,1579357931000,0.2604,493864378000
2019-12-31,235903038970.2,2034451929000,0.7533,281789584000,0.5905,247800428000,150975326000,153961875000,1.2756,1532616609000,0.2285,501835320000
2019-09-30,227958272479.5,1944644260000,0.7602,243432096000,0.5529,262700961000,174844123000,156228001000,1.2861,1478368605000,0.2561,466275655000
2019-06-30,241392277487.5,1933868550000,0.7654,246105298000,0.5652,256799968000,170835929000,142260909000,1.2792,1480147041000,0.2572,453721509000
2019-03-31,256925345778,1930945936000,0.7705,274580953000,0.5779,236892134000,188659558000,150638768000,1.2915,1487751125000,0.2373,443194811000
2018-12-31,239315494422,1861840298000,0.7694,90007393000,0.6276,214675614000,9078328000,167552941000,1.277,1432576042000,0.2262,429264256000
2018-09-30,230498607785.4,1819755791000,0.7863,103041547000,0.5768,249436920000,11635111000,150284566000,1.2916,1430944079000,0.2547,388811712000
2018-06-30,229239052551.6,1774576809000,0.7879,91535270000,0.5983,240104607000,10743980000,165552900000,1.2863,1398100747000,0.2596,376476062000
2018-03-31,259800000000,1620469002000,0.7761,0,0.5925,211770174000,0,137286532000,1.3122,1257656592000,0.2585,362812410000
2017-12-31,270600000000,1550983306000,0.7797,0,0.6445,185852810000,0,137713669000,1.2863,1209254113000,0.2468,341729193000
2017-09-30,278400000000,1527107227000,0.7938,0,0.6169,171903970000,0,157064078000,1.3147,1212241388000,0.2512,314865839000
2017-06-30,290400000000,1473893887000,0.7925,0,0.6408,151614769000,0,154892646000,1.3093,1167998765000,0.2479,305895122000
2017-03-31,276000000000,1374796334000,0.7813,0,0.667,150572421000,0,133752638000,1.4116,1074087571000,0.2584,300708763000
2016-12-31,265800000000,1391953279000,0.7909,0,0.7313,143666874000,0,138649310000,1.3881,1100954465000,0.2535,290998814000
2016-09-30,185100000000,1343097652000,0.7864,0,0.6688,139361822000,0,157913204000,1.3948,1056272537000,0.2719,286825115000
