date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,185115349189.12,0.0908,,,,,0.3732,,,,,5.9970,,,,,0.3750,,,,,4.8796,,,,,0.0607
2026-07-02,183462533571.36,0.0900,,,,,0.3698,,,,,5.9435,,,,,0.3716,,,,,4.8360,,,,,0.0612
2026-07-01,182222921858.04,0.0894,,,,,0.3673,,,,,5.9033,,,,,0.3691,,,,,4.8033,,,,,0.0616
2026-06-30,179330494526.96,0.0880,,,,,0.3615,,,,,5.8096,,,,,0.3632,,,,,4.7271,,,,,0.0626
2026-06-29,181809717953.6,0.0892,,,,,0.3665,,,,,5.8899,,,,,0.3683,,,,,4.7924,,,,,0.0618
2026-06-26,181809717953.6,0.0892,,,,,0.3665,,,,,5.8899,,,,,0.3683,,,,,4.7924,,,,,0.0618
2026-06-25,183462533571.36,0.0900,,,,,0.3698,,,,,5.9435,,,,,0.3716,,,,,4.8360,,,,,0.0612
2026-06-24,185115349189.12,0.0908,,,,,0.3732,,,,,5.9970,,,,,0.3750,,,,,4.8796,,,,,0.0607
2026-06-23,188834184329.08,0.0926,,,,,0.3807,,,,,6.1175,,,,,0.3825,,,,,4.9776,,,,,0.0595
2026-06-22,192139815564.6,0.0942,,,,,0.3873,,,,,6.2246,,,,,0.3892,,,,,5.0647,,,,,0.0585
2026-06-18,190486999946.84,0.0934,,,,,0.3840,,,,,6.1710,,,,,0.3858,,,,,5.0212,,,,,0.0590
2026-06-17,195445446800.12,0.0959,,,,,0.3940,,,,,6.3317,,,,,0.3959,,,,,5.1519,,,,,0.0575
2026-06-16,194619038991.24,0.0955,,,,,0.3923,,,,,6.3049,,,,,0.3942,,,,,5.1301,,,,,0.0577
2026-06-15,196271854609.0,0.0963,,,,,0.3957,,,,,6.3584,,,,,0.3975,,,,,5.1736,,,,,0.0572
2026-06-12,197098262417.88,0.0967,,,,,0.3973,,,,,6.3852,,,,,0.3992,,,,,5.1954,,,,,0.0570
2026-06-11,195858650704.56,0.0961,,,,,0.3948,,,,,6.3450,,,,,0.3967,,,,,5.1628,,,,,0.0573
2026-06-10,195858650704.56,0.0961,,,,,0.3948,,,,,6.3450,,,,,0.3967,,,,,5.1628,,,,,0.0573
2026-06-09,194205835086.8,0.0953,,,,,0.3915,,,,,6.2915,,,,,0.3934,,,,,5.1192,,,,,0.0578
2026-06-08,194205835086.8,0.0953,,,,,0.3915,,,,,6.2915,,,,,0.3934,,,,,5.1192,,,,,0.0578
