date,应收账款,长期负债合计,流动比率,流动资产合计,负债合计,资产负债率,资产合计,有息负债率,货币资金,所有者权益合计,流动负债合计,速动比率
2026-03-31,281086003000,388966440000,0.9536,376140909000,1878032758000,0.7746,2424585163000,0.259,134046185074.47,546552405000,144054866000,0.4555
2025-12-31,288877597000,373128703000,0.9606,366844960000,1929982461000,0.7812,2470580585000,0.2377,133552805252.89,540598124000,150870737000,0.4997
2025-09-30,295717155000,359408868000,0.9586,383013459000,1868812991000,0.7788,2399670886000,0.2477,136322959143.69,530857895000,153741843000,0.4586
2025-06-30,297515143000,348522398000,0.9612,383827989000,1855814235000,0.7809,2376651387000,0.2432,138797060035.59,520837152000,160269688000,0.4633
2025-03-31,283376611000,339835664000,0.9585,341395490000,1756467395000,0.773,2272225394000,0.2457,136822514102.54,515757999000,153628408000,0.4605
2024-12-31,246194352000,325646375000,0.9905,333119548000,1746273748000,0.7739,2256413630000,0.2323,158100518104.02,510139882000,161138690000,0.5054
2024-09-30,247400146000,319854315000,0.9775,321322451000,1638695405000,0.77,2128258300000,0.2473,162611637897.69,489562895000,141118197000,0.4586
2024-06-30,234674403000,305435946000,0.993,286068151000,1533146538000,0.7648,2004571635000,0.2504,161374106406.84,471425097000,139523098000,0.4765
2024-03-31,184919532000,288970104000,0.9918,248962520000,1386444984000,0.7464,1857390090000,0.2497,173501915017.17,470945106000,136205513000,0.47
2023-12-31,156851816000,279718807000,0.9951,234190925000,1369537197000,0.7486,1829439189000,0.2326,140592473183.44,459901992000,135708004000,0.5012
2023-09-30,161177201000,277406690000,1.0025,189952981000,1290488426000,0.742,1739147898000,0.2568,168809976604.06,448659472000,151810766000,0.504
2023-06-30,156884288000,267092309000,1.0103,189125192000,1271949969000,0.7469,1702876171000,0.257,187621645551.14,430926202000,146214900000,0.5119
2023-03-31,148202753000,260083363000,1.0353,176691991000,1220710282000,0.7371,1656062603000,0.2535,170295108363.04,435352321000,150103557000,0.5264
2022-12-31,122237789000,240377887000,1.0288,169734586000,1190106941000,0.7377,1613165843000,0.2458,137622209665.48,423058902000,136937120000,0.5412
2022-09-30,151606712000,227091451000,1.0511,166978058000,1159767795000,0.7384,1570716038000,0.2502,129398848762.09,410948243000,139380978000,0.5273
2022-06-30,159075945000,216671200000,1.059,175034246000,1135539084000,0.7409,1532715631000,0.2424,151913753613.62,397176547000,134126921000,0.5266
2022-03-31,140832745000,185421483000,1.039,169466639000,1038938435000,0.7366,1410512780000,0.2371,149192171708.49,371574345000,138992028000,0.4819
2021-12-31,122120354000,161579287000,1.0164,149141915000,1003383600000,0.7368,1361726183000,0.2195,142265680548.57,358342583000,144095346000,0.5083
2021-09-30,132250139000,152872682000,1.0429,139071537000,1004745201000,0.7437,1350991993000,0.2347,139071459741.78,346246792000,142844250000,0.5319
2021-06-30,136066139000,136397561000,1.0307,140041702000,963887695000,0.743,1297234779000,0.2228,128751669442.92,333347084000,136332264000,0.5272
2021-03-31,120648587000,137881328000,1.0503,140714531000,936098308000,0.7402,1264599965000,0.2151,145214192062.53,328501657000,133482564000,0.5147
2020-12-31,107876645000,119970402000,1.052,125041827000,886927853000,0.739,1200122108000,0.2039,129488797305.6,313194255000,124659610000,0.5585
2020-09-30,118499431000,104019781000,1.0384,137620828000,924933594000,0.7654,1208429947000,0.234,132437308819.2,283496353000,125563311000,0.5302
2020-06-30,114294018000,85408604000,1.0247,136262378000,875783807000,0.7666,1142444310000,0.2381,123346064985.6,266660503000,110700639000,0.5037
2020-03-31,109737595000,88147077000,1.0562,123711877000,836339491000,0.764,1094718398000,0.238,132191599526.4,258378907000,116113656000,0.5127
2019-12-31,103712103000,75048430000,1.0495,115928733000,810710931000,0.7676,1056185927000,0.2111,145951319923.2,245474996000,110369928000,0.5416
2019-09-30,118211467000,78009313000,1.0623,119866546000,795317515000,0.7728,1029148420000,0.2375,147425575680,233830905000,97613437000,0.5075
2019-06-30,113565472000,73274038000,1.0605,123339640000,782386880000,0.7729,1012232162000,0.2313,148944846040.8,229845282000,99798455000,0.4976
2019-03-31,117666621000,60393105000,1.0342,112683119000,742595826000,0.7655,970130655000,0.2078,166078072195.8,227534829000,101538425000,0.499
2018-12-31,105909473000,56031383000,1.0469,109245613000,720532073000,0.7643,942676101000,0.1942,159681667764.6,222144028000,91999246000,0.5391
2018-09-30,131080166000,61932456000,1.0939,120636757000,718684141000,0.7865,913764213000,0.2211,177500222965.8,195080072000,103630723000,0.5655
2018-06-30,0,59098011000,1.1081,129253116000,692674644000,0.7856,881703318000,0.2104,170646932503.8,189028674000,94875027000,0.5898
2018-03-31,112930879000,53719668000,1.071,0,659264536000,0.7902,834260470000,0.1985,168362502349.8,174995934000,0,0.5565
2017-12-31,157804847000,53022537000,1.1347,0,674363914000,0.7989,844083529000,0.1967,191663689920.6,169719615000,0,0.6677
2017-09-30,162020818000,58749140000,1.168,0,622119517000,0.7918,785688657000,0.2166,197603208321,163569140000,0,0.6237
2017-06-30,160473724000,59254143000,1.1754,0,606480120000,0.7905,767189542000,0.2085,198060094351.8,160709422000,0,0.6274
2017-03-31,151152492000,58982321000,1.1849,0,601105432000,0.7932,757814480000,0.2146,201258296567.4,156709048000,0,0.627
2016-12-31,140532460000,59038856000,1.1743,0,605350071000,0.8023,754509273000,0.2207,202400511644.4,149159202000,0,0.6446
2016-09-30,160435150000,59952499000,1.2017,0,589274173000,0.8011,735583727000,0.2324,161280768872.4,146309554000,0,0.6259
