date,metric,value
2026-03-31,流动资产合计,376140909000
2026-03-31,负债合计,1878032758000
2026-03-31,总资产收益率(ROA),0.0105
2026-03-31,净资产收益率(ROE),0.0465
2026-03-31,毛利率(GM),0.0923
2026-03-31,所有者权益合计,546552405000
2026-03-31,净利润率,0.0229
2026-03-31,自由现金流量,-41921321000
2026-03-31,资产负债率,0.7746
2026-03-31,营业收入,234997667000
2026-03-31,长期负债合计,388966440000
2026-03-31,货币资金,134046185074.47
2026-03-31,经营活动产生的现金流量净额,-86427712000
2026-03-31,速动比率,0.4555
2026-03-31,归属于母公司普通股股东的净利润,4358918000
2026-03-31,基本每股收益,0.177
2026-03-31,有息负债率,0.259
2026-03-31,资本回报率(ROIC),0.0311
2026-03-31,流动负债合计,144054866000
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.7995
2026-03-31,资产合计,2424585163000
2026-03-31,应收账款,281086003000
2026-03-31,流动比率,0.9536
