date,应收账款,有息负债率,流动比率,负债合计,长期负债合计,流动资产合计,资产合计,货币资金,流动负债合计,所有者权益合计,资产负债率,速动比率
2026-03-31,155640649008,0.3637,0.9022,1662720971766,459921677680,262599331058,2135322769674,123850042552.25,110421064960,472601797908,0.7787,0.5073
2025-12-31,157728815136,0.3483,0.8944,1551244760037,425291657983,243492606354,2019131695690,134103068414,102565879286,467886935653,0.7683,0.505
2025-09-30,148775650792,0.3436,0.9206,1554242069140,422385762413,246697083898,2039673083990,142275063854.5,94790299290,485431014850,0.762,0.5184
2025-06-30,155225293336,0.3451,0.9179,1531861436411,424761221805,252957553827,2018485102659,144716855568.25,94654922174,486623666248,0.7589,0.5139
2025-03-31,138874517135,0.3429,0.9224,1452410418385,426096875245,209141590849,1927559785338,148949294538.75,92111593826,475149366954,0.7535,0.5342
2024-12-31,138018850273,0.326,0.9081,1390457601488,392946216502,206239797953,1858272592553,170111489391.25,85269506012,467814991065,0.7483,0.5277
2024-09-30,134597973444,0.3418,0.9235,1430297468987,414960026704,221624668046,1902331619980,157414172479.75,75159445179,472034150993,0.7519,0.5324
2024-06-30,136716925920,0.3299,0.9008,1395151399950,412569699092,220247099910,1864850181313,145530786139.5,69596873301,469698781363,0.7481,0.5118
2024-03-31,117986929144,0.3359,0.9322,1348343641160,417737143221,190718824555,1818355063755,140334560483.5,81954454110,470011422595,0.7415,0.5452
2023-12-31,116424517658,0.3119,0.9002,1225138285495,372310055891,170256765969,1684262786164,123603826830,73475830407,459124500669,0.7274,0.5259
2023-09-30,119803161584,0.345,0.9304,1348394387912,424243303925,196915371650,1793517168041,148975138653,90034300209,445122780129,0.7518,0.5407
2023-06-30,116257938992,0.3328,0.9173,1308315037247,395486167965,199551229018,1746447948769,177436546146.75,82313564683,438132911522,0.7491,0.5343
2023-03-31,108405255926,0.336,0.9327,1199160181470,379587822228,169575532139,1633363513213,170709912648,83326246213,434203331742,0.7342,0.5327
2022-12-31,103881867301,0.312,0.9318,1085173993821,344258658478,151074718899,1511350074155,130133976971.25,76628781159,426176080334,0.718,0.5415
2022-09-30,107453702735,0.3151,0.9575,1184902434601,369546186547,181848022236,1618452270919,114938208231.75,82985245279,433549836318,0.7321,0.5634
2022-06-30,107275323372,0.327,0.9618,1149489416586,352755973738,175313162092,1565683489131,150017802024,69950496774,416194072545,0.7342,0.5721
2022-03-31,97227148408,0.3327,0.9525,1074948441590,346258032930,144367402065,1477485305424,152765972966.25,83405344379,402536863834,0.7276,0.5753
2021-12-31,97473320679,0.3161,0.9469,999482954720,320378742940,130054651812,1390837091747,138701804026.5,80027178915,391354137027,0.7186,0.5727
2021-09-30,117579422915,0.3387,0.9593,1112613335183,347180066546,144564122824,1490622933319,133205462142,79353997477,378009598136,0.7464,0.5928
2021-06-30,113247921866,0.3422,0.9847,1069136500918,329241598712,138641825777,1438972935415,104753810034,75144110133,369836434497,0.743,0.628
2021-03-31,102177716132,0.3454,1.0102,997426931147,321830571069,119464118253,1359997208041,115002368871.75,89776033287,362570276894,0.7334,0.6297
2020-12-31,102420974456,0.3163,1.0031,946365159652,291764436198,108428684679,1304168590053,117428579185.5,88558036732,357803430401,0.7256,0.6602
2020-09-30,99206865123,0.3439,0.9937,963329062677,294157524990,112787616998,1278155823031,120178284207.75,78553142153,314826760354,0.7537,0.6424
2020-06-30,100912468958,0.3425,1.0087,925321873596,277206168935,114147519785,1232555570145,118722558056.2,79370110435,307233696549,0.7507,0.6503
2020-03-31,88206733193,0.3398,1.0335,858304694775,251517319847,106992773503,1166390172766,133603314651.8,91956391309,308085477991,0.7359,0.66
2019-12-31,95933386804,0.3096,1.0052,824020184999,228764449341,96763518849,1120399492938,148160576538.8,82807679323,296379307939,0.7355,0.6614
2019-09-30,89804538830,0.345,1.0347,801061311626,227171713270,106370468145,1068639255160,163526575197.3,70290208373,267577943534,0.7496,0.6749
2019-06-30,85420192761,0.3463,1.0048,760487658422,213411905586,98089800657,1010172623215,183098005067.6,63407673109,249684964793,0.7528,0.6644
2019-03-31,90391031601,0.3373,1.0261,726017323469,206358504957,84658352047,973715279647,202345940229.3,84549440622,247697956178,0.7456,0.6936
2018-12-31,83454839771,0.3068,1.0034,720793908072,193826093607,81112903992,960476085593,182127520941.8,81953016808,239682177521,0.7505,0.707
2018-09-30,75920822737,0.3419,1.0351,702921667492,194546449274,111420386715,921794993496,206713118795.4,91918127997,218873326004,0.7626,0.6601
2018-06-30,0,0.3296,1.0223,693884621088,179650169386,112180838756,904870498625,184230236547.7,98906105690,210985877537,0.7668,0.6467
2018-03-31,71799966116,0.3202,1.0269,642083300255,165535247038,0,853026572373,207845350275.5,0,210943272118,0.7527,0.6607
2017-12-31,68044732239,0.3122,1.0063,644293522111,154431751846,0,850235282422,207036613504,0,205941760311,0.7578,0.6856
2017-09-30,91356958202,0.3449,1.011,681789340906,174016812202,0,883704733819,247635199433.3,0,201915392913,0.7715,0.6134
2017-06-30,88058347070,0.3361,1.024,662828874585,161077375186,0,857948483078,257016545982.7,0,195119608493,0.7726,0.6366
2017-03-31,82694280244,0.3369,1.0576,623780384629,162237546527,0,816503848997,289689511551.3,0,192723464368,0.764,0.6584
2016-12-31,83436913111,0.332,1.0326,614505763527,146751049908,0,801463079787,245694231181.7,0,186957316260,0.7667,0.6796
2016-09-30,81793405601,0.3553,1.1058,611742898307,161250060988,0,792721200335,178569079147.2,0,180978302028,0.7717,0.6706
