date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,0.4684,-55149016440,-0.1276,-24479765861
2025-12-31,0.737,15333042142,0.226,-20065011204
2025-09-30,0.8614,-65790413885,0.1459,-10096565726
2025-06-30,0.3265,-77300858429,-0.0423,-20301409675
2025-03-31,0.1095,-48907898828,-0.234,-25433448879
2024-12-31,0.4121,12506416778,0.0369,-13203718051
2024-09-30,-0.4961,-77028344565,-0.5292,-41068065848
2024-06-30,-0.42,-74160755036,-0.4957,-44537876103
2024-03-31,-0.0625,-39634707471,-0.5462,-36649737412
2023-12-31,0.3995,12074258093,9.605,-25312995886
2023-09-30,-0.2626,-49829677579,-0.1693,-36481841528
2023-06-30,-0.1248,-49378192793,-0.0801,-30986034654
2023-03-31,0.3223,-25633637952,0.2317,-24121176990
2022-12-31,0.0179,442291569,1.035,-31401376086
2022-09-30,0.1324,-42624436167,0.2717,-31926943370
2022-06-30,0.2529,-45724544630,0.2923,-32538292104
2022-03-31,-0.5009,-33363409598,0.0161,-42341534157
2021-12-31,-0.5381,-12642685470,-1.9127,-48268159951
2021-09-30,-0.2357,-58522439352,-0.52,-77645350597
2021-06-30,-0.4043,-64610375982,-0.5928,-81978623431
2021-03-31,1.0073,-33908744094,0.2064,-65093537235
2020-12-31,0.7159,13851445641,1.5734,-71985243248
2020-09-30,0.2945,-38501208131,0.0074,-68505160234
2020-06-30,0.2774,-40564971784,-0.0065,-63702603185
2020-03-31,0.0732,-42733628450,-0.1162,-64126791192
2019-12-31,0.2743,5931260061,-0.3481,-56382009013
2019-09-30,0.0614,-38224844264,-0.2564,-39456695038
2019-06-30,0.1119,-39766551173,-0.2034,-41500341526
2019-03-31,-0.6409,-38284999481,-1.4105,-52627708593
2018-12-31,0.4483,9098072660,-0.7871,-28839674207
2018-09-30,0.321,-30425193331,-7.0112,-34996453103
2018-06-30,0.5325,-33044594459,-14.831,-31039104786
2018-03-31,1.8811,-15882472516,-0.159,1689545763
2017-12-31,2.0049,42741461162,0.438,2467556162
2017-09-30,2.591,5061408215,1.4399,24118321324
2017-06-30,2.4203,-2087331407,0.866,12660259699
2017-03-31,1.6632,-13704098333,0.0232,-7396346463
2016-12-31,1.7258,29722887754,-0.0686,-6819474135
2016-09-30,1.4252,-11506759631,-1.87,-27708009055
