date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,60503347475.0,12.7404,,,,,1.3961,,,,,0.0408,1.3961,,,,,3.0198,,,,,13.0490,,,,
2026-07-02,59294288075.0,12.4858,,,,,1.3682,,,,,0.0416,1.3682,,,,,2.9595,,,,,12.7882,,,,
2026-07-01,58538625950.0,12.3266,,,,,1.3507,,,,,0.0422,1.3507,,,,,2.9218,,,,,12.6253,,,,
2026-06-30,58286738575.0,12.2736,,,,,1.3449,,,,,0.0424,1.3449,,,,,2.9092,,,,,12.5709,,,,
2026-06-29,59747685350.0,12.5812,,,,,1.3786,,,,,0.0413,1.3786,,,,,2.9821,,,,,12.8860,,,,
2026-06-26,59193533125.0,12.4646,,,,,1.3659,,,,,0.0417,1.3659,,,,,2.9545,,,,,12.7665,,,,
2026-06-25,59596552925.0,12.5494,,,,,1.3752,,,,,0.0414,1.3752,,,,,2.9746,,,,,12.8534,,,,
2026-06-24,59546175450.0,12.5388,,,,,1.3740,,,,,0.0415,1.3740,,,,,2.9721,,,,,12.8426,,,,
2026-06-23,60452970000.0,12.7298,,,,,1.3949,,,,,0.0408,1.3949,,,,,3.0173,,,,,13.0381,,,,
2026-06-22,60100327675.0,12.6555,,,,,1.3868,,,,,0.0411,1.3868,,,,,2.9997,,,,,12.9621,,,,
2026-06-18,60755234850.0,12.7934,,,,,1.4019,,,,,0.0406,1.4019,,,,,3.0324,,,,,13.1033,,,,
2026-06-17,61208632125.0,12.8889,,,,,1.4124,,,,,0.0403,1.4124,,,,,3.0551,,,,,13.2011,,,,
2026-06-16,60704857375.0,12.7828,,,,,1.4007,,,,,0.0407,1.4007,,,,,3.0299,,,,,13.0925,,,,
2026-06-15,61057499700.0,12.8571,,,,,1.4089,,,,,0.0404,1.4089,,,,,3.0475,,,,,13.1685,,,,
2026-06-12,63173353650.0,13.3026,,,,,1.4577,,,,,0.0391,1.4577,,,,,3.1531,,,,,13.6249,,,,
2026-06-11,62316936575.0,13.1223,,,,,1.4379,,,,,0.0396,1.4379,,,,,3.1104,,,,,13.4402,,,,
2026-06-10,64231280625.0,13.5254,,,,,1.4821,,,,,0.0384,1.4821,,,,,3.2059,,,,,13.8530,,,,
2026-06-09,64332035575.0,13.5466,,,,,1.4844,,,,,0.0384,1.4844,,,,,3.2109,,,,,13.8748,,,,
2026-06-08,63626750925.0,13.3981,,,,,1.4681,,,,,0.0388,1.4681,,,,,3.1757,,,,,13.7227,,,,
