date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-620479607,1715592952,0.0014,1.3569
2025-12-31,-832246030,6761638748,0.0705,1.4024
2025-09-30,-4562716162,5433034129,0.0026,1.3002
2025-06-30,-4499846293,3277309996,0.0647,1.35
2025-03-31,-6448580530,1713194682,0.0448,1.25
2024-12-31,-4482980552,6316202434,-0.1456,1.2216
2024-09-30,801377442,5418831429,-0.0246,1.5334
2024-06-30,-177733069,3078071690,-0.1523,1.3953
2024-03-31,3670272306,1639672584,0.0101,1.5927
2023-12-31,3602081965,7392424082,0.3373,1.6037
2023-09-30,3141134321,5555380675,0.3832,1.4574
2023-06-30,2314065356,3630954437,0.5626,1.5142
2023-03-31,1605828263,1623269208,0.4038,1.4281
2022-12-31,1540570621,5527921046,-0.0307,1.4749
2022-09-30,1906973874,4016242503,-0.064,1.5438
2022-06-30,2607249528,2168829015,-0.1657,1.5985
2022-03-31,3226027873,1102847759,0.0625,1.4698
2021-12-31,2158659525,5467265536,0.7426,1.3229
2021-09-30,2029102104,4146459005,0.7393,1.12
2021-06-30,1564560506,2599589339,1.9035,1.0223
2021-03-31,-417549633,1037934638,8.2135,1.093
2020-12-31,-1107508101,3137401530,-0.4556,1.2456
2020-09-30,-2367210518,2383978147,-0.4553,1.4548
2020-06-30,-1976985525,895329150,-0.6942,1.5228
2020-03-31,-552194128,112654156,-0.921,1.3919
2019-12-31,920859785,5763283624,0.0084,1.3401
2019-09-30,2169551254,4376860354,0.0308,1.3332
2019-06-30,2239913258,2927496391,0.0994,1.4002
2019-03-31,2737720906,1426162773,0.1843,1.3201
2018-12-31,2180375894,5715489507,0.0924,1.277
2018-09-30,1812344387,4246029094,0.0758,1.2452
2018-06-30,-728570418,2662789107,0.0348,1.246
2018-03-31,-2077514848,1204204675,-0.0543,1.351
2017-12-31,-1750990444,5232104978,-0.0424,1.4199
2017-09-30,-654366626,3946996005,-0.0712,1.3219
2017-06-30,2976530386,2573346735,-0.1173,1.3536
2017-03-31,4379565856,1273304540,-0.117,1.4948
2016-12-31,5275181397,5463748504,0.2207,1.5896
2016-09-30,5912764418,4249510465,0.3242,2.1518
