date,应收账款,流动比率,负债合计,所有者权益合计,流动负债合计,资产负债率,资产合计,有息负债率,货币资金,流动资产合计,长期负债合计,速动比率
2026-03-31,2538793348,2.7312,25989368993,45189177321,64315793,0.3651,71178546314,0.2722,68727206164.8,0,0,2.7223
2025-12-31,2413946140,2.4555,27139427654,44539120008,46949795,0.3786,71678547662,0.2727,81517135190.4,0,0,2.4491
2025-09-30,2368482639,2.2646,25678150852,44000667254,57452185,0.3685,69678818106,0.2553,79357669932.6,0,0,2.2571
2025-06-30,2510610923,2.1975,26001909883,43831236868,59335445,0.3723,69833146752,0.2552,79059052171.8,0,0,2.1906
2025-03-31,2678291177,2.4365,24616455183,44126033732,61973349,0.3581,68742488915,0.2624,80452601722.2,0,0,2.4276
2024-12-31,2337990607,2.104,26516115116,43530096991,53156331,0.3786,70046212107,0.2702,84981637761,0,0,2.0976
2024-09-30,2811074119,1.9816,26374336882,42579200322,60128051,0.3825,68953537205,0.2766,95607453082.8,0,0,1.9733
2024-06-30,2616092738,2.0239,26162135423,42686776684,63274378,0.38,68848912107,0.283,80253523215,0,0,2.017
2024-03-31,3132888018,1.8204,28123346573,42487323397,65052427,0.3983,70610669970,0.2855,90232333388.4,0,0,1.8136
2023-12-31,2590410038,1.8365,27453959185,42026571794,55583980,0.3951,69480530980,0.2909,81572418325.2,0,0,1.8299
2023-09-30,3499180662,1.7455,27357698946,41547613162,64835576,0.397,68905312107,0.2909,94288557972.6,0,0,1.7376
2023-06-30,2902024733,1.7023,27398120278,41112747374,72178250,0.3999,68510867652,0.3,113026822462.8,0,0,1.6953
2023-03-31,2752770469,1.533,29479819284,41020133969,70116738,0.4182,70499953253,0.2972,138683065078.2,0,0,1.5271
2022-12-31,2102115928,1.8498,27071610968,40703487828,62447077,0.3994,67775098796,0.2995,143610258131.4,0,0,1.8421
2022-09-30,2416703087,1.9697,27192043242,41602384580,10573479,0.3953,68794427821,0.296,143784451825.2,0,0,1.9619
2022-06-30,1170615287,1.3107,24211791790,26466715337,9490853,0.4778,50678507128,0.3356,109258544001.6,0,0,1.3071
2022-03-31,1174374736,1.5359,21784833490,27214982772,15447957,0.4446,48999816262,0.3417,94806355641.6,0,0,1.5305
2021-12-31,1143502624,1.455,23720153085,27705935549,4866626,0.4612,51426088634,0.3201,89969689937.12,0,0,1.451
2021-09-30,1072727463,1.7381,23637947087,28147975565,9519312,0.4565,51785922652,0.319,85267911324,0,0,1.733
2021-06-30,1231642023,1.7816,23635348859,28635155572,7869127,0.4522,52270504431,0.3182,92744510102.24,0,0,1.7781
2021-03-31,1213876266,1.843,23648831702,29138252529,8968545,0.448,52787084232,0.3177,111570894139.2,0,0,1.8391
2020-12-31,1647809062,2.7139,3643284563,29558896453,1805475,0.1097,33202181016,0,145793676175.68,0,0,2.7074
2020-09-30,2366759434,2.5359,4525685377,30035686735,129982539,0.1309,34561372111,0,132536202053.44,0,0,2.5316
2020-06-30,2003586548,2.2558,5421059634,30586865247,15347843,0.1506,36007924881,0,138875895491.5,0,0,2.2528
2020-03-31,1772766103,3.1358,3758162250,32564092031,63179733,0.1035,36322254280,0,117178343344.5,0,0,3.1321
2019-12-31,1662029290,2.6443,4721504328,32449724727,0,0.127,37171229056,0,151747977937.5,0,0,2.6411
2019-09-30,1744204154,2.3627,5023242308,31345687702,0,0.1381,36368930010,0,153732745141,0,0,2.358
2019-06-30,1664194972,3.5384,3302172905,30170424417,0,0.0987,33472597323,0,161440578941,0,0,3.5294
2019-03-31,1622215244,5.1268,2136054998,30074760525,0,0.0663,32210815523,0,119760467667.5,0,0,5.1149
2018-12-31,1314326982,4.6515,2294221760,28634507397,0,0.0742,30928729157,0,97812410922,0,0,4.6345
2018-09-30,1444758866,4.5096,2234443731,27636637405,0,0.0748,29871081136,-0.0014,113247348106.5,0,0,4.4935
2018-06-30,1309061497,3.2983,3083682015,26465149205,0,0.1044,29548831220,0,106907654806,0,0,3.2885
2018-03-31,1558953399,5.3215,1816163964,26539479018,0,0.064,28355642982,0,94112650698,0,0,5.2948
2017-12-31,1188793936,4.8977,2066626537,25480772970,0,0.075,27547399507,0,86732399834.5,0,0,4.8723
2017-09-30,1482485216,4.6264,2097459601,24591319300,0,0.0786,26688778901,0,73185881931,0,0,4.6158
2017-06-30,1230449791,2.3575,5432384085,23553437757,0,0.1874,28985821841,0.0862,71894819769.5,0,0,2.3534
2017-03-31,1331234805,2.7049,4207724278,23453517905,0,0.1521,27661242183,0.0903,57770214331,0,0,2.6991
2016-12-31,1029260090,2.5998,4319493266,22624152028,0,0.1603,26943645294,0.0927,51102938094,0,0,2.5939
2016-09-30,1438439285,6.2297,4308248628,22083759112,0,0.1632,26392007740,0.0946,51970069396.5,0,0,6.2129
