date,metric,value
2026-03-31,自由现金流量,4893376829
2026-03-31,经营活动产生的现金流量净额对净利润的比率,2.4073
2026-03-31,营业收入,3198103002
2026-03-31,货币资金,68727206164.8
2026-03-31,总资产收益率(ROA),0.0353
2026-03-31,资产负债率,0.3651
2026-03-31,速动比率,2.7223
2026-03-31,毛利率(GM),0.2705
2026-03-31,所有者权益合计,45189177321
2026-03-31,流动资产合计,0
2026-03-31,净资产收益率(ROE),0.0552
2026-03-31,负债合计,25989368993
2026-03-31,长期负债合计,0
2026-03-31,净利润率,0.1844
2026-03-31,基本每股收益,0.23
2026-03-31,资产合计,71178546314
2026-03-31,经营活动产生的现金流量净额,660423050
2026-03-31,归属于母公司普通股股东的净利润,577796194
2026-03-31,有息负债率,0.2722
2026-03-31,应收账款,2538793348
2026-03-31,流动比率,2.7312
2026-03-31,资本回报率(ROIC),0.0545
2026-03-31,流动负债合计,64315793
