date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.4342,-0.1239,38953072383,4209991046
2025-12-31,1.73,-0.2511,158178519718,16764763168
2025-09-30,1.31,-0.2722,118083109267,12713003979
2025-06-30,0.79,-0.307,77982698531,7638458049
2025-03-31,0.4956,-0.0124,40162176901,4804771582
2024-12-31,2.31,-0.0294,184144845071,22359786564
2024-09-30,1.64,-0.018,125427200831,15943156811
2024-06-30,1.09,-0.084,84736723234,10555902884
2024-03-31,0.48,-0.3239,40449254076,4651893054
2023-12-31,2.19,-0.3967,170872490680,21239015395
2023-09-30,1.67,-0.4452,127432471589,16179515586
2023-06-30,1.19,-0.5492,90661910174,11578831257
2023-03-31,0.71,0.1094,44809129102,6911193457
2022-12-31,3.62,0.638,166847725959,35122944094
2022-09-30,2.92,0.9864,130739224831,28306856667
2022-06-30,2.54,1.9535,83690159299,24598112018
2022-03-31,0.59,0.6857,39569348707,5694420879
2021-12-31,2.18,0.4248,152266423158,21139687861
2021-09-30,1.47,0.2458,121310291503,14257297346
2021-06-30,0.8547,0.6609,72668710676,8286423326
2021-03-31,0.35,0.4583,34765769119,3371464737
2020-12-31,1.54,0.2833,94860272316,14882641695
2020-09-30,1.18,0.2553,64100089466,11478632757
2020-06-30,0.51,-0.15,38733447389,4985906519
2020-03-31,0.24,-0.1429,18334980773,2356164184
2019-12-31,1.18,0.0727,73403443128,11643397961
2019-09-30,0.94,0.0562,50754774315,9083489720
2019-06-30,0.6,0.0169,32585674142,5871066901
2019-03-31,0.2819,-0.0077,14404755232,2774539942
2018-12-31,1.1,0.0577,57223725980,10992829774
2018-09-30,0.89,0.0988,41131304996,8864115024
2018-06-30,0.59,0.0727,26242707975,5944157876
2018-03-31,0.28,0.037,12587430733,2841416880
2017-12-31,1.04,2.7143,50927001983,10449400044
2017-09-30,0.81,7.1,39403614156,8068337333
2017-06-30,0.55,20.9124,25585951663,5472807133
2017-03-31,0.27,70.2308,12273933461,2673784889
2016-12-31,0.28,1.9333,33131746363,2754885332
2016-09-30,0.1,1.5556,20304691569,1026330088
